N	2gram	Vinokur_Vv_1	Mirosoze
1	и в	27	46
2	в нем	13	22
3	у него	1	22
4	может быть	24	21
5	в этом	34	20
6	и не	13	18
7	для него	1	18
8	не только	21	18
9	никогда не	3	18
10	есть лишь	2	17
11	не может	13	15
12	но и	5	15
13	как и	5	13
14	а не	3	13
15	не есть	4	13
16	прежде всего	8	12
17	потому что	14	12
18	к человеку	1	12
19	но он	1	11
20	не было	1	11
21	у нас	2	11
22	в ней	3	11
23	в себе	4	10
24	та же	1	10
25	но в	10	10
26	не в	8	9
27	он был	1	9
28	любовь к	4	8
29	отношение к	3	8
30	человека к	1	8
31	в своем	3	8
32	и есть	3	8
33	так как	13	8
34	как бы	5	8
35	но это	1	8
36	человеческой личности	1	7
37	хотя бы	5	7
38	человеческой природы	1	7
39	как в	1	7
40	человека и	1	7
41	связана с	4	7
42	в этой	3	7
43	и для	4	7
44	и к	1	7
45	что он	4	7
46	вопрос о	8	6
47	жизни и	2	6
48	так же	3	6
49	что это	3	6
50	жизнь в	1	6
51	он сам	3	6
52	нем есть	1	6
53	того что	12	6
54	и вот	3	5
55	человеческого духа	1	5
56	в духе	1	5
57	и все	1	5
58	в конце	3	5
59	в своей	4	5
60	бы и	2	5
61	совсем не	3	5
62	есть не	3	5
63	к тому	4	5
64	это не	8	5
65	что она	3	5
66	то же	8	5
67	то что	17	5
68	в его	10	5
69	и его	5	5
70	в отношении	2	5
71	во всем	2	5
72	для того	21	5
73	один из	6	5
74	что все	1	5
75	в самом	12	5
76	и это	6	5
77	на деле	1	4
78	должны быть	1	4
79	они не	1	4
80	в русском	1	4
81	так и	1	4
82	в жизни	1	4
83	т е	38	4
84	в свою	1	4
85	что в	11	4
86	у них	1	4
87	жизнь и	1	4
88	того чтобы	21	4
89	что у	1	4
90	его отношение	1	4
91	уже не	5	4
92	вопроса о	1	4
93	для этого	3	4
94	тому что	2	4
95	что и	3	4
96	до конца	3	4
97	также и	16	4
98	должен быть	4	4
99	народа и	1	4
100	не имеет	4	4
101	себя в	2	4
102	все что	1	4
103	том что	26	4
104	момент в	1	3
105	отношении к	2	3
106	что нет	2	3
107	лишь как	2	3
108	есть в	1	3
109	сих пор	5	3
110	с ним	1	3
111	к которому	1	3
112	до сих	5	3
113	и с	2	3
114	его в	6	3
115	не мог	2	3
116	в чем	4	3
117	иное как	5	3
118	и на	3	3
119	в том	31	3
120	что иное	4	3
121	в россии	1	3
122	и всегда	1	3
123	это и	1	3
124	на почве	5	3
125	смысле слова	7	3
126	как он	6	3
127	только с	3	3
128	и от	1	3
129	в картине	1	3
130	связано с	1	3
131	сказать что	5	3
132	тем что	6	3
133	любви и	1	3
134	человек в	1	3
135	в каждом	4	3
136	если бы	2	3
137	в них	4	3
138	же как	3	3
139	от того	3	3
140	не существует	2	3
141	того как	3	3
142	русской истории	1	3
