N	3gram	Berdyaev_M_2	Istorich
1	о том что	2	4
2	т е в	2	3
3	так же как	3	3
4	не может быть	8	3
5	после того как	2	3
6	для того чтобы	4	3
7	в нем и	1	3
8	потому что он	2	2
9	по отношению к	2	2
10	же как и	3	2
11	до сих пор	3	2
12	в свою противоположность	2	2
13	но и в	1	2
14	но так как	1	2
15	но это не	2	2
16	в том что	2	2
17	на то что	1	2
18	как и в	2	2
19	что и в	4	2
20	в тот момент	1	1
21	и с изображением	1	1
22	мы видим в	1	1
23	а не в	2	1
24	это означает что	2	1
25	на самом деле	1	1
26	и он же	2	1
27	с точки зрения	1	1
28	сам по себе	1	1
29	что он не	1	1
30	что случилось с	1	1
31	в себе и	1	1
32	не сам по	1	1
33	для него с	1	1
34	у него нет	3	1
35	он думает что	1	1
36	потому что в	1	1
37	мы увидим что	2	1
38	что у него	1	1
39	они не имеют	1	1
40	мира и не	1	1
41	на наших глазах	1	1
42	он доходит до	1	1
43	хотя бы в	1	1
44	подобно тому как	2	1
45	в землю и	1	1
46	то же что	1	1
47	только тогда когда	1	1
