N	2gram	Tiupa_Narr_2	VeschiIm
1	не может	8	33
2	не только	26	31
3	может быть	10	29
4	и не	14	28
5	и в	13	26
6	то что	8	24
7	и т	2	21
8	а не	17	20
9	не просто	1	18
10	есть только	1	17
11	что я	3	16
12	только в	11	14
13	что она	2	14
14	и что	2	13
15	того что	6	13
16	все же	6	12
17	что это	4	12
18	но и	15	12
19	есть не	1	12
20	в себя	4	12
21	сказать что	3	12
22	было бы	2	12
23	с нею	2	11
24	таким образом	5	11
25	что же	1	11
26	потому что	2	10
27	то же	4	10
28	уже не	4	10
29	в ней	2	10
30	что мы	1	10
31	как бы	6	10
32	и с	1	9
33	прежде всего	6	9
34	в том	14	9
35	что не	1	9
36	предполагает что	1	9
37	в самом	2	9
38	в себе	8	8
39	на то	2	8
40	иное как	1	8
41	что иное	1	8
42	с ее	1	8
43	ничего не	6	8
44	не что	1	8
45	но это	2	8
46	со своим	2	7
47	говорить о	2	7
48	не будет	2	7
49	и их	1	7
50	в этом	13	7
51	как раз	3	7
52	ли это	1	7
53	в то	5	7
54	если она	1	7
55	также и	1	7
56	себя в	2	7
57	от всего	2	7
58	том что	13	7
59	жизни и	4	6
60	точки зрения	5	6
61	что они	3	6
62	что является	1	6
63	с ним	4	6
64	быть только	1	6
65	так что	1	6
66	бы и	1	6
67	что в	4	6
68	для него	4	6
69	относится к	1	6
70	должно быть	1	6
71	ясно что	1	6
72	со стороны	6	6
73	она не	1	6
74	в результате	2	6
75	но что	1	6
76	но в	6	6
77	можно было	2	6
78	и как	1	6
79	еще не	2	5
80	другими словами	1	5
81	а есть	1	5
82	того же	1	5
83	или не	1	5
84	и достаточно	1	5
85	и для	3	5
86	для себя	3	5
87	должна быть	2	5
88	не менее	4	5
89	себя с	2	5
90	отнюдь не	4	5
91	не в	8	5
92	а в	9	5
93	но не	3	5
94	в ее	4	5
95	с этой	3	5
96	это не	3	5
97	это и	1	5
98	у нас	2	5
99	в отношении	1	5
100	в чем	2	5
101	тем не	5	5
102	если бы	4	5
103	одна из	3	5
104	как к	3	5
105	ведь и	1	5
106	чем же	1	5
107	на себя	1	5
108	в свою	2	5
109	тем что	1	4
110	же время	3	4
111	о том	5	4
112	требует чтобы	1	4
113	как и	4	4
114	имя и	1	4
115	даже не	1	4
116	не предполагает	1	4
117	мы не	2	4
118	то и	3	4
119	во всех	1	4
120	оно и	1	4
121	оно не	2	4
122	имеет смысл	1	4
123	между ними	1	4
124	и даже	3	4
125	что есть	1	4
126	в своем	6	4
127	от ее	1	4
128	и о	1	4
129	и потому	1	4
130	можно ли	1	4
131	как только	1	4
132	не существует	1	4
133	только а	1	4
134	что и	2	4
135	однако не	2	4
136	с точки	2	4
137	быть и	1	4
138	с другой	5	4
139	собственно говоря	2	4
140	я не	5	4
141	сам себя	1	4
142	и все	4	4
143	как же	1	4
144	этот вопрос	1	4
145	и более	2	4
146	в данном	10	4
147	я в	5	3
148	и чисто	1	3
149	бы в	2	3
150	о ней	3	3
151	вопрос о	1	3
152	можно сказать	6	3
153	но то	1	3
154	своего существования	1	3
155	так и	9	3
156	себя самого	1	3
157	в жизни	6	3
158	как можно	1	3
159	нужно было	1	3
160	в нем	5	3
161	было в	1	3
162	подобно тому	2	3
163	хотя бы	2	3
164	того чтобы	3	3
165	в своей	4	3
166	в одном	1	3
167	внутри себя	1	3
168	ее как	1	3
169	вместе с	1	3
170	отношение к	1	3
171	отношения к	1	3
172	и притом	1	3
173	в той	5	3
174	к тому	9	3
175	к ней	3	3
176	есть имя	1	3
177	и сам	3	3
178	но ясно	1	3
179	к себе	7	3
180	да и	3	3
181	только на	2	3
