N	2gram	Potebnia_M_1	Myshleni
1	и в	39	28
2	в том	26	28
3	то что	10	28
4	в этом	15	27
5	в развитии	1	24
6	того что	8	24
7	потому что	52	22
8	том что	16	19
9	не может	22	19
10	таким образом	13	18
11	что он	1	18
12	только в	25	18
13	что в	22	17
14	не только	21	16
15	так же	5	15
16	точки зрения	8	13
17	может быть	27	13
18	сказать что	3	13
19	понятий в	2	12
20	мы могли	1	12
21	тому что	3	11
22	и не	18	11
23	что мы	4	11
24	как бы	6	11
25	к другим	2	11
26	но не	8	10
27	по отношению	13	10
28	понятий и	1	10
29	отношений между	3	10
30	с точки	3	10
31	в отношении	1	10
32	того чтобы	2	10
33	к тому	4	10
34	как мы	2	10
35	развития и	3	10
36	так как	21	10
37	от того	4	10
38	но и	20	10
39	отношению к	13	10
40	понятия и	3	10
41	могли бы	2	9
42	было бы	12	9
43	мы можем	2	9
44	в самом	3	8
45	мы видели	4	8
46	тем самым	4	8
47	никогда не	4	8
48	тем что	9	8
49	для того	3	8
50	еще не	6	8
51	понятий к	1	8
52	того же	3	7
53	то же	6	7
54	в сущности	2	7
55	в своем	3	7
56	в которой	2	7
57	с самого	3	7
58	он не	3	7
59	в нем	20	7
60	заключается в	3	7
61	показывает что	3	7
62	самого начала	3	7
63	можно было	1	7
64	если бы	14	7
65	мы видим	4	7
66	и других	4	7
67	мышления и	1	7
68	там где	4	7
69	вместе с	8	7
70	что оно	2	7
71	между ними	1	7
72	же как	1	6
73	связи между	2	6
74	мы не	10	6
75	в чем	1	6
76	и как	6	6
77	как и	9	6
78	для него	4	6
79	не имеет	5	6
80	тогда когда	9	6
81	когда мы	2	6
82	то время	1	6
83	приводит к	1	6
84	так и	13	6
85	и что	10	6
86	его в	1	6
87	так что	16	6
88	развития в	1	6
89	в области	1	6
90	и развития	2	6
91	в то	4	6
92	том же	2	5
93	показать что	1	5
94	в зависимости	1	5
95	вопрос о	4	5
96	из того	2	5
97	зависимости от	1	5
98	и на	1	5
99	но в	9	5
100	то в	5	5
101	умственного развития	1	5
102	в этой	3	5
103	что все	3	5
104	и тем	3	5
105	с тем	5	5
106	не могли	2	5
107	того как	6	5
108	в разных	2	5
109	не могут	4	5
110	могут быть	9	5
111	языка и	17	5
112	это не	7	5
113	эти отношения	3	5
114	иначе как	2	5
115	тех и	2	5
116	и все	3	5
117	речи и	10	5
118	не иначе	3	4
119	например в	1	4
120	и то	3	4
121	переход от	1	4
122	в первом	5	4
123	той же	3	4
124	мы имеем	1	4
125	совпадает с	1	4
126	в каждой	1	4
127	во всех	5	4
128	только тогда	5	4
129	относится к	3	4
130	в одной	1	4
131	с этим	7	4
132	в мысли	8	4
133	самом начале	1	4
134	в себе	13	4
135	в нашем	1	4
136	на то	2	4
137	в понятии	2	4
138	на этом	1	4
139	и того	2	4
140	одного и	2	4
141	но если	2	4
142	он должен	2	4
143	не в	15	4
144	нас к	1	4
145	мысли в	9	4
146	в сознании	3	4
147	что на	6	4
148	оно не	3	4
149	что при	5	4
150	своего развития	1	4
151	связь между	2	4
152	что и	6	4
153	именно в	1	4
154	между этими	1	4
155	заключить что	2	4
156	в состоянии	3	4
157	друг друга	5	4
158	но что	1	4
159	только по	2	4
160	на этот	2	4
161	и следовательно	2	4
162	ко всем	2	4
163	который мы	1	4
164	они не	1	4
165	отношения к	1	3
166	начинается с	1	3
167	чего не	1	3
168	отношение слова	1	3
169	оба эти	1	3
170	с его	1	3
171	из этих	4	3
172	видели что	1	3
173	высшего понятия	1	3
174	одном и	2	3
