N	3gram	Tiupa_Lite_1	Vladivir
1	о том что	2	7
2	в том что	11	7
3	дело в том	2	4
4	то же время	5	4
5	и то что	2	4
6	на то что	1	4
7	в то же	5	4
8	а иной раз	1	3
9	с другой стороны	1	3
10	не может быть	1	3
11	в ответ на	1	2
12	как раз и	1	2
13	и в частности	1	2
14	не только в	4	2
15	для своего времени	2	2
16	во всяком случае	2	2
17	тем более что	1	2
18	тем не менее	2	2
19	том что он	1	2
20	к тому же	1	2
21	никогда не любил	1	1
22	тех пор пока	1	1
23	мы имеем дело	1	1
24	не говоря уже	2	1
25	в самом деле	1	1
26	в том же	3	1
27	так и не	1	1
28	как это было	1	1
29	говоря уже о	1	1
30	бы то ни	1	1
31	только то что	1	1
32	в итоге все	1	1
33	и говорил что	1	1
34	несмотря на свою	1	1
35	все той же	1	1
36	в это время	1	1
37	но в то	1	1
38	то ни было	1	1
39	с одной стороны	2	1
40	в связи с	4	1
41	а также и	1	1
42	и в этом	1	1
43	а с другой	1	1
44	так или иначе	8	1
45	что он сам	1	1
46	хотя бы на	1	1
47	но только в	1	1
48	при этом в	3	1
49	не в одном	1	1
50	до тех пор	1	1
51	в свою очередь	1	1
52	еще в году	2	1
53	в году к	1	1
54	и тем самым	2	1
55	никак не мог	1	1
56	на всю жизнь	1	1
57	во второй половине	1	1
58	и в литературе	1	1
59	по этому поводу	1	1
60	в частности для	1	1
61	в этом отношении	2	1
