N	2gram	Nazirov_Tr_1	Psycholo
1	в том	2	37
2	и в	18	32
3	и что	4	22
4	то есть	3	21
5	том что	4	21
6	потому что	2	21
7	таким образом	1	21
8	то что	4	21
9	что в	4	20
10	может быть	7	18
11	так же	4	18
12	что и	2	17
13	не может	5	17
14	самом деле	1	16
15	что она	2	16
16	того чтобы	1	14
17	то же	5	13
18	в этом	9	13
19	при этом	3	13
20	что он	6	13
21	в самом	2	12
22	заключается в	1	12
23	не только	8	12
24	по себе	1	12
25	с тем	2	11
26	и т	1	10
27	но и	4	10
28	как и	5	10
29	и не	7	10
30	как в	3	9
31	никогда не	2	9
32	что при	1	9
33	тем что	2	9
34	что все	2	9
35	на деле	1	8
36	той же	1	8
37	что это	5	8
38	не в	2	8
39	не менее	1	8
40	дело с	1	8
41	т п	1	8
42	того что	1	8
43	и как	3	7
44	говорит что	2	7
45	все эти	3	7
46	и его	6	7
47	как будто	3	7
48	к тому	2	7
49	можно было	1	7
50	только в	1	7
51	а не	1	7
52	в этой	4	6
53	он не	2	6
54	о том	2	6
55	все время	1	6
56	как бы	7	6
57	исходит из	1	5
58	и на	7	5
59	только на	1	5
60	на все	1	5
61	все это	4	5
62	в то	5	5
63	в ней	1	5
64	и даже	4	5
65	отнюдь не	3	5
66	искусства но	1	5
67	ту же	1	4
68	сам по	1	4
69	столь же	2	4
70	в чем	1	4
71	все же	5	4
72	в целом	4	4
73	в нем	4	4
74	к одному	1	4
75	и по	1	4
76	и с	7	4
77	несмотря на	5	4
78	в данном	2	4
79	тому что	1	4
80	не имеет	2	4
81	того как	1	4
82	но только	1	4
83	ничего не	2	4
84	и до	2	4
85	что на	1	4
86	могут быть	1	4
87	тем не	1	4
88	утверждать что	1	4
89	и это	2	4
90	данном случае	2	4
91	и сам	3	4
92	между тем	1	4
93	говорит он	1	4
94	мы видим	1	4
95	а на	1	4
96	как это	3	4
97	наряду с	1	4
98	с этой	1	4
99	при таком	1	4
100	и все	4	4
101	совершенно не	1	4
102	например в	1	3
103	и то	2	3
104	и он	3	3
105	во всех	1	3
106	но как	1	3
107	в общем	1	3
108	как говорит	2	3
109	что именно	1	3
110	но в	6	3
111	он в	1	3
112	ответом на	1	3
113	не к	1	3
114	не как	1	3
115	и вот	1	3
116	на этом	1	3
117	об этом	4	3
118	это было	1	3
119	к области	2	3
120	он сказал	1	3
121	в своей	1	3
122	представление о	1	3
123	человеком и	1	3
124	но он	1	3
125	не могли	1	3
126	что с	3	3
127	во всем	1	3
128	не могут	2	3
129	указывает на	1	3
130	с ее	3	3
131	в виду	1	3
132	и совершенно	1	3
133	так и	5	3
134	жизнь и	3	3
135	бы и	2	3
136	один из	3	3
137	и ее	2	3
138	так что	2	3
139	что не	1	3
140	и их	1	3
141	в конце	3	3
142	до конца	2	3
143	в частности	2	3
144	видит в	1	3
145	конце концов	1	3
146	хотя бы	1	3
147	точно так	2	3
148	к людям	3	2
149	объясняется и	1	2
150	еще не	4	2
151	как во	1	2
152	роман и	1	2
153	с его	2	2
154	мысль что	1	2
155	в ее	2	2
156	но не	1	2
157	значение и	1	2
158	отличие от	2	2
159	чисто формальным	1	2
160	но эта	2	2
161	впечатление что	2	2
162	из самых	2	2
163	в которой	1	2
164	бы не	1	2
165	в себе	4	2
166	как он	1	2
167	что без	1	2
168	тем и	1	2
169	но гораздо	1	2
170	здесь мы	1	2
171	в ход	1	2
172	это не	5	2
173	в них	1	2
174	на грани	1	2
175	тот самый	1	2
176	всю жизнь	1	2
177	не значит	1	2
178	не так	2	2
179	и при	1	2
180	всяком случае	1	2
181	не понимает	1	2
182	что этот	2	2
183	вплоть до	1	2
184	впадает в	1	2
185	считает что	1	2
186	он с	1	2
187	и всегда	1	2
188	до самой	1	2
189	в самой	1	2
190	же время	6	2
191	в русском	2	2
192	показал что	1	2
193	не вполне	1	2
194	ли это	1	2
195	ни в	2	2
196	что оно	1	2
197	его с	1	2
198	это происходит	1	2
199	она не	1	2
200	на вопрос	1	2
201	на другой	1	2
202	романе в	1	2
203	в особенности	1	2
204	роль в	1	2
205	который он	1	2
206	начала и	1	2
207	по сравнению	1	2
208	понятно что	1	2
209	в таком	2	2
210	и здесь	2	2
211	во всяком	1	2
212	в глаза	2	2
213	после того	1	2
214	с того	1	2
215	в его	3	2
216	для самого	1	2
217	к нему	3	2
218	в новой	1	2
219	согласиться с	1	2
220	как нечто	1	2
221	это очень	5	2
222	именно на	1	2
223	говорит о	2	2
224	могло бы	1	2
225	слова в	1	2
226	в одном	2	2
227	с этими	1	2
228	отношение к	2	2
229	к ним	1	2
230	не было	1	2
231	полагал что	1	2
232	и далее	1	2
233	вместе с	1	2
234	мы опять	1	2
235	сравнению с	1	2
236	но это	4	2
237	когда я	1	2
238	а к	1	2
239	для нас	1	2
240	это может	1	2
241	из себя	1	2
242	в романе	10	2
243	состоит из	2	2
244	на этот	1	2
245	и от	1	2
246	а я	5	2
247	это в	1	2
248	во сне	2	2
249	а между	1	1
250	только он	1	1
251	одним из	1	1
252	он считает	1	1
253	чтобы не	1	1
254	человека и	1	1
255	же по	1	1
256	в первом	2	1
257	на две	1	1
258	высшей степени	1	1
259	и за	2	1
260	а как	2	1
261	смотреть на	1	1
262	оттого что	1	1
263	что уже	1	1
264	и усиливает	1	1
265	исследования в	1	1
266	сходную позицию	1	1
