N	2gram	Tiupa_Disk_1	Problema
1	и не	11	28
2	то есть	20	27
3	не только	28	24
4	только в	7	23
5	в виде	1	22
6	и в	16	20
7	в том	23	20
8	то что	5	15
9	потому что	4	15
10	точки зрения	3	14
11	той или	3	14
12	было бы	1	14
13	но и	14	14
14	также и	3	13
15	перед нами	3	13
16	не в	7	13
17	или иной	5	13
18	в нашем	1	12
19	в себе	7	12
20	том что	19	12
21	не есть	2	12
22	с точки	1	11
23	по себе	3	11
24	прежде всего	11	11
25	как будто	1	11
26	едва ли	2	10
27	отнюдь не	8	10
28	тем не	1	10
29	и его	2	10
30	не менее	2	10
31	так и	8	10
32	в качестве	34	10
33	при помощи	1	10
34	не является	4	10
35	в этом	15	9
36	может быть	17	9
37	и даже	3	9
38	но в	8	8
39	содержит в	1	8
40	таким образом	3	8
41	если бы	1	8
42	что он	4	8
43	в той	1	8
44	в результате	1	8
45	и все	2	8
46	во всяком	2	8
47	то же	7	7
48	мы не	1	7
49	еще не	14	7
50	это не	3	7
51	здесь не	1	7
52	хотя бы	3	7
53	и тем	2	7
54	есть в	2	7
55	с другой	10	7
56	именно в	3	7
57	сказать что	3	7
58	а не	22	7
59	и потому	3	7
60	такого рода	4	7
61	сам по	1	6
62	мы имеем	2	6
63	а только	1	6
64	только при	1	6
65	при этом	13	6
66	всех этих	1	6
67	об этом	2	6
68	как и	16	6
69	в данном	5	6
70	и без	2	6
71	по крайней	2	6
72	в каком	1	6
73	же самое	2	6
74	в виду	2	6
75	и вообще	2	6
76	а также	8	6
77	крайней мере	2	6
78	что здесь	1	6
79	в одно	1	6
80	по своему	3	6
81	но это	1	6
82	и от	1	6
83	другой стороны	3	6
84	в таком	1	6
85	на самом	1	5
86	но не	11	5
87	как в	10	5
88	хотя и	2	5
89	в нем	9	5
90	да и	1	5
91	в них	4	5
92	в этих	1	5
93	когда мы	1	5
94	и вполне	1	5
95	и о	4	5
96	в ее	3	5
97	данном случае	2	5
98	о том	8	5
99	можно сказать	5	5
100	уже не	4	5
101	известного рода	1	5
102	здесь в	2	5
103	то и	1	5
104	не может	9	5
105	вместе с	1	5
106	в смысле	1	5
107	не существует	1	5
108	или в	2	5
109	это и	1	4
110	что его	1	4
111	и есть	2	4
112	уже в	2	4
113	в этой	2	4
114	что она	1	4
115	времени и	3	4
116	с тем	1	4
117	несмотря на	1	4
118	в своей	5	4
