N	2gram	Losev_Vesc_1	Komedia
1	и в	21	22
2	и не	29	21
3	т е	55	16
4	том что	8	13
5	таким образом	8	12
6	в том	8	12
7	так как	7	11
8	со стороны	5	11
9	ни в	1	10
10	потому что	16	10
11	в самом	9	9
12	до сих	1	9
13	вместе с	1	9
14	сих пор	1	9
15	в этом	4	8
16	его в	2	8
17	в своем	6	8
18	к ней	2	8
19	о том	6	8
20	если бы	5	8
21	в его	2	8
22	что и	3	8
23	что он	1	8
24	едва ли	1	7
25	то же	6	7
26	при этом	1	7
27	об этом	3	7
28	в конце	2	7
29	о чем	1	7
30	только что	2	7
31	а в	4	7
32	в свою	4	7
33	того же	5	6
34	самом деле	4	6
35	еще не	8	6
36	ничуть не	1	6
37	так что	5	6
38	тому же	1	6
39	в то	3	6
40	и его	2	6
41	к тому	3	6
42	того чтобы	3	6
43	свою очередь	4	6
44	ясно что	8	6
45	и что	15	6
46	для того	2	6
47	может быть	16	6
48	как раз	9	6
49	к этому	1	6
50	отношение к	1	5
51	но в	5	5
52	не только	36	5
53	в своей	5	5
54	то это	3	5
55	не менее	3	5
56	к себе	4	5
57	хотя и	4	5
58	с ним	8	5
59	к нему	1	5
60	что в	9	5
61	из них	4	5
62	тем что	2	5
63	прежде всего	9	5
64	как это	2	5
65	все это	5	5
66	и т	19	4
67	на себя	1	4
68	в ней	12	4
69	с другой	6	4
70	тут же	2	4
71	нет и	1	4
72	отнюдь не	5	4
73	все же	4	4
74	когда он	1	4
75	то что	27	4
76	в себе	14	4
77	что она	15	4
78	и с	8	4
79	должен был	1	4
80	с тем	5	4
81	несмотря на	1	4
82	точки зрения	5	4
83	не в	5	4
84	однако в	1	4
85	в отношении	4	4
86	у него	2	4
87	и здесь	4	4
88	так и	3	4
89	между собой	1	4
90	не дает	1	4
91	вовсе не	10	4
92	но и	18	4
93	ничем не	3	4
94	а не	19	4
95	не является	1	4
96	и для	9	4
97	бы в	5	4
98	хотя бы	6	4
99	речи о	1	4
100	так же	1	4
101	говорить о	6	3
102	из того	2	3
103	с его	1	3
104	в ее	7	3
105	с этим	3	3
106	и к	1	3
107	в которой	1	3
108	в этой	3	3
109	по имени	6	3
110	на то	4	3
111	не могла	1	3
112	в нем	2	3
113	приводит к	1	3
114	от нее	2	3
115	то ни	4	3
116	было бы	14	3
117	все равно	2	3
118	далеко не	1	3
119	как и	8	3
120	и еще	2	3
121	но если	8	3
122	том как	1	3
123	себе в	3	3
124	с точки	3	3
125	тем не	3	3
126	их в	3	3
127	никогда не	2	3
128	ничего не	3	3
129	же самое	1	3
130	на это	4	3
131	одного из	1	3
