N	3gram	Medvedev_V_1	Sotsiolo
1	по отношению к	7	2
2	не в том	2	2
3	в конце концов	2	2
4	в том что	5	2
5	но ведь это	1	2
6	дело не в	1	2
7	что в них	1	1
8	а в том	1	1
9	то что в	1	1
10	с одной стороны	2	1
11	это и есть	3	1
12	главным образом в	1	1
13	чуть ли не	2	1
14	только то что	2	1
15	в любой области	1	1
16	во всяком случае	1	1
17	между собой не	1	1
18	себе из себя	1	1
19	в связи с	3	1
20	не может не	2	1
21	в конечном счете	5	1
22	то же самое	1	1
23	в противном случае	2	1
24	в этой области	3	1
25	именно в том	1	1
26	а между тем	1	1
27	прежде всего не	2	1
28	по себе из	1	1
29	то же время	5	1
30	и в то	3	1
31	в то же	5	1
32	не было бы	4	1
33	это вовсе не	1	1
34	о том как	3	1
35	по крайней мере	2	1
36	сама по себе	1	1
