N	3gram	Ircho_Kome_2	StatiiOP
1	в том что	5	11
2	и т п	2	6
3	то обстоятельство что	1	5
4	не может быть	1	5
5	о том что	4	4
6	в этом смысле	2	4
7	с другой стороны	1	4
8	в то время	3	4
9	с точки зрения	1	4
10	то время как	2	4
11	как например в	1	4
12	во всяком случае	2	4
13	в то же	3	3
14	то же время	3	3
15	не только в	1	3
16	в связи с	3	3
17	с одной стороны	2	2
18	с самого начала	1	2
19	в этой области	1	2
20	до сих пор	2	2
21	тем более что	1	2
22	к тому что	2	2
23	независимо от того	2	2
24	должна была бы	1	2
25	что он был	1	2
26	но все же	1	2
27	ср с этим	1	2
28	но и в	1	2
29	тем не менее	1	2
30	в чем же	1	1
31	в этом же	2	1
32	к этому времени	2	1
33	в том же	1	1
34	на протяжении всего	1	1
35	связи с этим	1	1
36	сначала это было	1	1
37	в одной из	2	1
38	в самом начале	2	1
39	вместе со своим	1	1
40	и во всяком	1	1
41	была не просто	1	1
42	а то и	1	1
43	обращает на себя	5	1
44	что был способен	1	1
45	но уже в	1	1
46	время как в	1	1
47	если не считать	1	1
48	в молодые годы	1	1
49	в последние десятилетия	3	1
50	и тех же	2	1
51	не означает что	1	1
52	г во время	1	1
53	потому что в	1	1
54	речь идет о	2	1
55	можно было бы	2	1
56	появлялась на сцене	1	1
57	я думаю что	1	1
58	на себя внимание	5	1
59	каждой из них	1	1
60	так или иначе	3	1
61	одних и тех	2	1
62	в поле зрения	2	1
63	что ни в	1	1
64	более или менее	1	1
65	к отказу от	1	1
66	в свою очередь	1	1
67	той или иной	1	1
68	и в самом	1	1
69	говоря уже о	2	1
70	свидетельствует не о	1	1
71	в самом деле	1	1
72	том что именно	1	1
73	что у него	2	1
74	вместе с тем	4	1
75	в наше время	1	1
76	ответ на это	1	1
77	почти одновременно с	1	1
78	как мы видели	1	1
79	на пути к	2	1
80	то что в	1	1
81	благодаря тому что	1	1
82	не говоря уже	2	1
83	для того чтобы	4	1
84	то что он	2	1
85	ее содержания и	1	1
86	уже находясь в	1	1
87	сплошь да рядом	1	1
88	один из примеров	1	1
