N	2gram	Ircho_Kome_1	VLabPisa
1	таким образом	8	27
2	в этом	3	26
3	и в	22	25
4	и т	9	24
5	не только	10	22
6	может быть	9	21
7	хотя бы	1	20
8	и не	8	19
9	не может	2	17
10	т е	13	17
11	т д	4	15
12	в его	5	15
13	этом отношении	3	13
14	в том	11	13
15	прежде всего	5	13
16	в частности	3	12
17	как это	3	12
18	все это	5	12
19	в силу	2	11
20	с другой	5	11
21	из них	10	11
22	в качестве	4	10
23	не могут	1	10
24	о том	8	10
25	то же	6	9
26	что в	6	9
27	об этом	1	9
28	т п	5	9
29	но и	11	9
30	и др	1	9
31	к этому	4	9
32	в своем	1	8
33	не следует	2	8
34	на основании	3	8
35	другой стороны	5	8
36	могут быть	3	8
37	в году	3	7
38	во всех	1	7
39	по отношению	3	7
40	из этих	1	7
41	было бы	2	7
42	как и	9	7
43	том что	12	7
44	вместе с	2	7
45	же в	4	7
46	отношению к	3	7
47	в зависимости	1	6
48	более или	1	6
49	в себе	2	6
50	в нем	4	6
51	главным образом	3	6
52	или менее	2	6
53	том же	1	6
54	и его	8	6
55	в то	10	6
56	творческих сил	1	6
57	так и	5	6
58	в порядке	1	6
59	между тем	5	6
60	у него	3	6
61	в основном	1	6
62	то что	2	6
63	одним из	1	5
64	в их	4	5
65	зависимости от	1	5
66	очевидно что	1	5
67	все же	3	5
68	не в	6	5
69	тому что	1	5
70	же время	4	5
71	приводит к	1	5
72	один из	5	5
73	действующих лиц	4	5
74	как бы	1	5
75	думается что	1	5
76	в результате	4	5
77	сказать что	1	5
78	только в	3	5
79	вполне основательно	1	4
80	в этой	7	4
81	чем же	2	4
82	перед нами	1	4
83	когда он	1	4
84	в самом	2	4
85	в целом	3	4
86	что все	1	4
87	них не	1	4
88	художественный образ	2	4
89	в них	3	4
90	даже в	3	4
91	одна из	2	4
92	к тому	6	4
93	это только	1	4
94	познания и	1	4
95	показывают что	1	4
96	что он	6	4
97	в одном	8	4
98	как раз	3	4
99	в котором	4	3
100	из его	4	3
101	всего лишь	1	3
102	и он	1	3
103	замысла в	1	3
104	в которых	1	3
105	силу этого	1	3
106	а всего	1	3
107	что они	4	3
108	с этим	1	3
109	и как	3	3
110	и к	1	3
111	и художественного	1	3
112	в противоположность	2	3
113	и по	6	3
114	говорить не	1	3
115	его в	3	3
116	далеко не	1	3
117	с тем	1	3
118	мы видели	2	3
119	во время	5	3
120	точки зрения	4	3
121	и ее	3	3
122	одном из	4	3
123	этой области	1	3
124	со своим	5	3
125	не столь	1	3
126	у нас	3	3
127	и трудно	1	3
128	образом в	2	3
129	утверждает что	1	3
130	в значительной	1	3
131	что и	4	3
132	вслед за	2	3
133	и мир	2	3
134	того что	1	3
135	большей или	1	3
136	или меньшей	1	3
137	п в	1	3
138	не обходится	1	3
139	даже и	1	3
140	в конце	6	3
141	именно в	4	3
142	мы знаем	2	3
143	так же	3	3
144	по поводу	4	3
145	по существу	1	3
146	при всем	2	3
147	или в	2	3
148	видно из	2	3
149	бы в	1	3
150	только что	2	3
151	жизни и	1	3
152	как на	1	3
153	ее в	2	3
154	как известно	2	2
155	ту же	2	2
156	также что	1	2
157	также и	1	2
158	чтобы не	1	2
159	он может	1	2
160	видеть в	2	2
161	уже по	1	2
162	по его	1	2
163	а как	1	2
164	же как	3	2
165	в которой	6	2
166	из своих	1	2
167	говорить о	1	2
168	то это	1	2
169	в ней	1	2
170	еще не	2	2
171	в чем	3	2
172	чуть ли	1	2
173	бы не	1	2
174	но не	2	2
175	это видно	1	2
176	если в	1	2
177	в общем	1	2
178	том числе	1	2
179	относится к	2	2
180	отнюдь не	1	2
181	от до	2	2
182	искусстве и	1	2
183	что нет	1	2
184	хотя и	3	2
185	но в	4	2
186	не приходится	1	2
187	он в	1	2
188	ее как	1	2
189	как он	1	2
190	когда писал	1	2
191	что она	1	2
192	после этого	1	2
193	он не	3	2
194	подобно тому	1	2
195	так например	1	2
196	человека в	1	2
197	в каждом	1	2
198	они должны	1	2
199	им как	1	2
200	в другом	4	2
201	льва толстого	1	2
202	и отдельные	1	2
203	в жизни	1	2
204	как об	1	2
205	и для	1	2
206	года и	1	2
207	пародия на	1	2
208	никаких оснований	1	2
209	всяком случае	2	2
210	которые в	1	2
211	по себе	1	2
212	это особенно	1	2
213	не менее	3	2
214	в науке	1	2
215	к этим	3	2
216	не по	1	2
217	того чтобы	1	2
218	связанное с	1	2
219	свидетельствуют о	1	2
220	в сознании	3	2
221	в области	2	2
222	ли это	2	2
223	от того	1	2
224	ли не	4	2
225	же самое	2	2
226	в самых	1	2
227	для того	1	2
228	на это	1	2
229	формы и	1	2
230	роль в	1	2
231	если они	2	2
232	в образе	3	2
233	и даже	5	2
234	во всяком	2	2
235	на вопрос	1	2
236	в пользу	1	2
237	от них	2	2
238	художника как	1	2
239	конце концов	4	2
240	о его	1	2
241	всего не	1	2
242	до нас	5	2
243	с одной	3	2
244	одной из	3	2
245	только очень	1	2
246	у них	1	2
247	вовсе не	2	2
248	в особенности	1	2
249	одной стороны	3	2
250	даже не	2	2
251	до сих	2	2
252	как у	1	2
253	еще и	2	2
254	естественно что	1	2
255	к сожалению	2	2
256	идеи в	1	2
257	о чем	1	2
258	из многочисленных	1	2
259	с половиной	1	2
260	тому как	1	2
261	стороны в	1	2
262	нет никаких	1	2
263	и потому	1	2
264	из которых	2	2
265	в течение	3	2
266	войны и	5	2
267	образом по	1	2
268	и формы	2	2
269	сих пор	2	2
270	искусства на	1	2
271	между прочим	2	2
272	можно было	1	2
273	в книге	1	2
274	этого рода	1	2
275	мира и	1	2
276	по одному	2	2
277	ни одного	1	2
278	будто бы	2	2
279	а в	6	2
280	понимать как	1	2
281	к его	1	2
