N	3gram	Savitsky_E_1	Tvorches
1	и т д	1	11
2	то же время	14	7
3	в то же	15	7
4	в соответствии с	1	4
5	по нашему мнению	2	4
6	не может быть	2	3
7	он сам в	1	2
8	в одной из	1	2
9	и в то	8	2
10	в отличие от	1	2
11	на этот вопрос	1	2
12	так же как	5	2
13	в том же	1	2
14	во всяком случае	3	2
15	с другой стороны	2	2
16	так и в	2	2
17	в одном из	2	2
18	в том что	6	2
19	хотя и не	1	1
20	дело в том	1	1
21	в том числе	1	1
22	же как и	3	1
23	в нем и	1	1
24	начале xx века	1	1
25	несмотря на его	1	1
26	можно было бы	3	1
27	в этот период	1	1
28	то или иное	1	1
29	в том смысле	1	1
30	в применении к	3	1
31	мы видим как	1	1
32	но в то	2	1
33	не сводится к	1	1
34	оставим в стороне	1	1
35	в известном смысле	3	1
36	и в этом	4	1
37	не могут быть	1	1
38	в свою очередь	2	1
39	той или иной	4	1
40	в связи с	1	1
41	но как бы	1	1
42	и поэтому в	1	1
43	к тому же	1	1
44	одну и ту	1	1
45	в стороне от	1	1
46	по себе не	2	1
47	отцов и детей	1	1
48	в начале xx	1	1
49	в то время	1	1
50	того или иного	4	1
51	отнюдь не означает	1	1
52	мы не можем	1	1
53	как и всякая	1	1
54	том смысле что	1	1
55	не означает что	1	1
56	в частности в	2	1
57	именно потому что	1	1
58	том числе и	1	1
59	и ту же	1	1
60	и прежде всего	3	1
61	к ней в	1	1
62	мы не находим	1	1
63	на то чтобы	1	1
