N	2gram	Tiupa_Disk_1	VrazhdaK
1	в году	2	18
2	не только	28	9
3	в этом	15	8
4	и в	16	8
5	и что	2	8
6	но и	14	7
7	и все	2	7
8	то что	5	7
9	что в	4	7
10	все же	3	6
11	но в	8	6
12	в нем	9	6
13	как и	16	6
14	в котором	5	6
15	о нем	2	6
16	в начале	2	6
17	и даже	3	6
18	то же	7	5
19	об этом	2	5
20	в то	3	5
21	же время	4	5
22	между тем	4	5
23	не было	7	5
24	в россии	1	5
25	и не	11	5
26	х годов	2	4
27	что он	4	4
28	в истории	4	4
29	целый ряд	2	4
30	при этом	13	4
31	это не	3	4
32	несмотря на	1	4
33	в дневнике	1	4
34	в виду	2	4
35	о том	8	4
36	у достоевского	1	4
37	уже в	2	4
38	может быть	17	4
39	как бы	5	4
40	в своих	3	4
41	речь идет	1	3
42	одним из	2	3
43	я не	1	3
44	в чем	1	3
45	с его	4	3
46	в своем	6	3
47	и как	6	3
48	на то	1	3
49	он не	1	3
50	далеко не	10	3
51	том что	19	3
52	в русской	1	3
53	и его	2	3
54	связи с	4	3
55	человека в	2	3
56	и о	4	3
57	и во	2	3
58	в его	7	3
59	в том	23	3
60	в конце	1	3
61	тем что	3	3
62	в связи	1	3
63	наряду с	1	3
64	к этому	2	3
65	отношения к	2	2
66	и то	1	2
67	и он	2	2
68	он сам	1	2
69	столь же	3	2
70	но как	2	2
71	тогда как	19	2
72	он пишет	1	2
73	отнюдь не	8	2
74	в известном	1	2
75	в той	1	2
76	его на	1	2
77	в этой	2	2
78	что к	1	2
79	в себе	7	2
80	время и	1	2
81	в нашей	1	2
82	нашего времени	1	2
83	таким образом	3	2
84	в мире	1	2
85	в них	4	2
86	а с	5	2
87	не мог	1	2
88	во время	1	2
89	точки зрения	3	2
90	в своей	5	2
91	и ее	2	2
92	с точки	1	2
93	о романе	2	2
94	не менее	2	2
95	за год	1	2
96	никогда не	2	2
97	в момент	2	2
98	к себе	2	2
99	его с	1	2
100	и это	1	2
101	россии в	1	2
102	еще не	14	2
103	а также	8	2
104	там же	1	2
105	тем более	1	2
106	пришел к	1	2
107	по мнению	1	2
108	уже не	4	2
109	при помощи	1	2
110	из них	3	2
111	его и	1	2
112	могли быть	1	2
113	для него	4	2
114	от сознания	1	2
115	отношение к	4	2
116	к ним	3	2
117	как раз	1	2
118	и т.п	12	2
119	о чем	2	2
120	не может	9	2
121	вместе с	1	2
122	но это	1	2
123	а в	5	2
124	в период	1	2
125	в свою	3	2
126	это в	2	2
127	широкое распространение	1	1
128	как известно	1	1
129	можно говорить	1	1
130	также и	3	1
131	того же	3	1
132	героя другого	1	1
133	е годы	2	1
134	это и	1	1
135	идет о	1	1
136	и есть	2	1
137	не хочет	1	1
138	по преимуществу	1	1
139	заметное влияние	1	1
140	едва ли	2	1
141	в их	5	1
142	той же	1	1
143	именно своей	1	1
144	совпадает с	2	1
145	говорить о	1	1
146	в полной	1	1
147	в разные	2	1
148	в составе	5	1
149	событий и	1	1
150	ему в	2	1
151	утверждаю что	1	1
152	на них	1	1
153	влияния на	2	1
154	служит для	2	1
155	по своему	3	1
156	как правило	4	1
157	но не	11	1
158	в сторону	4	1
159	не все	1	1
160	если в	1	1
161	и т.д	4	1
162	тут же	1	1
163	в е	2	1
164	что они	1	1
165	как говорит	1	1
166	же с	1	1
167	независимо от	1	1
168	как в	10	1
169	с этим	3	1
170	для всех	1	1
171	как к	2	1
172	не являются	1	1
173	себе не	3	1
174	состояло в	1	1
175	и глубокой	2	1
176	в самом	3	1
177	что это	1	1
178	в целом	4	1
179	не был	1	1
180	что же	2	1
181	рассказ о	1	1
182	почти одновременно	1	1
183	тому же	5	1
184	это такая	1	1
185	он всегда	2	1
186	да и	1	1
187	анекдоты и	1	1
188	всех этих	1	1
189	чем у	1	1
190	в силу	5	1
191	этот процесс	1	1
192	уже говорилось	1	1
193	что ни	1	1
194	однако в	3	1
195	одно и	1	1
196	совпадают с	1	1
197	не будет	1	1
198	этом он	1	1
199	есть все	1	1
200	самим собой	1	1
201	говорить не	1	1
202	это было	2	1
203	заключается в	3	1
204	было бы	1	1
205	в жизни	1	1
206	и романа	1	1
207	соответствии с	2	1
208	не всегда	2	1
209	которой он	1	1
210	восходят к	1	1
211	одного и	2	1
212	в этих	1	1
213	и их	1	1
214	всяком случае	1	1
215	человеком и	1	1
216	вторая часть	1	1
217	представление о	1	1
218	начале х	2	1
219	дама с	1	1
220	своего рода	8	1
221	черты характера	1	1
222	тем не	1	1
223	по крайней	2	1
224	не могли	1	1
225	не должна	1	1
226	раз и	1	1
227	вплоть до	1	1
228	но они	2	1
229	тем самым	1	1
230	не имеет	1	1
231	в процессе	5	1
232	нельзя не	2	1
233	не учитывать	1	1
234	по своей	11	1
235	это слово	1	1
236	текста к	2	1
237	потому что	4	1
238	этом отношении	1	1
239	в каком	1	1
240	такие же	1	1
241	в речах	1	1
242	могут быть	4	1
243	во все	1	1
244	ли не	3	1
245	отличается от	2	1
246	она же	1	1
247	не есть	2	1
248	постановки вопроса	1	1
249	с ее	2	1
250	свою очередь	3	1
251	но при	3	1
252	в ее	3	1
253	только при	1	1
254	не могло	2	1
255	с правилами	1	1
256	роль в	7	1
257	и сам	1	1
258	так и	8	1
259	не с	3	1
260	было в	2	1
261	живет в	1	1
262	этого как	1	1
263	еще в	3	1
264	сюжетных функций	1	1
265	во второй	1	1
266	том как	1	1
267	и вообще	2	1
268	иисуса христа	2	1
269	во всяком	2	1
270	до сих	1	1
271	нас в	1	1
272	к нему	1	1
273	во всех	5	1
274	в форме	2	1
275	крайней мере	2	1
276	вслед за	1	1
277	романа в	1	1
278	человека как	1	1
279	в литературе	2	1
280	к которому	2	1
281	этом смысле	1	1
282	один из	3	1
283	он стал	1	1
284	во всем	1	1
285	и кончая	1	1
286	в литературу	2	1
287	он уже	1	1
288	начало в	1	1
289	в качестве	34	1
290	себя в	2	1
291	хотя в	2	1
292	сходятся в	1	1
293	к своим	1	1
294	говорит о	1	1
295	в известной	1	1
296	в одном	2	1
297	для правильного	1	1
298	друг друга	1	1
299	было выдвинуто	1	1
300	каждый из	1	1
301	от того	1	1
302	в особенности	4	1
303	никого не	2	1
304	из двух	2	1
305	с другой	10	1
306	именно в	3	1
307	прежде всего	11	1
308	в соответствии	2	1
309	только по	1	1
310	до конца	1	1
311	в рассказе	2	1
312	одну из	2	1
313	не об	1	1
314	с помощью	1	1
315	в частности	9	1
316	по праву	1	1
317	человека к	1	1
318	он ее	1	1
319	того что	3	1
320	романе достоевского	1	1
321	спросить о	1	1
322	в свое	1	1
323	известном смысле	1	1
324	сих пор	1	1
325	в основном	1	1
326	оба они	1	1
327	об одном	1	1
328	но для	1	1
329	ближе к	1	1
330	общие черты	1	1
331	годов в	1	1
332	более того	2	1
333	и от	1	1
334	котором он	2	1
335	я всегда	1	1
336	о котором	2	1
337	это как	1	1
338	хотя и	2	1
339	но зато	2	1
340	как принципиально	1	1
341	отношении к	1	1
342	судьбы они	1	1
343	а о	2	1
344	быть и	1	1
345	другой стороны	3	1
346	автора в	2	1
347	записи из	1	1
348	только о	1	1
349	героя в	2	1
350	которому в	1	1
351	который не	1	1
352	в таком	1	1
353	они не	2	1
