N	2gram	Bakhtin_fo_2	PoTuStor
1	может быть	7	17
2	и в	46	16
3	и пр	2	12
4	в этом	22	9
5	и проч	1	9
6	таким образом	3	9
7	и только	2	9
8	мы можем	1	9
9	прежде всего	14	9
10	и с	6	8
11	точки зрения	10	8
12	и его	12	8
13	не может	2	8
14	совершенно не	1	8
15	с его	1	7
16	не только	11	7
17	сказать что	1	7
18	самом деле	1	6
19	конечно не	4	6
20	при этом	6	6
21	с точки	8	6
22	и это	2	6
23	для него	3	6
24	и к	2	6
25	еще не	6	5
26	в чем	1	5
27	отношение к	3	5
28	все эти	5	5
29	только для	2	5
30	ни в	1	5
31	нуждается в	1	5
32	в него	1	5
33	как бы	10	5
34	на самом	1	4
35	и ее	1	4
36	и на	7	4
37	отнюдь не	4	4
38	и наконец	6	4
39	но в	10	4
40	в этой	2	4
41	в нем	5	4
42	его в	6	4
43	в один	1	4
44	все это	6	4
45	по ту	2	4
46	самого начала	1	4
47	мифов и	1	4
48	как мы	6	4
49	с ее	1	4
50	с самого	1	4
51	так и	7	4
52	но мы	1	4
53	можно сказать	2	4
54	в его	8	4
55	только в	11	4
56	для всех	1	4
57	и их	4	4
58	так как	6	4
59	и даже	3	4
60	но и	9	4
61	и не	9	4
62	и все	6	4
63	все что	2	4
64	отношения к	4	3
65	тех же	1	3
66	во всех	11	3
67	в общем	1	3
68	и есть	2	3
69	и как	3	3
70	и художественного	3	3
71	учение о	1	3
72	и вот	2	3
73	их в	4	3
74	на этом	2	3
75	на этой	1	3
76	реальности и	1	3
77	том что	4	3
78	во время	10	3
79	сих пор	2	3
80	в одном	7	3
81	и притом	1	3
82	в основе	6	3
83	до сих	2	3
84	чем не	2	3
85	к себе	4	3
86	те же	6	3
87	мира и	9	3
88	по сравнению	1	3
89	в том	10	3
90	в большинстве	3	3
91	большинстве случаев	3	3
92	и др	5	3
93	пр и	1	3
94	ребенка и	1	3
95	вместе с	9	3
96	и потому	2	3
97	как это	2	3
98	сравнению с	1	3
99	могут быть	2	3
100	в основном	8	3
101	что в	5	3
