N	3gram	Ircho_Kome_1	Istorich
1	с другой стороны	5	8
2	и т д	4	8
3	с одной стороны	3	7
4	в том что	9	5
5	до сих пор	2	4
6	не только в	1	4
7	о том что	3	4
8	вместе с тем	1	3
9	в данном случае	1	3
10	то время как	4	3
11	в тех случаях	1	3
12	к заключению что	1	3
13	в то время	5	3
14	тех случаях когда	1	3
15	отсюда видно что	1	2
16	том что в	1	2
17	но и в	2	2
18	так как он	1	2
19	т е в	2	2
20	во всяком случае	2	2
21	по отношению к	3	2
22	в более ранних	1	2
23	после того как	3	2
24	можно было бы	1	2
25	мы уже знаем	1	2
26	как и в	2	2
27	как мы видели	1	2
28	и один из	1	1
29	что иное как	1	1
30	между небом и	1	1
31	в обоих случаях	1	1
32	в подземное царство	1	1
33	следует отметить что	1	1
34	более или менее	1	1
35	в том числе	1	1
36	том что на	1	1
37	том что он	4	1
38	же как и	1	1
39	небом и землей	1	1
40	в зависимости от	1	1
41	в союзе с	1	1
42	для этой цели	1	1
43	на том месте	1	1
44	таким образом в	2	1
45	по аналогии с	1	1
46	со всех сторон	1	1
47	с этой точки	1	1
48	целые страны в	1	1
49	так же как	1	1
50	уже знакомых нам	1	1
51	но при этом	1	1
52	как один из	1	1
53	обстоит дело с	1	1
54	так или иначе	1	1
55	если они не	1	1
56	т д все	1	1
57	что у него	1	1
58	но это еще	1	1
59	и в том	1	1
60	соответствии с этим	1	1
61	этой точки зрения	1	1
62	совершенно ясна в	1	1
63	независимо от того	1	1
64	в борьбе с	1	1
65	не означает что	1	1
66	подобно тому как	1	1
67	речь идет о	3	1
68	на то что	2	1
69	не что иное	1	1
70	тем не менее	1	1
71	и целые страны	1	1
72	для того чтобы	1	1
73	мы видели это	1	1
74	смысле этого слова	1	1
