N	4gram	Medvedev_F_1	Myshleni
1	в том числе и	1	3
2	заключается в том чтобы	1	3
3	с одной стороны и	4	2
4	в зависимости от этого	1	2
5	независимо друг от друга	1	2
6	и ко всем вообще	1	1
7	в том чтобы раскрыть	1	1
8	и с точки зрения	1	1
9	что как бы ни	1	1
10	с точки зрения этой	1	1
11	с точки зрения этих	1	1
12	которой только и может	1	1
13	бы то ни было	1	1
14	с социологической точки зрения	1	1
15	в зависимости от того	1	1
16	сводится к тому чтобы	1	1
17	какого бы то ни	1	1
18	все более и более	2	1
19	не можем согласиться с	1	1
20	мы не можем согласиться	1	1
21	в том и заключается	1	1
22	смысле этого слова а	1	1
23	на самом же деле	1	1
24	в связи с этим	2	1
