N	2gram	Tiupa_Anal_1	Morfolog
1	может быть	29	52
2	и т	3	49
3	таким образом	3	20
4	в сказке	1	19
5	представляет собой	16	17
6	не может	22	17
7	в этих	1	16
8	могут быть	4	15
9	и в	18	13
10	действующих лиц	1	13
11	в этом	13	13
12	так как	2	12
13	и др	1	12
14	перед нами	1	11
15	связи с	1	11
16	представляют собой	2	10
17	то же	9	9
18	мы имеем	6	9
19	так и	4	9
20	не всегда	4	9
21	прежде всего	6	9
22	а не	17	9
23	в связи	1	9
24	и не	21	9
25	а затем	1	8
26	при помощи	2	8
27	что и	3	8
28	с другой	4	8
29	в результате	1	8
30	вопрос о	2	7
31	имеем в	1	7
32	в качестве	31	7
33	представляет собою	2	7
34	все же	4	7
35	но не	10	6
36	это не	6	6
37	во время	1	6
38	подобно тому	3	6
39	не могут	3	6
40	а также	3	6
41	в том	27	6
42	а в	9	6
43	мы не	1	5
44	во всех	1	5
45	не все	2	5
46	тому как	3	5
47	то что	6	5
48	в ходе	3	5
49	далеко не	6	5
50	не менее	1	5
51	потому что	2	5
52	или в	1	5
53	вслед за	1	5
54	один из	2	5
55	мы увидим	1	5
56	как бы	5	5
57	также и	2	4
58	тех же	1	4
59	если в	3	4
60	как в	1	4
61	хотя и	1	4
62	и как	5	4
63	не только	15	4
64	на его	2	4
65	на этом	2	4
66	его в	1	4
67	было бы	2	4
68	вовсе не	2	4
69	как и	13	4
70	несмотря на	2	4
71	точки зрения	6	4
72	с точки	4	4
73	на котором	1	4
74	ничего не	1	4
75	как мы	2	4
76	могла бы	3	4
77	по отношению	6	4
78	случае не	2	4
79	другой стороны	2	4
80	оно может	3	4
81	отношению к	5	4
82	героя в	2	4
83	что в	5	4
84	самом деле	2	3
85	на самом	2	3
86	в первом	2	3
87	и для	1	3
88	между собой	2	3
89	независимо от	1	3
90	но в	8	3
91	в целом	5	3
92	к месту	2	3
93	в нашем	3	3
94	в пределах	2	3
95	и по	2	3
96	прежде чем	1	3
97	но все	1	3
98	входит в	1	3
99	из них	2	3
100	ни в	4	3
101	том что	12	3
102	в то	9	3
103	в сущности	6	3
104	на него	1	3
105	того чтобы	3	3
106	на нем	1	3
107	если бы	3	3
108	но и	17	3
109	он не	3	3
110	во втором	1	3
111	к нему	3	3
112	в какой	2	3
113	и ее	1	3
114	не происходит	1	3
115	в начале	2	3
116	а то	1	3
117	друг друга	1	3
118	не является	2	3
119	из которых	4	3
120	в карты	1	3
121	форма в	1	3
122	но это	1	3
123	и вызывает	1	3
124	мы должны	1	3
125	же в	1	3
126	требует чтобы	1	3
127	первом случае	2	3
128	смысле слова	1	2
129	как это	1	2
130	собственном смысле	1	2
131	со смертью	1	2
132	есть нечто	1	2
133	чем это	1	2
134	а с	3	2
135	герой не	1	2
136	и таким	1	2
137	первый взгляд	1	2
138	что действительно	1	2
139	как уже	2	2
140	и к	3	2
141	более или	1	2
142	то в	2	2
143	та же	1	2
144	здесь имеется	1	2
145	героя к	2	2
146	отдельных случаях	1	2
147	одному из	2	2
148	не значит	1	2
149	состоит в	11	2
150	волшебная сказка	1	2
151	затем уже	1	2
152	в другом	4	2
153	мы уже	1	2
154	и иных	1	2
155	в ином	1	2
156	оно как	1	2
157	с тем	1	2
158	и тогда	2	2
159	на первый	1	2
160	или менее	1	2
161	для него	2	2
162	и при	1	2
163	и более	4	2
164	однако в	3	2
165	и наоборот	1	2
166	все эти	2	2
167	в обоих	1	2
168	одна из	1	2
169	см ниже	2	2
170	что ни	1	2
171	б в	1	2
172	и его	5	2
173	в каком	1	2
174	к себе	1	2
175	для того	4	2
176	оно не	1	2
177	утверждать что	1	2
178	здесь не	2	2
179	в в	1	2
180	в собственном	3	2
181	и что	1	2
182	сказки как	1	2
183	если они	1	2
184	не с	4	2
185	является в	1	2
186	означает что	3	2
187	о том	5	2
188	нашей работы	1	2
189	с одной	3	2
190	можно сказать	2	2
191	в различных	1	2
192	может не	1	2
193	не означает	1	2
194	и только	1	2
195	того что	4	2
196	герой в	1	2
197	быть и	1	2
198	хотя бы	3	2
199	что он	3	2
200	только в	6	2
201	себя в	6	2
202	с двумя	2	2
203	уже не	4	2
204	вопроса о	3	2
205	или не	2	2
206	в виде	1	2
207	от других	1	2
208	его и	2	2
209	от отца	1	2
210	никто не	3	2
211	как их	1	2
212	материала а	1	2
213	себя и	4	2
214	не знает	1	2
215	что мы	3	2
216	в частности	19	2
217	или по	1	2
218	одной стороны	3	2
219	получает от	1	2
220	волшебной сказки	1	2
221	в отдельных	1	2
222	от него	1	2
223	же оно	1	2
224	не от	1	2
225	в свое	2	2
226	также может	1	2
227	например в	1	1
228	к текстам	1	1
229	таком случае	3	1
230	и то	2	1
231	он показывает	1	1
232	изучения в	1	1
233	он может	2	1
234	и должны	1	1
235	в самостоятельный	1	1
236	между двумя	3	1
237	противном случае	1	1
238	есть не	8	1
239	она в	1	1
240	и была	1	1
241	но никто	1	1
242	положения в	1	1
243	целью узнать	2	1
244	он как	1	1
245	как функции	1	1
246	что это	1	1
247	что иное	5	1
248	не вполне	1	1
249	оно есть	1	1
250	может само	1	1
251	в виду	1	1
252	героев в	1	1
253	он был	1	1
254	общих выводов	1	1
255	служит для	1	1
256	если исходить	1	1
257	тем как	1	1
258	или во	1	1
259	коем случае	2	1
260	мы будем	1	1
261	но как	1	1
262	не входит	1	1
263	тогда как	14	1
264	отношение к	2	1
265	отличие от	6	1
266	она есть	2	1
267	или иное	1	1
268	н веселовский	1	1
269	более чем	4	1
270	вследствие чего	1	1
271	написано на	1	1
272	в рамках	3	1
273	данный момент	1	1
274	не ощущается	2	1
275	если на	1	1
276	для всех	1	1
277	что ее	1	1
278	что касается	1	1
279	в противном	1	1
280	в полном	1	1
281	мысль о	2	1
282	и наконец	1	1
283	по пути	1	1
284	его к	2	1
285	данный текст	2	1
286	и был	1	1
287	смысла но	4	1
288	со своей	1	1
289	втором случае	1	1
290	в которой	2	1
291	из этих	2	1
292	на трех	1	1
293	не в	14	1
294	думать что	2	1
295	в этой	5	1
296	рассказ о	2	1
297	отношение между	1	1
298	и тот	1	1
299	а вовсе	1	1
300	но прежде	1	1
301	всех этих	1	1
302	для данной	1	1
303	его можно	1	1
304	собственно говоря	4	1
305	одно и	1	1
306	по его	1	1
307	здесь мы	1	1
308	однако все	1	1
309	то ни	3	1
310	и может	1	1
311	же касается	1	1
312	на все	2	1
313	ощущается как	1	1
314	с другими	4	1
315	деле в	2	1
316	мы постараемся	1	1
317	и тем	1	1
318	даже в	3	1
319	в итоге	1	1
320	из первых	1	1
321	на что	1	1
322	между собою	1	1
323	и становится	1	1
324	том как	1	1
325	при изучении	2	1
326	этой связи	1	1
327	в их	5	1
328	имеется и	1	1
329	не столько	2	1
330	что говорит	1	1
331	могло бы	1	1
332	бы мы	1	1
333	предмета но	1	1
334	для данного	2	1
335	которые в	2	1
336	при этом	12	1
337	но он	1	1
338	силу и	1	1
339	целое то	1	1
340	не должно	1	1
341	бы быть	3	1
342	есть всегда	1	1
343	тому что	1	1
344	а от	1	1
345	царской дочери	1	1
346	встреча с	1	1
347	в основе	6	1
348	не вызывает	1	1
349	дело не	3	1
350	может только	1	1
351	а сама	1	1
352	же время	6	1
353	этих двух	1	1
354	к концу	1	1
355	что герой	1	1
356	с другом	1	1
357	одним из	3	1
358	в коем	2	1
359	исходить из	1	1
360	если он	1	1
361	всего в	1	1
362	частности как	1	1
363	к тому	7	1
364	той или	6	1
365	не есть	8	1
366	перед его	1	1
367	все еще	1	1
368	на это	1	1
369	где он	1	1
370	как не	1	1
371	людей в	1	1
372	же не	1	1
373	данном случае	2	1
374	как по	1	1
375	на той	1	1
376	анализ и	1	1
377	всей своей	1	1
378	роль в	2	1
379	на свой	1	1
380	как с	1	1
381	те же	1	1
382	а этот	1	1
383	здесь как	1	1
384	еще в	2	1
385	предмет его	1	1
386	и с	2	1
387	он служит	1	1
388	простейший пример	1	1
389	не отвечает	1	1
390	иное как	5	1
391	но к	2	1
392	на вопрос	4	1
393	но мы	1	1
394	живой язык	1	1
395	бы то	3	1
396	и просто	2	1
397	как было	1	1
398	того или	3	1
399	их в	1	1
400	мифах и	1	1
401	том или	3	1
402	за этим	1	1
403	в его	13	1
404	герой волшебной	1	1
405	во всей	1	1
406	язык есть	2	1
407	целого а	1	1
408	мы вполне	1	1
409	в него	1	1
410	в лице	1	1
411	на которой	1	1
412	о его	1	1
413	сказка в	1	1
414	ли он	2	1
415	как нечто	1	1
416	который в	2	1
417	самые разнообразные	1	1
418	но то	1	1
419	действительно не	1	1
420	все они	1	1
421	есть в	1	1
422	действующего лица	1	1
423	что не	3	1
424	соглашаясь с	1	1
425	в данной	1	1
426	дает ему	1	1
427	за ним	1	1
428	быть определено	1	1
429	не так	1	1
430	всяком случае	1	1
431	в одном	1	1
432	у него	1	1
433	при отсутствии	1	1
434	это по	1	1
435	другой а	1	1
436	само собой	1	1
437	без такого	1	1
438	в работу	1	1
439	были бы	1	1
440	только на	1	1
441	знаки и	1	1
442	и даже	1	1
443	со стороны	2	1
444	или иной	6	1
445	даже не	1	1
446	к разрешению	1	1
447	до сих	1	1
448	при возвращении	1	1
449	может и	1	1
450	именно в	4	1
451	а именно	3	1
452	лица в	1	1
453	человека а	1	1
454	его из	1	1
455	в сюжет	1	1
456	в рассказе	1	1
457	непосредственно к	1	1
458	других для	1	1
459	о чем	1	1
460	все более	1	1
461	вступает в	3	1
462	о себе	1	1
463	в некое	1	1
464	путь от	1	1
465	к персонажу	1	1
466	становится на	1	1
467	и объект	1	1
468	по своему	1	1
469	в данном	2	1
470	в течение	1	1
471	ведет к	3	1
472	до его	2	1
473	в тот	1	1
474	из этой	1	1
475	отношения к	2	1
476	в ряду	2	1
477	друг с	1	1
478	как будто	3	1
479	к определению	1	1
480	быть не	3	1
481	о жизни	1	1
482	что же	2	1
483	с этой	1	1
484	еще раз	1	1
485	будто не	1	1
486	в формах	1	1
487	сих пор	1	1
488	только для	2	1
489	же самое	2	1
490	помнить что	1	1
491	быть зафиксированы	1	1
492	является ли	1	1
493	отвечает на	2	1
494	указать на	1	1
495	она может	3	1
496	чем является	1	1
497	или другой	1	1
498	для нас	1	1
499	могли бы	2	1
500	и все	3	1
501	ведут к	1	1
502	идет об	1	1
503	том случае	1	1
504	а н	1	1
505	то оно	1	1
506	не будет	3	1
507	между ними	1	1
508	применение его	1	1
509	равно как	1	1
510	не что	4	1
511	таким же	1	1
512	случае если	1	1
513	в таком	3	1
514	во всяком	1	1
