N	3gram	Savitsky_E_1	Russkaja
1	друг с другом	3	14
2	то же время	14	10
3	в то же	15	10
4	с точки зрения	16	9
5	в том что	6	7
6	во всяком случае	3	6
7	для того чтобы	5	6
8	более или менее	1	4
9	на то что	2	4
10	бы то ни	4	4
11	к тому чтобы	2	4
12	в том случае	1	4
13	не может быть	2	4
14	не может не	1	3
15	в лучшем случае	1	3
16	том случае если	1	3
17	можно было бы	3	3
18	в данном случае	2	3
19	той или иной	4	3
20	только в том	2	2
21	в значительной мере	1	2
22	мы говорили в	1	2
23	себя как на	1	2
24	это потому что	1	2
25	того или иного	4	2
26	и тем самым	1	2
27	друг от друга	2	2
28	в большинстве случаев	2	2
29	к тому что	1	2
30	и того же	1	1
31	к участию в	1	1
32	или хотя бы	2	1
33	ибо в своем	1	1
34	из всего этого	1	1
35	в силу этого	1	1
36	которая как мы	1	1
37	прежде всего в	2	1
38	дело в том	1	1
39	в свою очередь	2	1
40	все что по	1	1
41	между прочим и	2	1
42	но как бы	1	1
43	твердо помнить что	1	1
44	в том числе	1	1
45	в том же	1	1
46	по сие время	1	1
47	и не только	1	1
48	и то и	1	1
49	к европейской культуре	1	1
50	котором мы говорили	1	1
51	в этом отношении	3	1
52	представителей данного народа	2	1
53	на земном шаре	2	1
54	том числе и	1	1
55	заключает в себе	3	1
56	на этот вопрос	1	1
57	этого отнюдь не	1	1
58	в противном случае	1	1
59	несмотря на то	1	1
60	то и другое	1	1
61	есть то что	1	1
62	говорить не о	1	1
63	и в частности	2	1
64	и в своем	1	1
65	в значительной степени	1	1
66	в применении к	3	1
67	же время в	1	1
68	и по сие	1	1
69	россию в ее	1	1
70	отказаться от своей	1	1
71	но в то	2	1
72	то ни было	4	1
73	и с точки	1	1
74	случае если будет	1	1
75	смысле этого слова	1	1
76	только в виде	1	1
77	совершенно очевидно также	1	1
78	и в этом	4	1
79	во всех этих	1	1
80	с отказом от	1	1
81	в связи с	1	1
82	как бы то	1	1
83	условии если в	1	1
84	друг к другу	1	1
85	что во многих	1	1
86	о котором мы	1	1
87	в полной мере	1	1
88	так же как	5	1
89	о которых мы	1	1
90	это зависит от	1	1
91	одну и ту	1	1
92	фактом что к	1	1
93	стремление каждого народа	1	1
94	последнее время в	1	1
95	тех изменений в	1	1
96	заключается в том	2	1
97	говорить о том	1	1
98	тех или иных	1	1
99	народов и культур	1	1
100	но и для	1	1
101	как бы ни	3	1
102	которое в последние	2	1
103	речь идет о	1	1
104	существующих на земном	1	1
105	одного и того	1	1
106	сплошь и рядом	2	1
107	совершенно очевидно что	1	1
108	и ту же	1	1
109	точки зрения этих	1	1
110	во многих случаях	1	1
111	и прежде всего	3	1
112	древних галлов и	1	1
113	всех этих случаях	1	1
114	россии что же	1	1
115	к тому же	1	1
116	и только в	2	1
