N	2gram	Ircho_Kome_3	Hudozhes
1	и в	22	28
2	том что	13	19
3	в ее	3	18
4	и не	21	18
5	в том	12	15
6	а не	4	14
7	в этом	8	13
8	не в	4	13
9	о том	8	12
10	перед нами	1	11
11	не только	5	11
12	при этом	7	11
13	как и	3	11
14	в его	8	11
15	не случайно	1	10
16	в себе	4	9
17	но и	4	9
18	так и	4	8
19	между тем	2	8
20	что он	8	8
21	в душе	1	8
22	может быть	6	8
23	о чем	7	8
24	я не	1	7
25	по отношению	5	7
26	казалось что	1	7
27	что она	4	7
28	состоит в	2	7
29	в мире	2	7
30	об этом	7	7
31	к тому	6	7
32	в частности	3	7
33	как это	5	7
34	и все	2	7
35	с ним	5	7
36	жизни в	1	7
37	отношению к	3	7
38	я и	1	6
39	в котором	2	6
40	то же	7	6
41	не было	2	6
42	и с	4	6
43	в глазах	8	6
44	в своей	5	6
45	в то	6	6
46	тем что	5	6
47	если бы	8	6
48	сводится к	1	6
49	можно сказать	1	6
50	это не	2	6
51	а в	7	6
52	то что	4	6
53	жизни и	1	6
54	с его	3	5
55	в этой	3	5
56	как в	2	5
57	в самом	9	5
58	не могла	3	5
59	в своем	8	5
60	не менее	5	5
61	у него	4	5
62	никогда не	3	5
63	ничего не	3	5
64	и его	6	5
65	в детстве	1	5
66	она не	2	5
67	и сам	5	5
68	его жизни	1	5
69	только на	1	5
70	одно из	1	5
71	наряду с	2	5
72	как бы	3	5
73	да и	1	5
74	что в	5	5
75	и т	4	4
76	но не	1	4
77	то в	1	4
78	подобно тому	1	4
79	человека в	2	4
80	он не	5	4
81	в других	3	4
82	тем не	3	4
83	тому что	2	4
84	же время	5	4
85	в городе	1	4
86	и о	2	4
87	того чтобы	6	4
88	в конечном	2	4
89	вслед за	1	4
90	что они	2	4
91	только в	1	4
92	в качестве	2	4
93	что и	8	4
94	как раз	6	4
95	для того	6	4
96	говорит о	1	4
97	превращается в	1	4
98	не может	3	4
99	тому как	1	4
100	была бы	1	3
101	чтобы не	1	3
102	человека и	2	3
103	едва ли	7	3
104	на себя	4	3
105	и он	2	3
106	в ней	4	3
107	но при	2	3
108	еще не	6	3
109	и на	2	3
110	столь же	3	3
111	в ответ	1	3
112	со стороны	11	3
113	бы не	2	3
114	раз в	2	3
115	как он	3	3
116	в нем	3	3
117	можно было	2	3
118	что все	1	3
119	с другими	2	3
120	было бы	3	3
121	в это	1	3
122	в них	3	3
123	соответствии с	1	3
124	несмотря на	4	3
125	в этих	1	3
126	этом и	1	3
127	на него	4	3
128	о них	1	3
129	со своим	1	3
130	к себе	5	3
131	как только	1	3
132	же самое	3	3
133	и это	2	3
134	что у	1	3
135	когда в	1	3
136	и ему	1	3
137	все его	1	3
138	к нему	5	3
139	одной из	3	3
140	и ее	2	3
141	с одной	3	3
142	для нас	1	3
143	теперь же	3	3
144	конечном счете	2	3
145	в одном	2	3
146	что на	1	3
147	с другой	4	3
148	на ее	3	3
149	все время	2	3
150	а с	1	3
151	прежде всего	5	3
152	в соответствии	1	3
153	человек в	1	3
154	своего мужа	1	3
155	так же	4	3
156	одной стороны	3	3
157	в состоянии	1	3
158	все это	5	3
159	всего лишь	2	3
160	ли в	2	3
161	или в	1	3
162	все они	1	3
163	на фоне	1	3
164	по поводу	1	3
165	самом деле	6	3
166	во сне	1	3
167	все что	3	3
168	о любви	2	2
169	в первом	1	2
170	любовного чувства	1	2
171	той же	1	2
172	а как	2	2
173	который в	3	2
174	на пороге	1	2
175	он знает	4	2
176	на душе	1	2
177	говорить о	3	2
178	а для	1	2
179	они были	1	2
180	он сам	1	2
181	на кого	1	2
