N	4gram	Vygotskiy__5	Vvedenie
1	не что иное как	2	4
2	с одной стороны и	1	3
3	и в самом деле	1	3
4	дело в том что	1	2
5	состоит в том что	2	2
6	для того чтобы он	1	2
7	одной и той же	2	2
8	заключается в том что	4	2
9	ответ на этот вопрос	2	2
10	мы имеем дело с	1	1
11	и именно в этом	1	1
12	нужно принять во внимание	1	1
13	потому что в этом	1	1
14	одного и того же	2	1
15	то для того чтобы	1	1
16	можно было бы назвать	1	1
17	до тех пор пока	2	1
18	одно и то же	3	1
19	в том или ином	1	1
20	в том что с	1	1
21	в собственном смысле слова	1	1
22	в том факте что	1	1
23	заключается в том чтобы	1	1
24	это состоит в том	1	1
25	в том виде как	1	1
26	но вместе с тем	1	1
27	и для того чтобы	1	1
28	всегда заключает в себе	1	1
29	с этой точки зрения	1	1
30	и т д мы	1	1
31	если принять во внимание	1	1
32	для того чтобы сделать	1	1
33	в каждом данном случае	1	1
34	что иное как именно	1	1
