N	2gram	Savitsky_P_1	Psycholo
1	то что	4	44
2	и в	14	33
3	в этом	10	28
4	и что	1	25
5	как бы	4	25
6	потому что	3	24
7	для того	3	23
8	том что	4	22
9	того чтобы	1	22
10	может быть	5	22
11	что в	4	21
12	в том	9	21
13	и мы	2	15
14	только что	1	15
15	что это	1	13
16	так же	1	13
17	и не	12	13
18	все это	2	13
19	в самом	1	12
20	было бы	6	12
21	если мы	1	12
22	что все	1	11
23	на то	1	10
24	если бы	4	10
25	в его	2	10
26	как она	1	10
27	не может	4	10
28	то же	9	9
29	в этой	1	9
30	и если	4	9
31	по себе	4	9
32	как раз	2	9
33	совершенно ясно	1	8
34	для этого	1	8
35	вместе с	1	8
36	в каком	1	8
37	в своем	4	7
38	не только	17	7
39	в нем	3	7
40	и только	1	7
41	для нас	2	7
42	и т	3	6
43	в ней	6	6
44	в себе	3	6
45	и вот	2	6
46	точки зрения	3	6
47	что эта	1	6
48	никак не	2	6
49	это не	3	6
50	мы видим	1	6
51	а не	2	6
52	что мы	3	6
53	мы должны	4	6
54	как на	2	6
55	мы не	3	5
56	и на	1	5
57	с этим	2	5
58	все же	1	5
59	и как	3	5
60	ясно что	1	5
61	как и	1	5
62	нисколько не	1	5
63	никогда не	1	5
64	и это	2	5
65	казалось бы	1	5
66	заключается в	3	5
67	в какой	1	5
68	мы можем	1	5
69	и есть	2	4
70	в которой	1	4
71	с тем	3	4
72	и уже	1	4
73	знаем что	1	4
74	с точки	3	4
75	одна из	2	4
76	а в	4	4
77	с другом	1	4
78	и о	5	4
79	в порядке	3	4
80	не просто	1	4
81	того что	2	4
82	только в	7	4
83	себя в	1	4
84	в жизни	2	4
85	и других	2	4
86	из них	2	4
87	что не	1	4
88	в частности	2	4
89	друг с	1	4
90	это в	1	4
91	например в	2	3
92	же как	1	3
93	что если	1	3
94	говорить о	2	3
95	применительно к	1	3
96	что его	1	3
97	но не	3	3
98	что именно	1	3
99	вот как	1	3
100	из этой	1	3
101	какой бы	1	3
102	его в	1	3
103	далеко не	1	3
104	должно быть	2	3
105	в которых	5	3
106	бы мы	1	3
107	тем самым	3	3
108	она не	1	3
109	в то	7	3
110	мы все	1	3
111	с ее	1	3
112	что составляет	1	3
113	в пределах	8	3
114	в мире	2	3
115	за то	1	3
116	и здесь	1	3
117	что и	1	3
