N	2gram	Propp_Russ_2	ViktorSh
1	и в	29	2
2	том что	22	2
3	в том	22	2
4	в конце	1	2
5	тем более	1	1
6	есть ряд	1	1
7	под влиянием	1	1
8	в другом	1	1
9	и не	1	1
10	все время	1	1
11	и его	1	1
12	потому что	5	1
13	даже не	1	1
14	сводится к	1	1
15	один пример	1	1
16	и то	2	1
17	другом месте	1	1
18	все это	10	1
19	от других	1	1
20	именно в	4	1
21	главным образом	3	1
22	этом и	2	1
23	по своим	1	1
24	в их	2	1
25	их как	1	1
26	дело в	1	1
27	так в	2	1
28	все то	2	1
29	образом из	1	1
30	в которых	4	1
31	в самом	1	1
32	для них	2	1
33	только в	1	1
34	то же	4	1
35	так как	13	1
36	далеко не	4	1
37	не будем	3	1
38	же месте	1	1
39	но это	1	1
40	в этом	11	1
41	чем больше	1	1
42	по существу	4	1
43	к этому	5	1
44	том же	4	1
45	связанным с	1	1
