N	2gram	Tiupa_Disk_2	slovoVRo
1	в романе	1	46
2	чужого слова	1	40
3	и в	16	39
4	может быть	16	37
5	и его	3	33
6	то есть	12	26
7	не только	10	24
8	и не	15	22
9	но и	11	21
10	не может	9	20
11	в нем	7	19
12	до конца	1	17
13	в этом	16	16
14	чужой речи	1	16
15	все это	2	16
16	так и	9	15
17	романного жанра	2	15
18	а не	14	14
19	отличие от	12	13
20	как в	8	13
21	в процессе	1	13
22	в пределах	4	13
23	во всех	1	12
24	в отличие	12	12
25	в истории	1	11
26	слово в	1	11
27	вовсе не	1	10
28	к своему	2	9
29	и с	2	9
30	не в	3	9
31	со своим	2	9
32	языка и	1	9
33	таким образом	1	8
34	оно не	1	8
35	себя в	6	8
36	прежде всего	7	8
37	слова и	1	8
38	точки зрения	4	8
39	еще не	6	7
40	с его	6	7
41	пределах одного	1	7
42	при этом	17	7
43	в этих	3	7
44	для него	5	7
45	с ним	1	7
46	никогда не	2	7
47	могут быть	3	7
48	в его	3	7
49	и даже	1	7
50	как бы	4	7
51	в сущности	1	6
52	но не	7	6
53	в своем	5	6
54	все же	6	6
55	но в	11	6
56	все эти	3	6
57	так сказать	1	6
58	авторитарного слова	1	6
59	значительной степени	1	6
60	в них	3	6
61	как и	16	6
62	она не	1	6
63	в значительной	1	6
64	в большинстве	2	6
65	человек в	1	6
66	там где	1	6
67	этом случае	2	6
68	жизни и	3	6
69	например в	3	5
70	человека в	4	5
71	это не	3	5
72	том что	10	5
73	мышления и	1	5
74	не могут	1	5
75	но все	1	5
76	той или	3	5
77	мира и	4	5
78	с другой	5	5
79	один из	1	5
80	в том	8	5
81	с одной	4	5
82	уже не	3	5
83	и их	1	5
84	одной стороны	4	5
85	или иной	3	5
86	большинстве случаев	1	5
87	и для	2	5
88	только в	3	5
89	романа и	2	5
90	и все	3	5
91	и наконец	3	5
92	его не	1	4
93	и на	5	4
94	по отношению	4	4
95	отношение к	2	4
96	то же	6	4
97	слова не	2	4
98	его в	3	4
99	входит в	2	4
100	и иных	1	4
101	на почве	2	4
102	ни в	7	4
103	не менее	7	4
104	в то	5	4
105	одна из	1	4
106	в основе	4	4
107	же время	5	4
108	во всем	1	4
109	здесь не	2	4
110	для этого	1	4
111	но здесь	2	4
112	поэтому и	1	4
113	для всех	1	4
114	двуголосого слова	1	4
115	и др	1	4
116	себя и	1	4
117	на фоне	1	4
118	и мир	1	4
119	xix века	1	4
120	в той	2	4
121	а в	2	4
122	отношению к	4	4
123	как это	1	3
124	должна быть	2	3
125	той же	2	3
126	говорить о	2	3
127	в чем	1	3
128	в собственном	1	3
129	стороны и	2	3
