N	4gram	Bakhtin_Pr_1	Freidism
1	в то же время	9	4
2	бы то ни было	1	2
3	но в то же	5	2
4	с точки зрения сознания	1	2
5	в зависимости от того	1	2
6	в пределах того что	1	1
7	они и не могут	1	1
8	мы имеем в виду	1	1
9	в целом ряде других	2	1
10	и быть не может	1	1
11	мы должны перейти к	1	1
12	во что бы то	1	1
13	это и есть та	1	1
14	и не могут быть	1	1
15	теперь мы должны перейти	1	1
16	что же это за	1	1
17	и в нем мы	1	1
18	что бы то ни	1	1
19	бы то ни стало	1	1
20	другая точка зрения на	1	1
21	во всяком случае не	1	1
22	зависимости от того в	1	1
23	и по отношению к	1	1
