1	по отношению к	4	7
2	в соответствии с	3	6
3	в данном случае	4	6
4	с одной стороны	4	5
5	в свою очередь	1	4
6	о том что	4	4
7	к тому же	5	4
8	в этом отношении	5	4
9	в то же	7	4
10	как будто бы	1	3
11	тем не менее	1	3
12	по большей части	2	3
13	не может быть	3	3
14	в том что	4	3
15	на самом деле	1	3
16	то же время	7	3
17	может быть не	1	3
18	присутствия в мире	6	2
19	но и в	2	2
20	не только в	2	2
21	едва ли не	1	2
22	начало и конец	1	2
23	человеческого присутствия в	2	2
24	но при этом	1	2
25	в отличие от	5	2
26	и представляет собой	1	2
27	в том чтобы	2	2
28	более или менее	1	2
29	той или иной	2	2
30	состоит в том	2	2
31	и тем самым	2	2
32	а то и	1	2
33	подобно тому как	2	2
34	в том числе	3	1
35	на первый взгляд	1	1
36	в целом как	1	1
37	к такого рода	1	1
38	содержит в себе	1	1
39	что иное как	1	1
40	в воспринимающем сознании	1	1
41	сказать и о	1	1
42	в е годы	8	1
43	в жизни так	1	1
44	одной стороны и	2	1
45	организатор коммуникативного события	1	1
46	которое может быть	1	1
47	или иначе в	1	1
48	но и не	2	1
49	тогда как в	3	1
50	именно то что	1	1
51	оказываются своего рода	1	1
52	обратим внимание на	2	1
53	один день ивана	1	1
54	в начале х	3	1
55	друг от друга	1	1
56	в связи с	1	1
57	по аналогии с	1	1
58	но не в	1	1
59	исследования в области	1	1
60	хотя и не	1	1
61	в этой системе	1	1
62	а не только	1	1
63	всякое коммуникативное событие	1	1
64	а не как	2	1
65	в котором мы	1	1
66	в значительной степени	1	1
67	и т.п и	1	1
68	так и не	1	1
69	как бы не	1	1
70	сближает его с	1	1
71	ли не наиболее	1	1
72	в той или	1	1
73	по сути своей	1	1
74	с того что	1	1
75	человека в мире	1	1
76	то же самое	2	1
77	из того что	2	1
78	том числе и	2	1
79	не что иное	1	1
80	как бы в	1	1
81	но это не	1	1
82	о том как	1	1
83	может быть вполне	1	1
84	гордон и дудоров	1	1
85	в коммуникативное событие	1	1
86	если говорить о	1	1
87	объекта и адресата	1	1
88	и в самом	2	1
89	в конечном счете	1	1
90	а также в	1	1
91	с другой стороны	2	1
92	день ивана денисовича	1	1
93	на то что	2	1
94	в художественном тексте	1	1
95	может быть только	1	1
96	так сказать изнутри	1	1
97	начинается с того	1	1
98	в этот самый	1	1
99	субъекта объекта и	1	1
100	но и с	1	1
101	только по отношению	1	1
102	несмотря на его	1	1
