N	3gram	Tiupa_Narr_2	VLabPisa
1	в этом отношении	3	13
2	и т п	2	9
3	не может быть	2	8
4	по отношению к	5	7
5	более или менее	1	6
6	в зависимости от	1	5
7	то же время	3	5
8	в конечном счете	3	5
9	в то же	3	5
10	не следует понимать	1	5
11	в связи с	1	4
12	можно сказать что	3	4
13	в том что	8	4
14	как это делает	1	3
15	и в то	1	3
16	о том что	4	3
17	к тому что	3	3
18	которая не может	1	2
19	не может не	1	2
20	одной стороны и	1	2
21	в чем же	1	2
22	подобно тому как	2	2
23	как об этом	1	2
24	до сих пор	1	2
25	что все эти	1	2
26	можно было бы	1	2
27	и не может	2	2
28	в этом процессе	1	2
29	с одной стороны	5	2
30	нет никаких оснований	1	2
31	во всяком случае	1	2
32	этой точки зрения	1	2
33	в частности в	1	2
34	не только не	2	2
35	для того чтобы	1	2
36	и в другом	1	2
37	не следует смешивать	1	1
38	на этот вопрос	1	1
39	хотя и не	2	1
40	в той или	1	1
41	точки зрения на	1	1
42	хотя бы его	1	1
43	в которой он	1	1
44	прежде всего следует	1	1
45	об отсутствии у	1	1
46	иметь в виду	1	1
47	то время как	1	1
48	может быть сведена	1	1
49	в самом деле	1	1
50	в этом смысле	1	1
51	в соответствии с	3	1
52	же как это	1	1
53	войны и мира	4	1
54	как это обычно	1	1
55	следует смешивать с	1	1
56	с этой точки	1	1
57	том как он	1	1
58	в частности из	1	1
59	в таком случае	1	1
60	и так или	1	1
61	но и в	2	1
62	но то же	1	1
63	достоевского и толстого	1	1
64	у него еще	1	1
65	по аналогии с	1	1
66	оснований видеть в	1	1
67	следует иметь в	1	1
68	том или ином	1	1
69	в противном случае	1	1
70	т п все	1	1
71	хотя оно и	1	1
72	так или иначе	1	1
73	в том или	1	1
74	в данном случае	6	1
75	далеко не всегда	1	1
76	не только в	6	1
77	противном случае он	1	1
78	то же самое	1	1
79	так же как	2	1
80	таким образом для	1	1
81	по сравнению с	1	1
82	имеем дело с	2	1
83	быть сведена к	1	1
84	не в том	1	1
85	с другой в	1	1
86	ответ на этот	1	1
87	не могло бы	1	1
88	а между тем	1	1
89	все то что	2	1
90	следует подчеркнуть что	2	1
91	а не только	1	1
92	того или иного	3	1
93	а в том	2	1
94	но с другой	1	1
95	в то время	1	1
96	бесконечное число раз	1	1
97	одной из этих	1	1
98	в реальной действительности	1	1
99	в каждой из	1	1
100	по его мнению	1	1
101	той или иной	3	1
102	в этой системе	1	1
103	в саду и	1	1
104	а порой и	1	1
105	в том смысле	1	1
106	на протяжении жизни	1	1
107	на одном полюсе	2	1
108	действительной жизни и	1	1
109	мы имеем дело	2	1
110	к тому же	4	1
