N	2gram	Bakhtin_fo_2	Komedia
1	и в	46	22
2	и не	9	21
3	том что	4	13
4	таким образом	3	12
5	в том	10	12
6	так как	6	11
7	ни в	1	10
8	потому что	8	10
9	в самом	1	9
10	до сих	2	9
11	вместе с	9	9
12	сих пор	2	9
13	в этом	22	8
14	его в	6	8
15	в своем	5	8
16	о том	4	8
17	если бы	1	8
18	в его	8	8
19	что и	3	8
20	что он	3	8
21	то же	8	7
22	при этом	6	7
23	не по	1	7
24	об этом	1	7
25	в конце	2	7
26	о чем	3	7
27	а в	3	7
28	в свою	1	7
29	того же	3	6
30	самом деле	1	6
31	еще не	6	6
32	так что	4	6
33	iii в	1	6
34	в то	5	6
35	и его	12	6
36	к тому	3	6
37	того чтобы	8	6
38	свою очередь	1	6
39	и что	1	6
40	для того	8	6
41	может быть	7	6
42	во время	10	6
43	к этому	3	6
44	отношение к	3	5
45	но в	10	5
46	не только	11	5
47	он не	5	5
48	в своей	1	5
49	в которых	3	5
50	же время	4	5
51	связи с	8	5
52	к себе	4	5
53	и сам	1	5
54	хотя и	3	5
55	с ним	4	5
56	что в	5	5
57	из них	8	5
58	тем что	3	5
59	прежде всего	14	5
60	как это	2	5
61	все это	6	5
62	и т	14	4
63	в ней	1	4
64	он был	2	4
65	с другой	2	4
66	нет и	3	4
67	и речи	1	4
68	отнюдь не	4	4
69	все же	6	4
70	когда он	1	4
71	то что	7	4
72	в себе	4	4
73	но все	1	4
74	и с	6	4
75	должен был	1	4
76	с тем	2	4
77	несмотря на	1	4
78	точки зрения	10	4
79	не в	9	4
80	однако в	1	4
81	в отношении	2	4
82	самого начала	1	4
83	на него	1	4
84	у него	9	4
85	и здесь	1	4
86	с самого	1	4
87	так и	7	4
88	между собой	1	4
89	и поэтому	1	4
90	с помощью	3	4
91	до нас	1	4
92	т п	11	4
93	вовсе не	13	4
94	но и	9	4
95	до конца	2	4
96	ничем не	1	4
97	а не	4	4
98	в связи	8	4
99	не является	3	4
100	и для	9	4
101	бы в	1	4
102	тем более	3	4
103	так же	2	4
104	идет о	1	3
105	говорить о	2	3
106	из того	1	3
107	девушке и	1	3
108	с его	1	3
109	в ее	1	3
110	с этим	5	3
111	и к	2	3
112	тем же	2	3
113	и этим	1	3
114	в которой	1	3
115	в этой	2	3
116	и тот	1	3
117	как он	2	3
118	не могла	2	3
119	в нем	5	3
120	при виде	3	3
121	прежде чем	3	3
122	от нее	1	3
123	дома и	1	3
