N	3gram	Propp_Isto_5	Formalny
1	не может быть	3	10
2	в связи с	4	10
3	с точки зрения	1	7
4	в самом деле	1	5
5	с тем что	1	5
6	то же время	1	5
7	в то же	1	5
8	во всяком случае	1	5
9	и т д	18	5
10	вместе с тем	6	4
11	как мы видели	1	4
12	на самом деле	1	3
13	в зависимости от	1	3
14	сам по себе	1	3
15	но и в	2	3
16	не в том	1	3
17	в том смысле	1	3
18	с другой стороны	8	3
19	хотя бы в	1	3
20	для того чтобы	3	3
21	в отличие от	1	2
22	с самого начала	1	2
23	но все же	4	2
24	том что искусство	1	2
25	в том что	2	2
26	как мы знаем	1	2
27	мы знаем что	4	1
28	иметь в виду	1	1
29	в виду что	1	1
30	что перед нами	1	1
31	в этом случае	7	1
32	он не может	2	1
33	с одной стороны	7	1
34	что он уже	1	1
35	только в том	1	1
36	до сих пор	2	1
37	смысле в каком	1	1
38	и в других	1	1
39	что он не	1	1
40	со всем что	1	1
41	как мы увидим	3	1
42	во всех этих	1	1
43	к его пониманию	1	1
44	из того что	1	1
45	не сам по	1	1
46	только тем что	1	1
47	это может быть	1	1
48	совершенно естественно что	1	1
49	т е в	3	1
50	в особенности в	2	1
51	и многие другие	1	1
52	в данном случае	2	1
53	в том чтобы	2	1
54	тем что он	2	1
55	в книге о	1	1
56	при помощи которой	2	1
57	на задний план	1	1
58	в развитии этого	1	1
59	то что он	1	1
60	все эти формы	1	1
61	том смысле в	1	1
62	каждого из них	1	1
63	таким образом в	1	1
64	но тем не	1	1
65	таким образом мы	2	1
66	но эти случаи	1	1
67	и тем самым	1	1
68	в свою очередь	1	1
69	едва ли можно	1	1
70	совершенно очевидно что	1	1
71	тем не менее	4	1
72	все же необходимо	1	1
73	а не в	1	1
74	как и в	2	1
75	что и в	2	1
76	и входит в	1	1
