N	3gram	Savitsky_P_1	Psycholo
1	в том что	4	11
2	с точки зрения	3	9
3	для того чтобы	1	8
4	заключается в том	2	6
5	совершенно ясно что	1	5
6	с одной стороны	3	5
7	с другой стороны	1	5
8	и т д	1	4
9	и в этом	1	3
10	и то что	1	3
11	мы видим в	1	2
12	к первой половине	1	2
13	вместе с тем	1	2
14	между тем в	1	2
15	не в том	1	2
16	во всяком случае	1	2
17	в том виде	1	1
18	одна из важнейших	1	1
19	есть не более	1	1
20	том виде какой	1	1
21	что в этом	1	1
22	более или менее	1	1
23	и как раз	2	1
24	в отличие от	1	1
25	не было бы	1	1
26	с тем чтобы	1	1
27	и если бы	2	1
28	заключает в себе	2	1
29	что дело идет	1	1
30	и есть в	1	1
31	в применении к	1	1
32	в этом противоположении	1	1
33	там где он	1	1
34	мы все же	1	1
35	и мы должны	1	1
36	не только как	1	1
37	мы отнюдь не	1	1
38	что то же	1	1
39	по сравнению с	1	1
40	ее место в	1	1
41	если бы мы	1	1
42	она не только	1	1
43	мы знаем что	1	1
44	не более как	1	1
45	не может быть	1	1
46	а никак не	1	1
47	что именно на	1	1
