N	3gram	Vinokur_Ku_2	SlovoVZh
1	не может быть	4	7
2	можно сказать что	2	5
3	дело в том	1	4
4	в том что	10	4
5	тем не менее	5	3
6	бы то ни	1	3
7	может быть и	1	3
8	этой точки зрения	2	3
9	до сих пор	1	3
10	и не в	1	3
11	то ни было	1	3
12	на самом деле	2	2
13	с другой стороны	7	2
14	да и вообще	1	2
15	с точки зрения	8	2
16	в зависимости от	4	2
17	конечно не может	1	2
18	находит свое выражение	1	2
19	в каком отношении	1	2
20	в данном случае	1	2
21	в настоящее время	1	2
22	с одной стороны	1	2
23	тех или иных	1	1
24	зависимости от того	1	1
25	том что в	1	1
26	самом деле это	1	1
27	но все же	2	1
28	на это мы	1	1
29	это на примере	1	1
30	но и вся	1	1
31	однако он не	1	1
32	все более и	1	1
33	какой бы то	1	1
34	уже не может	3	1
35	то время как	1	1
36	во всяком случае	5	1
37	не должно быть	1	1
38	первого же взгляда	1	1
39	в самом деле	7	1
40	в этом смысле	5	1
41	свое выражение в	1	1
42	по себе не	2	1
43	которая находит свое	1	1
44	в то время	1	1
45	от того кто	1	1
46	убедиться в этом	1	1
47	что мы имеем	1	1
48	ту же социальную	1	1
49	сам по себе	1	1
50	сами по себе	1	1
51	то что мы	1	1
52	в свою очередь	2	1
53	о том что	1	1
54	но все это	1	1
55	только то что	1	1
56	ничего общего с	1	1
57	в этом отношении	3	1
58	ясно что не	1	1
59	с самого начала	1	1
60	то что я	1	1
61	в конечном счете	2	1
62	совершенно ясно что	1	1
63	связь слова с	1	1
64	но есть в	1	1
65	более и более	1	1
66	и прежде всего	1	1
67	можно было бы	9	1
68	речи так как	1	1
69	то же время	3	1
70	и здесь мы	1	1
71	к слову в	1	1
72	прежде всего тем	1	1
73	в противном случае	1	1
74	в лучшем случае	3	1
75	они ни были	1	1
76	мы видели в	1	1
77	может быть только	2	1
78	по крайней мере	6	1
79	в то же	3	1
80	грамматических форм которые	1	1
81	характер и становится	1	1
82	и в частности	1	1
83	в том и	1	1
84	в такой степени	1	1
85	того чтобы не	1	1
86	в значительной степени	1	1
87	сама по себе	1	1
88	так же как	2	1
89	в виду не	1	1
90	как и в	1	1
91	к тому же	1	1
92	к вопросу о	2	1
93	и с другой	1	1
94	с первого же	2	1
