N	3gram	Medvedev_F_1	DiskursI
1	в отличие от	1	12
2	в том что	1	6
3	в данном случае	1	6
4	то же время	8	5
5	с одной стороны	4	4
6	в то же	8	4
7	по отношению к	4	4
8	в этом отношении	1	4
9	так и в	4	3
10	не может быть	5	3
11	как и всякое	1	2
12	и не может	2	2
13	состоит в том	1	2
14	и может быть	1	2
15	и как бы	1	2
16	не сводится к	2	2
17	с точки зрения	13	2
18	одной стороны и	4	2
19	так и на	1	2
20	можно говорить о	1	1
21	прежде всего в	3	1
22	с самого начала	1	1
23	для этого она	1	1
24	средства изображения и	2	1
25	же время и	1	1
26	в том числе	1	1
27	в большинстве случаев	2	1
28	бы то ни	3	1
29	и в частности	2	1
30	в это время	1	1
31	при этом не	1	1
32	а также и	1	1
33	и в то	1	1
34	взаимодействия при этом	1	1
35	с другой стороны	1	1
36	то ни было	1	1
37	в предыдущей главе	1	1
38	между тем как	1	1
39	свои формы и	1	1
40	становления и развития	1	1
41	так и с	1	1
42	в искусстве не	1	1
43	в пределах одного	1	1
44	того или иного	2	1
45	целого отнюдь не	1	1
46	не приводит к	1	1
47	и здесь в	1	1
48	быть и не	2	1
49	из виду что	2	1
50	а часто и	2	1
51	в целом и	1	1
52	но все эти	1	1
53	не менее в	1	1
54	в применении к	2	1
55	говоря уже о	1	1
56	все то что	1	1
57	художественного целого отнюдь	1	1
58	не столько в	1	1
59	по аналогии с	3	1
60	целом и в	1	1
61	та или иная	1	1
62	отнюдь не является	1	1
63	изображения и выражения	1	1
64	в своем творчестве	1	1
65	не говоря уже	1	1
66	друг от друга	2	1
67	по своей природе	1	1
68	один из важнейших	1	1
69	том числе и	1	1
70	тем не менее	1	1
71	во внешнем мире	1	1
72	а не как	1	1
73	но для этого	1	1
74	во всяком случае	4	1
75	и в пределах	1	1
