N	2gram	Tiupa_Hudo_1	formyVre
1	и в	19	46
2	в этом	11	22
3	прежде всего	4	14
4	вовсе не	2	13
5	в романе	3	13
6	и его	12	12
7	во всех	3	11
8	не только	16	11
9	только в	5	11
10	смерти в	1	11
11	как бы	9	10
12	то есть	18	10
13	точки зрения	10	10
14	в том	18	10
15	но в	7	10
16	не в	7	9
17	у него	1	9
18	но и	10	9
19	вместе с	1	9
20	и не	15	9
21	и для	2	9
22	мира и	2	9
23	то же	10	8
24	как и	2	8
25	с точки	3	8
26	для того	2	8
27	того чтобы	2	8
28	потому что	3	8
29	связи с	1	8
30	в его	9	8
31	из них	1	8
32	в связи	1	8
33	жизни и	1	8
34	и на	2	7
35	так и	11	7
36	в них	2	7
37	в эпизоде	1	7
38	может быть	14	7
39	времени в	2	7
40	в одном	2	7
41	то что	4	7
42	как мы	1	6
43	еще не	3	6
44	при этом	13	6
45	этом мире	2	6
46	его в	2	6
47	в основе	4	6
48	никогда не	2	6
49	те же	1	6
50	так как	1	6
51	в особенности	1	6
52	все это	2	6
53	но не	11	5
54	в своем	2	5
55	все эти	2	5
56	он не	4	5
57	в нем	5	5
58	должно быть	1	5
59	в то	6	5
60	в пространстве	2	5
61	и др	2	5
62	в частности	13	5
63	в пределах	3	5
64	что в	6	5
65	отношения к	2	4
66	также и	1	4
67	человека и	1	4
68	в мире	21	4
69	что они	1	4
70	в истории	1	4
71	как в	2	4
72	из этих	3	4
73	в себе	9	4
74	их в	3	4
75	том что	8	4
76	в котором	1	4
77	место в	4	4
78	том же	1	4
79	героев и	1	4
80	же время	5	4
81	с ним	2	4
82	о том	2	4
83	вопросу о	1	4
84	так что	1	4
85	а не	9	4
86	человеческой жизни	2	4
87	отнюдь не	2	4
88	с этой	1	4
89	же в	1	4
90	жизни в	2	4
91	в виду	5	3
92	того же	2	3
93	слова и	2	3
94	для других	1	3
95	отношение к	5	3
96	хотя и	3	3
97	как уже	2	3
98	и как	3	3
99	весь мир	1	3
100	уже не	4	3
101	имеем в	3	3
102	при виде	1	3
103	и по	2	3
104	таким образом	3	3
105	здесь мы	1	3
106	а затем	1	3
107	новой жизни	1	3
108	на первый	1	3
109	в их	5	3
110	не могли	1	3
111	же самое	1	3
112	к тому	4	3
113	имеет место	2	3
114	себя и	2	3
115	на основе	2	3
116	зрения не	1	3
117	роль в	1	3
118	и совершенно	1	3
119	в другом	3	3
120	а также	5	3
121	как у	1	3
122	что и	2	3
123	того что	4	3
124	тот же	1	3
125	что он	3	3
126	во времени	4	3
127	все они	1	3
128	в качестве	24	3
129	для него	4	3
130	в прошлом	1	3
131	тем что	1	3
132	в форме	4	3
133	и даже	1	3
134	и прежде	1	3
135	не было	1	3
136	не на	3	3
137	о чем	2	3
138	вещами и	1	3
139	мира в	2	3
140	еще нет	1	3
141	в это	1	3
142	к вопросу	1	3
143	не является	4	3
144	тем более	1	3
145	в этих	3	3
146	ее в	2	3
147	а в	12	3
148	всего в	1	3
149	и другие	2	3
150	том числе	2	3
151	ту же	1	2
152	связи между	1	2
153	и есть	1	2
154	этого мира	1	2
155	мы имеем	6	2
156	рядом в	1	2
157	в сущности	1	2
158	говорить о	3	2
159	жизни как	3	2
160	и т.п	4	2
161	если в	1	2
162	к ним	1	2
163	вступают в	1	2
164	друг от	1	2
165	в одной	1	2
166	то в	2	2
167	и к	3	2
168	всего романа	1	2
169	в этой	2	2
170	с одной	2	2
171	не могла	1	2
172	на земле	1	2
173	картины мира	3	2
174	на этом	1	2
175	мыслится как	1	2
176	лишь в	4	2
177	по себе	2	2
178	далеко не	2	2
179	автора и	3	2
180	и становится	1	2
181	строго говоря	1	2
182	значение для	1	2
183	своей жизни	2	2
184	новых форм	1	2
185	но он	3	2
186	друг другу	1	2
187	по ту	1	2
188	и более	2	2
189	в той	3	2
190	в отношении	3	2
191	своими корнями	1	2
192	на котором	1	2
193	все человеческие	1	2
194	в самой	2	2
195	мире и	2	2
196	принадлежит к	3	2
197	могут быть	4	2
198	числе и	1	2
199	и потому	2	2
200	и это	2	2
201	и о	3	2
202	от друга	1	2
203	здесь не	2	2
204	самим собою	2	2
205	и от	1	2
206	в себя	2	2
207	картина мира	5	2
208	можно сказать	5	2
209	каждом из	1	2
210	это не	2	2
211	в литературе	1	2
212	быть и	2	2
213	один из	2	2
214	мы видим	1	2
215	своего значения	1	2
216	со всеми	1	2
217	в поэзии	1	2
218	до того	1	2
219	в конце	1	2
220	рядом с	1	2
221	или иной	7	2
222	с другой	7	2
223	именно в	2	2
224	было бы	1	2
225	наконец в	1	2
226	больше и	1	2
227	и пр	1	2
228	смысла и	1	2
229	у нас	1	2
230	а на	5	2
231	не знает	3	2
232	жизни но	2	2
233	если не	1	2
234	возможности человеческого	1	2
235	что все	1	2
236	не может	7	2
237	так же	2	2
238	как это	5	2
239	о различных	1	2
240	по своему	2	2
241	в данном	4	2
242	одновременно с	1	2
243	этом случае	1	2
244	только для	1	2
245	о его	1	2
246	в аспекте	2	2
247	как явление	1	2
248	между ними	4	2
249	не быть	1	2
250	жизни а	1	2
251	все что	1	2
252	можно говорить	1	1
253	кто бы	1	1
254	говоря о	3	1
255	например в	3	1
256	мире это	1	1
257	чтобы не	1	1
258	себе этот	1	1
259	и то	4	1
260	жизни поэтому	1	1
261	значении этого	4	1
262	части и	1	1
263	это и	1	1
264	идет о	1	1
265	здесь и	1	1
266	конечно с	1	1
267	по преимуществу	2	1
268	свое место	1	1
269	и больше	2	1
270	действительности и	1	1
271	и ясный	1	1
272	которыми он	1	1
273	а как	1	1
274	есть не	1	1
275	мира как	1	1
276	принадлежит только	2	1
277	со смертью	1	1
278	впечатление от	1	1
279	начинается с	1	1
280	в полной	1	1
281	но чтобы	2	1
282	из того	1	1
283	подчеркнуть что	1	1
284	в каждой	1	1
285	это утро	1	1
286	необходимая для	1	1
287	между собой	2	1
288	в широком	1	1
289	время в	1	1
290	в чем	2	1
291	с его	6	1
292	тем как	1	1
293	в нашем	2	1
294	могло быть	2	1
295	не входит	2	1
296	сатирического и	1	1
297	и внутренний	1	1
298	герой не	3	1
299	отличие от	7	1
300	времени то	1	1
301	за пределы	2	1
302	как говорит	3	1
303	каждая вещь	1	1
304	первый взгляд	1	1
305	не входят	1	1
306	каждая из	2	1
307	напротив не	1	1
308	о жизни	1	1
309	в европейской	1	1
310	человеческая жизнь	1	1
311	в самом	5	1
312	отношение как	1	1
313	в которой	2	1
314	бы и	1	1
315	жизни так	1	1
316	бы не	1	1
317	человеческому телу	1	1
318	так в	4	1
319	еще один	2	1
320	и те	1	1
321	ее как	1	1
322	в случае	1	1
323	вследствие этого	1	1
324	с чем	1	1
325	стороны в	1	1
326	мире по	1	1
327	он ни	1	1
328	не как	2	1
329	образом и	2	1
330	данном отношении	1	1
331	мир как	1	1
332	на его	1	1
333	определенного смысла	1	1
334	образов и	1	1
335	чтобы в	1	1
336	смертью в	1	1
337	одно и	3	1
338	ни был	2	1
339	в каждом	1	1
340	основе того	1	1
341	об этом	2	1
342	и внутренняя	1	1
343	особенности в	1	1
344	это было	1	1
345	дома и	2	1
346	с самим	2	1
347	и тем	2	1
348	чаще всего	1	1
349	ни в	5	1
350	всем законам	1	1
351	как об	1	1
352	пространственных и	1	1
353	он и	1	1
354	только во	1	1
355	ключ к	1	1
356	и того	2	1
357	одного и	2	1
358	вещи в	1	1
359	в своей	5	1
360	индивидуальной жизни	1	1
361	и помимо	1	1
362	в романтизме	1	1
363	художественное мышление	1	1
364	есть как	2	1
365	живота и	1	1
366	не столько	3	1
367	на каждом	1	1
368	от его	1	1
369	и гротескные	1	1
370	художественного мира	2	1
371	исчезает и	1	1
372	которые в	1	1
373	через посредство	1	1
374	однако в	4	1
375	единое целое	2	1
376	случае мы	1	1
377	тому что	2	1
378	быть или	1	1
379	комнате и	1	1
380	лишь одну	1	1
381	и слово	1	1
382	в таких	1	1
383	с которой	1	1
384	виду что	1	1
385	не имеет	1	1
386	дело в	1	1
387	одна из	2	1
388	к определенному	1	1
389	не по	1	1
390	материала в	2	1
391	облекается в	2	1
392	но только	1	1
393	того и	1	1
394	и вещи	1	1
395	слова как	5	1
396	этих двух	2	1
397	не принадлежат	2	1
398	и притом	3	1
399	каждой из	1	1
400	такового не	1	1
401	входят в	1	1
402	и делает	1	1
403	и здесь	1	1
404	начиная с	2	1
405	смыслом в	1	1
406	не могут	1	1
407	когда мы	1	1
408	сама жизнь	1	1
409	и развития	1	1
410	той или	4	1
411	частной жизни	2	1
412	сказать что	4	1
413	оно не	1	1
414	все виды	1	1
415	на помощь	1	1
416	значении в	1	1
417	себе в	1	1
418	с ее	5	1
419	свою очередь	2	1
420	создает и	1	1
421	в ее	5	1
422	отношений и	1	1
423	существенное значение	1	1
424	себе самом	1	1
425	в произведении	3	1
426	действия и	1	1
427	то время	1	1
428	художественного мышления	1	1
429	основе весьма	1	1
430	чего еще	1	1
431	и сам	1	1
432	времени и	2	1
433	здесь как	1	1
434	что от	1	1
435	мира вокруг	1	1
436	если бы	3	1
437	мире в	1	1
438	с человеком	1	1
439	сводится к	7	1
440	в порядке	2	1
441	и т.д	3	1
442	и поэтому	1	1
443	внимание на	1	1
444	за пределами	3	1
445	но мы	1	1
446	и что	3	1
447	в глаза	2	1
448	в смерти	1	1
449	все их	1	1
450	в различных	1	1
451	может не	1	1
452	о героизации	1	1
453	в значительной	1	1
454	между тем	4	1
455	по типу	1	1
456	глубокий и	1	1
457	нуждается в	1	1
458	на всех	2	1
459	другого в	1	1
460	в формах	2	1
461	по своей	7	1
462	и одновременно	5	1
463	вступить в	1	1
464	что даже	1	1
465	даже его	1	1
466	лишь на	1	1
467	для себя	2	1
468	со страшным	1	1
469	и является	1	1
470	должен быть	1	1
471	должен был	1	1
472	до нас	1	1
473	проявляется в	1	1
474	и ее	3	1
475	в хронотопе	1	1
476	по этому	1	1
477	и жизни	1	1
478	тот или	2	1
479	себя в	7	1
480	одновременно он	1	1
481	есть в	2	1
482	оказывается в	3	1
483	с нею	1	1
484	иной форме	1	1
485	свидетельствует о	1	1
486	в пределе	1	1
487	является не	1	1
488	как более	1	1
489	мы встречаем	1	1
490	в единое	3	1
491	ведь это	1	1
492	собственному я	1	1
493	и мотивов	1	1
494	от горя	1	1
495	бытия и	1	1
496	как такового	1	1
497	в случаях	1	1
498	им по	1	1
499	утрачивает свою	1	1
500	момент в	1	1
501	жизни отсутствует	1	1
502	точек зрения	1	1
503	на свое	1	1
504	и сближение	1	1
505	на ее	1	1
506	в бою	1	1
507	условностью и	1	1
508	еще и	1	1
509	такое же	1	1
510	на которые	1	1
511	в отличие	7	1
512	души и	1	1
513	не переставая	1	1
514	что не	1	1
515	позиция автора	2	1
516	более того	1	1
517	в рассказе	3	1
518	другой стороны	5	1
519	его как	1	1
520	одну из	1	1
521	любовь смерть	1	1
522	и том	1	1
523	время для	1	1
524	но как	2	1
525	в организации	1	1
526	всю полноту	1	1
527	есть точка	1	1
528	жизни за	1	1
529	он тем	2	1
530	в присутствии	1	1
531	места для	1	1
532	ему или	1	1
533	и временных	1	1
534	мире без	1	1
535	этих случаях	1	1
536	одной стороны	2	1
537	в художественных	1	1
538	настоящему и	1	1
539	хронотоп в	2	1
540	имен и	1	1
541	дело здесь	1	1
542	мира с	1	1
543	этого слова	2	1
544	в условиях	1	1
545	то под	1	1
546	этот хронотоп	1	1
547	вокруг него	1	1
548	обращения к	1	1
549	для такого	2	1
550	в стихотворении	3	1
551	каким бы	1	1
552	на время	2	1
553	котором он	1	1
554	в результате	1	1
555	литературных жанров	1	1
556	иного рода	1	1
557	особого рода	5	1
558	бы в	1	1
559	в динамике	1	1
560	истории литературы	2	1
561	зрения в	1	1
562	действительной жизни	1	1
563	в настоящее	1	1
564	для читателя	2	1
565	в системе	2	1
566	речь о	1	1
567	целью и	1	1
568	он же	1	1
569	нам не	1	1
570	в свою	3	1
571	не узнает	1	1
572	бы ни	1	1
573	от всех	1	1
574	дело с	1	1
575	это на	1	1
576	природе и	1	1
577	одновременно и	1	1
578	лишает их	1	1
579	представлена в	1	1
580	частности в	1	1
581	силе и	1	1
582	по поводу	1	1
583	с высокой	1	1
584	в таком	1	1
585	этой точки	1	1
586	они не	1	1
