N	4gram	Vygotskiy__4	Vladivir
1	дело в том что	1	4
2	в то же время	1	4
3	и то обстоятельство что	1	2
4	свидетельствуют о том что	1	2
5	о том что он	2	2
6	а с другой стороны	1	1
7	и привело к тому	1	1
8	до тех пор пока	2	1
9	ни в каком случае	1	1
10	не что иное как	1	1
11	и что она всегда	1	1
12	в то время как	2	1
13	привело к тому что	1	1
14	и вместе с тем	1	1
15	бы то ни было	1	1
16	одной и той же	2	1
17	из них не может	1	1
18	если бы мы имели	1	1
19	том что он не	1	1
20	заключается в том чтобы	1	1
