N	2gram	Vinokur_Ku_1	Tragedij
1	и в	24	18
2	в году	1	9
3	в этом	14	9
4	в бесах	1	9
5	не только	10	8
6	и с	5	7
7	и на	4	7
8	достоевский в	1	7
9	может быть	13	7
10	как бы	7	7
11	и не	12	7
12	но в	2	6
13	и его	5	6
14	же время	2	6
15	что он	6	6
16	то же	8	5
17	все же	12	5
18	что это	5	5
19	это не	7	5
20	как и	2	5
21	несмотря на	3	5
22	в то	2	5
23	в дальнейшем	1	5
24	так и	7	5
25	не может	7	5
26	к жизни	2	5
27	у достоевского	1	5
28	я не	2	4
29	еще не	5	4
30	в себе	3	4
31	в целом	4	4
32	в этой	3	4
33	в нем	4	4
34	об этом	1	4
35	том что	21	4
36	что я	2	4
37	и что	5	4
38	но и	6	4
39	и даже	3	4
40	прежде всего	9	4
41	так же	4	4
42	но это	1	4
43	все это	6	4
44	что в	17	4
45	и все	2	4
46	то что	9	4
47	достоевского в	1	3
48	и он	3	3
49	своего рода	1	3
50	отнюдь не	1	3
51	как в	4	3
52	в своем	3	3
53	и как	2	3
54	все эти	6	3
55	при этом	6	3
56	должно быть	3	3
57	тем самым	4	3
58	что с	2	3
59	о чем	2	3
60	и сам	1	3
61	мог бы	1	3
62	с ним	5	3
63	в его	12	3
64	один из	4	3
65	уже в	3	3
66	для него	1	3
67	в конце	1	3
68	как будто	1	3
69	как это	3	3
70	что за	1	3
71	в основном	1	3
72	если б	2	2
73	вряд ли	1	2
74	в первом	3	2
75	из самых	1	2
76	она все	1	2
77	что эти	4	2
78	из своих	1	2
79	никогда не	2	2
80	и то	3	2
81	не был	1	2
82	столь же	1	2
83	с его	4	2
84	отношение к	1	2
85	отличие от	1	2
86	не просто	5	2
87	так что	4	2
88	как говорит	1	2
89	перед нами	1	2
90	в самом	10	2
91	в письмах	1	2
92	бы и	2	2
93	то и	2	2
94	по словам	1	2
95	он не	2	2
96	что она	3	2
97	но все	2	2
98	что все	2	2
99	его в	1	2
100	в это	2	2
101	ни в	2	2
102	нет в	1	2
103	с тем	5	2
104	не мог	2	2
105	любви и	1	2
106	в ходе	1	2
107	в отличие	1	2
108	вопрос о	2	2
109	не в	11	2
110	что этот	1	2
111	вместе со	2	2
112	раз и	1	2
113	но они	1	2
114	одна из	1	2
115	не имеет	2	2
116	в русском	4	2
117	ведь еще	1	2
118	не могут	2	2
119	к тому	5	2
120	в ее	1	2
121	раз он	1	2
122	ничего не	2	2
123	и здесь	3	2
124	о том	9	2
125	времени в	1	2
126	что и	4	2
127	в том	30	2
128	который в	1	2
129	уже не	8	2
130	не так	1	2
131	в известной	1	2
132	в одном	3	2
133	не случайно	6	2
134	тем что	8	2
135	как же	1	2
136	только к	2	2
137	говорит о	1	2
138	до конца	2	2
139	ничем не	1	2
140	под влиянием	3	2
141	было в	2	2
142	в данном	4	2
143	писатель не	1	2
144	о его	1	2
145	еще раз	1	2
146	в силах	2	2
147	это уже	1	2
148	потому что	23	2
149	в частности	4	2
150	только о	1	2
151	в таком	3	2
152	точно так	1	2
153	я и	1	1
