N	2gram	Kanaev_Sov_1	VerxiiNi
1	и в	7	26
2	таким образом	11	22
3	в этом	7	15
4	вместе с	4	15
5	точки зрения	12	13
6	как бы	4	12
7	в том	4	11
8	из этих	2	10
9	не только	4	10
10	может быть	12	10
11	связи с	1	9
12	в области	3	9
13	так как	4	9
14	что в	2	9
15	но не	1	8
16	и у	1	8
17	с другой	1	8
18	и не	6	8
19	но в	3	7
20	но все	2	7
21	из них	4	7
22	том что	1	7
23	к нему	1	7
24	с одной	2	7
25	одной стороны	1	7
26	того же	1	6
27	представление о	1	6
28	все же	3	6
29	все эти	5	6
30	в себе	3	6
31	всяком случае	2	6
32	с точки	5	6
33	и т.д	3	6
34	о том	1	6
35	в конце	3	6
36	несмотря на	1	6
37	и потому	3	6
38	все это	3	6
39	мы должны	4	6
40	во всяком	2	6
41	сих пор	1	5
42	и к	3	5
43	в мире	1	5
44	по крайней	1	5
45	не имеет	1	5
46	никогда не	1	5
47	с другом	2	5
48	в его	2	5
49	крайней мере	1	5
50	до сих	1	5
51	а не	3	5
52	друг с	2	5
53	и для	1	5
54	так же	1	5
55	одной из	1	5
56	то же	3	4
57	в течение	1	4
58	в самом	2	4
59	в этой	3	4
60	и по	2	4
61	что все	2	4
62	должен был	1	4
63	он не	1	4
64	и тогда	1	4
65	в то	1	4
66	очень мало	1	4
67	в нем	3	4
68	а в	4	4
69	и что	2	4
70	и только	1	4
71	только в	1	4
72	на этот	2	4
73	не может	17	4
74	из которых	2	4
75	и от	1	4
76	в виде	2	4
77	же как	1	3
78	из всех	1	3
79	если в	1	3
80	в своем	1	3
81	и нет	1	3
82	за собой	1	3
83	в которой	2	3
84	что это	2	3
85	и те	1	3
86	и если	1	3
87	при этом	3	3
88	всегда и	1	3
89	и при	1	3
90	тем не	2	3
91	если бы	1	3
92	не менее	2	3
93	к концу	1	3
94	с самого	3	3
95	ясно что	3	3
96	уже не	2	3
97	в одном	3	3
98	случае не	1	3
99	и даже	2	3
100	в связи	1	3
101	каждая из	2	3
102	в результате	6	3
103	отношению к	1	3
104	к этому	1	3
105	в таком	2	3
106	для этих	1	2
107	и это	1	2
108	первое время	1	2
109	мы имеем	1	2
110	еще не	3	2
111	бы то	1	2
112	с его	1	2
113	во всех	1	2
114	живых существ	1	2
115	различия между	1	2
116	друг на	1	2
117	и наконец	5	2
118	он в	3	2
119	заключает в	1	2
120	то ни	2	2
121	те же	1	2
122	образом если	1	2
123	раз она	1	2
124	на друга	1	2
125	мы видели	4	2
126	но если	1	2
127	выбор между	1	2
128	которые в	1	2
129	не в	3	2
130	самого начала	3	2
131	для каждого	1	2
132	без остатка	1	2
133	стадии развития	1	2
