N	3gram	Tiupa_Narr_1	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	1	3
4	в отличие от	5	2
5	точно так же	2	2
6	в данном случае	4	2
7	в году в	1	2
8	и как бы	1	2
9	о том что	6	2
10	но все же	4	2
11	в том что	8	2
12	а на другой	1	1
13	об этом свидетельствует	1	1
14	а как же	1	1
15	не только о	2	1
16	том что он	1	1
17	позиции в мире	1	1
18	и должна быть	1	1
19	сам по себе	1	1
20	как это часто	1	1
21	и то что	1	1
22	и т.д не	1	1
23	не имеет для	1	1
24	и не быть	1	1
25	и при этом	1	1
26	тем не менее	3	1
27	связаны между собой	1	1
28	все же не	4	1
29	в связи с	2	1
30	то что он	1	1
31	она все же	1	1
32	это же время	1	1
33	не может быть	5	1
34	в это же	1	1
35	мысль о том	1	1
36	в самом деле	1	1
37	как своего рода	1	1
38	на всем протяжении	1	1
39	в какой-то мере	1	1
40	как и в	1	1
41	от всего предшествующего	1	1
