N	3gram	Berdyaev_O_1	Morfolog
1	не может быть	2	8
2	не могут быть	2	3
3	как и в	1	3
4	действующих лиц в	1	2
5	в иных случаях	1	2
6	для того чтобы	3	2
7	в том что	1	2
8	бросается в глаза	1	1
9	может быть сопоставлен	1	1
10	хотя и не	1	1
11	а вовсе не	1	1
12	это было бы	2	1
13	о том как	1	1
14	как бы в	1	1
15	и действительно в	1	1
16	том случае если	1	1
17	в том случае	1	1
18	прежде всего и	1	1
19	во всяком случае	1	1
20	вместо того чтобы	1	1
21	друг к другу	1	1
22	дается в форме	1	1
23	и сразу же	1	1
24	о том что	1	1
25	на то что	1	1
26	друг с другом	1	1
