N	2gram	Savitsky_E_1	StatiiOP
1	и в	37	44
2	в том	11	36
3	и т	1	30
4	что в	21	30
5	том что	6	29
6	в этом	12	21
7	т д	1	21
8	вовсе не	6	19
9	не только	18	18
10	то что	6	18
11	было бы	8	17
12	о том	3	17
13	а в	2	17
14	а не	2	16
15	и не	14	16
16	может быть	6	15
17	т е	9	15
18	в области	11	14
19	в данном	3	14
20	как в	3	13
21	можно было	3	13
22	не в	5	12
23	в этой	2	11
24	того чтобы	6	11
25	у нас	1	11
26	точки зрения	23	11
27	но в	14	10
28	для того	6	10
29	только в	9	10
30	но и	14	10
31	также и	7	9
32	как и	7	9
33	в отношении	32	9
34	в то	16	9
35	но также	2	9
36	так и	10	9
37	во второй	3	9
38	если бы	2	9
39	того что	7	9
40	в его	2	9
41	с другой	7	9
42	например в	1	8
43	во всех	6	8
44	все же	1	8
45	из них	3	8
46	с точки	17	8
47	и его	1	8
48	не может	9	8
49	в самом	4	7
50	таким образом	2	7
51	другой стороны	2	7
52	для нас	4	7
53	этом отношении	3	7
54	прежде всего	9	7
55	сказать что	4	7
56	со стороны	5	6
57	в своей	8	6
58	потому что	3	6
59	данном случае	2	6
60	что и	3	6
61	всяком случае	3	6
62	для него	1	6
63	именно в	4	6
64	дело в	3	6
65	в той	5	6
66	что же	2	6
67	но это	1	6
68	хотя бы	15	6
69	во всяком	3	6
70	и то	2	5
71	то же	15	5
72	той же	1	5
73	уже о	1	5
74	все эти	1	5
75	в нем	1	5
76	и по	5	5
77	такой же	2	5
78	в котором	2	5
79	в которых	3	5
80	не менее	1	5
81	вплоть до	1	5
82	никогда не	3	5
83	могут быть	2	5
84	так как	7	5
85	тем что	3	5
86	и даже	6	5
87	там где	3	5
88	что мы	1	5
89	жизни и	2	5
90	так же	9	5
91	речь идет	1	4
92	как это	4	4
93	вопрос о	4	4
94	столь же	5	4
95	в новом	1	4
96	бы и	3	4
97	что это	2	4
98	на то	6	4
99	в россии	5	4
100	но все	1	4
101	но если	5	4
102	и сейчас	2	4
103	представление о	2	4
104	можно ли	3	4
105	не имеет	4	4
106	же время	14	4
107	как будто	2	4
108	в ее	8	4
109	на вопрос	1	4
110	и что	2	4
111	заключается в	2	4
112	во втором	2	4
113	этот вопрос	2	4
114	в качестве	14	4
115	мы находим	1	4
116	не было	1	4
117	даже не	1	4
118	к которому	1	4
119	в частности	5	4
120	как бы	6	4
121	тем более	4	4
122	еще более	2	4
123	или иного	4	4
124	того или	4	4
125	это в	1	4
126	гораздо более	1	4
127	же как	5	3
128	того же	3	3
129	должна быть	2	3
130	в деле	3	3
131	то это	1	3
132	в ней	4	3
133	но не	5	3
134	по отношению	1	3
135	или иное	1	3
136	к сожалению	1	3
137	в истории	2	3
138	с этим	2	3
139	не являются	1	3
140	то в	4	3
141	это можно	1	3
142	во многих	4	3
143	ведь и	2	3
144	не значит	1	3
145	же касается	1	3
146	и с	2	3
147	лишь в	1	3
148	и тем	3	3
149	даже в	4	3
150	кажется что	2	3
151	чем в	4	3
152	что не	1	3
153	тому что	1	3
154	а на	1	3
155	в основе	1	3
156	в каком	4	3
157	должны быть	1	3
158	что оно	1	3
159	в применении	3	3
160	для себя	1	3
161	то или	1	3
162	об этом	1	3
163	поэтому в	1	3
164	и вообще	1	3
165	внимание на	1	3
166	его жизни	1	3
167	между тем	8	3
168	и только	3	3
