N	3gram	Vygotskiy__4	Sotsiolo
1	в том что	12	2
2	в конце концов	3	2
3	по отношению к	1	2
4	но только в	1	1
5	и мы не	1	1
6	это и есть	3	1
7	в сущности есть	1	1
8	в том и	1	1
9	и в этом	3	1
10	по существу дела	1	1
11	только то что	1	1
12	то что в	3	1
13	то же самое	6	1
14	должно было бы	2	1
15	о том как	2	1
16	и как только	1	1
17	именно в том	2	1
18	сама по себе	3	1
19	в конечном счете	1	1
20	том что это	1	1
21	не было бы	1	1
22	для этого и	1	1
23	истории литературы и	1	1
24	в то же	1	1
25	когда мы переходим	1	1
26	а с другой	1	1
27	что все это	1	1
28	как бы он	1	1
29	то же время	1	1
30	и никак не	1	1
31	и в то	1	1
32	с одной стороны	3	1
33	во всяком случае	3	1
34	мы переходим к	1	1
