N	2gram	Trubetskoy_1	Morfolog
1	может быть	9	52
2	и т	3	49
3	таким образом	11	20
4	не может	22	17
5	в этих	2	16
6	могут быть	1	15
7	этих случаях	1	14
8	с этим	2	14
9	и в	14	13
10	в этом	17	13
11	так как	4	12
12	связи с	3	11
13	чаще всего	1	11
14	перед нами	1	11
15	прежде всего	8	9
16	так и	1	9
17	в связи	1	9
18	то же	11	9
19	этом случае	3	9
20	и не	19	9
21	не всегда	1	9
22	а не	2	9
23	в результате	2	8
24	что и	3	8
25	с другой	1	8
26	по существу	5	8
27	все же	4	7
28	вопрос о	5	7
29	но если	3	7
30	в качестве	3	7
31	а в	5	6
32	но не	4	6
33	это не	1	6
34	не могут	4	6
35	в том	17	6
36	во время	2	6
37	не менее	1	5
38	или в	3	5
39	мы не	1	5
40	во всех	5	5
41	потому что	5	5
42	один из	1	5
43	то что	13	5
44	если мы	1	5
45	как бы	4	5
46	как мы	1	4
47	на его	1	4
48	как и	4	4
49	ни одна	3	4
50	могла бы	1	4
51	так же	2	4
52	случае не	1	4
53	отношению к	1	4
54	вовсе не	1	4
55	точки зрения	11	4
56	в некоторых	2	4
57	если в	6	4
58	об этом	1	4
59	тем что	3	4
60	его в	4	4
61	показать что	1	4
62	тем не	1	4
63	что в	4	4
64	тех же	1	4
65	с точки	9	4
66	по отношению	2	4
67	в других	2	4
68	что его	1	4
69	то это	3	4
70	также и	1	4
71	несмотря на	3	4
72	оно может	1	4
73	было бы	5	4
74	не только	9	4
75	и как	3	4
76	а если	1	4
77	входит в	1	3
78	что они	3	3
79	в один	1	3
80	к нему	2	3
81	в обмен	1	3
82	от того	4	3
83	того чтобы	8	3
84	целый ряд	2	3
85	в то	10	3
86	но все	1	3
87	и для	6	3
88	ни в	2	3
89	между собой	5	3
90	не является	1	3
91	в начале	2	3
92	к чему	2	3
93	на самом	6	3
94	но и	10	3
95	обмен на	1	3
96	из которых	5	3
97	на него	1	3
98	мы можем	2	3
99	мы должны	7	3
100	в сущности	1	3
101	можно назвать	1	3
102	на нем	1	3
103	если бы	6	3
104	друг друга	3	3
105	а по	1	3
106	он не	5	3
107	здесь же	1	3
108	если же	2	3
109	но в	2	3
110	самом деле	7	3
111	он должен	5	3
112	и по	3	3
113	из них	3	3
114	а то	1	3
115	но это	2	3
116	том что	9	3
117	все эти	2	2
118	а во	1	2
