N	2gram	Potebnia_M_1	DiskursI
1	в себе	13	19
2	при этом	6	17
3	в этом	15	16
4	как и	9	16
5	и в	39	16
6	может быть	27	16
7	и не	18	15
8	а не	21	14
9	то есть	42	12
10	тогда как	2	11
11	но в	9	11
12	в мире	3	11
13	но и	20	11
14	со стороны	8	10
15	не только	21	10
16	том что	16	10
17	так и	13	9
18	не может	22	9
19	такого рода	1	9
20	как в	10	8
21	в том	26	8
22	но не	8	7
23	в данном	1	7
24	в нем	20	7
25	ни в	1	7
26	не менее	6	7
27	прежде всего	4	7
28	то же	6	6
29	еще не	6	6
30	с его	1	6
31	себя в	1	6
32	все же	6	6
33	в своей	3	6
34	тем самым	4	6
35	по своей	1	6
36	в своих	4	6
37	и на	1	5
38	в своем	3	5
39	в противоположность	1	5
40	в то	4	5
41	с другой	7	5
42	же время	4	5
43	что в	22	5
44	для него	4	5
45	то что	10	5
46	и то	3	4
47	по отношению	13	4
48	в этой	3	4
49	роль в	1	4
50	потому что	52	4
51	этом отношении	1	4
52	о том	2	4
53	одного из	2	4
54	известного рода	1	4
55	с одной	3	4
56	одно из	3	4
57	в одном	8	4
58	одной стороны	3	4
59	как бы	6	4
60	ни для	1	4
61	точки зрения	8	4
62	к этому	1	4
63	отношению к	13	4
64	например в	1	3
65	чего не	1	3
66	и ее	1	3
67	проявляется в	2	3
68	столь же	3	3
69	перед нами	1	3
70	и как	6	3
71	все эти	1	3
72	всей своей	1	3
73	из этих	4	3
74	он не	3	3
75	из виду	1	3
76	не следует	5	3
77	и может	2	3
78	в другом	1	3
79	его в	1	3
80	это не	7	3
81	жизни но	1	3
82	ведет к	1	3
83	одного и	2	3
84	в этих	7	3
85	в котором	1	3
86	не столько	1	3
87	одном из	1	3
88	не в	15	3
89	на рубеже	1	3
90	могут быть	9	3
91	мысль о	2	3
92	приводит к	1	3
93	еще в	1	3
94	в его	5	3
95	только в	25	3
96	и его	5	3
97	уже не	2	3
98	из них	1	3
99	в них	3	3
100	не было	4	3
101	было в	1	3
102	в творчестве	1	3
103	как будто	2	3
104	но это	5	3
105	и того	2	3
106	и все	3	3
107	жизни а	1	3
108	жизни и	2	3
109	как на	3	3
110	же как	1	2
111	того же	3	2
112	и это	3	2
113	той же	3	2
114	совпадает с	1	2
115	жизни как	1	2
116	в ней	7	2
117	мы имеем	1	2
118	общих чертах	1	2
119	легко может	1	2
120	уже как	1	2
121	более чем	1	2
122	стремясь к	1	2
123	стороны и	2	2
124	что как	3	2
125	в целом	2	2
126	не более	4	2
127	вследствие этого	1	2
128	по словам	1	2
129	должна быть	3	2
130	с таким	1	2
131	подобно тому	3	2
132	что ни	1	2
133	и возможность	1	2
134	заключает в	2	2
135	одно и	1	2
136	и с	3	2
137	входит в	1	2
138	но уже	2	2
139	должно быть	7	2
140	все это	1	2
141	с точки	3	2
142	их в	1	2
143	дело в	2	2
144	никогда не	4	2
145	при котором	2	2
146	что на	6	2
147	в области	1	2
148	жизнью и	1	2
149	с их	1	2
150	для себя	3	2
151	с ее	2	2
152	но при	3	2
153	здесь не	1	2
154	времени и	2	2
155	не с	1	2
156	в результате	1	2
157	там же	9	2
158	между тем	5	2
159	в языке	33	2
160	что и	6	2
161	или напротив	1	2
162	в утверждении	2	2
163	к их	1	2
164	есть в	2	2
165	слова не	2	2
166	бытия и	3	2
167	не подлежит	1	2
168	именно в	1	2
169	далеко не	1	2
170	не на	1	2
171	человеческой жизни	1	2
172	вместе с	8	2
173	или по	1	2
174	тому как	4	2
175	что же	2	2
176	в формах	1	2
177	в полном	2	2
178	и для	5	2
179	а в	5	2
180	другой стороны	5	2
181	что он	1	2
182	практики и	1	2
183	как нечто	1	1
184	одним из	2	1
185	чтобы не	2	1
186	переходит к	1	1
187	а между	3	1
188	самом деле	1	1
189	переход от	1	1
190	на деле	4	1
191	и есть	2	1
192	в первом	5	1
193	проникает в	1	1
194	но если	2	1
195	между человеком	2	1
196	и могут	1	1
197	есть не	2	1
198	мы не	10	1
199	вопрос о	4	1
200	этом не	1	1
201	не была	1	1
202	в сущности	2	1
203	вроде тех	1	1
204	они были	1	1
205	ему в	1	1
206	становится объектом	2	1
207	в некотором	2	1
208	из ее	1	1
209	а другие	1	1
210	людей в	1	1
211	на их	1	1
212	бы то	2	1
213	в чем	1	1
214	во всех	5	1
215	тем как	3	1
216	в ее	1	1
217	не то	1	1
218	друг на	1	1
219	если в	1	1
220	ответ на	1	1
221	есть по	1	1
222	друг от	2	1
223	друга и	1	1
224	нем а	1	1
225	за пределы	2	1
226	связи и	1	1
227	в истории	7	1
228	вследствие чего	1	1
229	в одной	1	1
230	мысли только	1	1
231	некоторое время	1	1
232	обнаруживается в	2	1
233	в одних	2	1
234	хотя и	3	1
235	может получить	1	1
236	в круг	1	1
237	его сознанию	1	1
238	себе не	1	1
239	лицу с	1	1
240	что входит	1	1
241	то в	5	1
242	в самом	3	1
243	только то	2	1
244	еще на	1	1
245	в которой	2	1
246	этого круга	1	1
247	нет дела	1	1
248	таковы например	1	1
249	в нашем	1	1
250	бы не	6	1
251	поэтому и	1	1
252	и пространства	1	1
253	так в	1	1
254	но без	2	1
255	ни одна	2	1
256	и отношения	1	1
257	им в	1	1
258	человеке и	1	1
259	лица и	2	1
260	но на	2	1
261	человек не	1	1
262	не имеют	5	1
263	задний план	1	1
264	так сказать	2	1
265	и только	2	1
266	времени для	1	1
267	он должен	2	1
268	не определяет	1	1
269	к одному	2	1
270	не как	1	1
271	по общему	2	1
272	нашего времени	1	1
273	не исчерпывают	1	1
274	одной и	3	1
275	его от	1	1
276	на этом	1	1
277	субъективность и	1	1
278	с этой	2	1
279	таким образом	13	1
280	значительной степени	2	1
281	то ни	3	1
282	сознание и	1	1
283	различие между	1	1
284	а их	1	1
285	лишь в	1	1
286	по выражению	1	1
287	того или	1	1
288	не совпадает	1	1
289	напротив в	1	1
290	еще одно	1	1
291	в жизни	3	1
292	проявляясь в	1	1
293	жизни то	1	1
294	на друга	1	1
295	несмотря на	5	1
296	как сказано	1	1
297	духовной жизни	2	1
298	восприятия и	3	1
299	проявившаяся в	1	1
300	в такой	1	1
301	как произведение	1	1
302	в которых	1	1
303	от физиологических	1	1
304	утверждения что	2	1
305	бы мы	1	1
306	в памяти	1	1
307	стало быть	2	1
308	и той	3	1
309	своей жизни	1	1
310	человеком и	3	1
311	тем не	6	1
312	по крайней	2	1
313	и более	2	1
314	и наоборот	6	1
315	и находил	1	1
316	том же	2	1
317	что этот	1	1
318	же может	1	1
319	двух противоположных	2	1
320	для нее	2	1
321	случае мы	1	1
322	любви и	1	1
323	нас самих	1	1
324	и жизненная	1	1
325	в таких	2	1
326	она не	3	1
327	виду что	1	1
328	самого начала	3	1
329	мысли в	9	1
330	мышления и	1	1
331	к этим	1	1
332	на него	3	1
333	говорит но	1	1
334	которого он	1	1
335	отрешиться от	1	1
336	в самых	1	1
337	себе самом	1	1
338	например не	1	1
339	восприятием как	1	1
340	и всегда	2	1
341	в общих	1	1
342	для истории	1	1
343	на язык	7	1
344	ничего не	1	1
345	в разных	2	1
346	не вполне	1	1
347	того как	6	1
348	к ней	2	1
349	во всем	4	1
350	точке зрения	2	1
351	от их	1	1
352	уже о	1	1
353	начиная с	1	1
354	на некоторое	1	1
355	не могут	4	1
356	смерть только	1	1
357	но все	2	1
358	к божественному	1	1
359	к тому	4	1
360	его с	2	1
361	указывает на	1	1
362	не есть	10	1
363	из мысли	1	1
364	в полной	1	1
365	имеет место	2	1
366	оно не	3	1
367	ср с	2	1
368	в применении	2	1
369	должен быть	1	1
370	от друга	2	1
371	последнем в	1	1
372	говоря уже	1	1
373	языка и	17	1
374	в собственном	2	1
375	необходимости и	2	1
376	действия и	1	1
377	с самого	3	1
378	в мысль	1	1
379	слова а	1	1
380	в образе	1	1
381	в нескольких	1	1
382	сказано выше	1	1
383	мы в	2	1
384	для этого	2	1
385	последующее развитие	1	1
386	и даже	4	1
387	остановимся на	1	1
388	с ним	3	1
389	движения и	1	1
390	о нем	1	1
391	и должно	2	1
392	внимание на	1	1
393	оно лишено	1	1
394	никак не	2	1
395	и что	10	1
396	аналогии с	1	1
397	нас в	1	1
398	не заключает	1	1
399	и во	3	1
400	должно было	1	1
401	всеобщей жизни	1	1
402	самый процесс	2	1
403	таким путем	1	1
404	в глазах	3	1
405	крайней мере	2	1
406	внешнее и	1	1
407	исторического развития	1	1
408	не будучи	1	1
409	слов и	4	1
410	и следовательно	2	1
411	как она	3	1
412	который бы	1	1
413	в жизнь	1	1
414	не зная	2	1
415	как объект	2	1
416	всякое произведение	2	1
417	менее в	1	1
418	свет и	1	1
419	и две	1	1
420	на мир	1	1
421	от них	1	1
422	же будет	1	1
423	согласно с	4	1
424	отдельных лиц	2	1
425	с которыми	1	1
426	так что	16	1
427	для всех	5	1
428	как полагает	1	1
429	одном и	2	1
430	только на	3	1
431	себя и	1	1
432	во втором	5	1
433	чего бы	2	1
434	например к	1	1
435	упустить из	1	1
436	мир в	1	1
437	и их	3	1
438	всяком случае	1	1
439	могло бы	3	1
440	в современном	1	1
441	вовсе не	5	1
442	не для	1	1
443	в состоянии	3	1
444	дела до	1	1
445	может служить	1	1
446	друг друга	5	1
447	случае не	1	1
448	человек как	1	1
449	не говорит	1	1
450	тем что	9	1
451	в других	2	1
452	звеном между	1	1
453	были бы	3	1
454	из того	2	1
455	того что	8	1
456	не были	2	1
457	между которыми	1	1
458	о влиянии	1	1
459	ожидания и	1	1
460	еще и	1	1
461	между ними	1	1
462	но есть	1	1
463	быть названо	3	1
464	превращается в	1	1
465	света и	1	1
466	на этот	2	1
467	особенности а	1	1
468	его как	1	1
469	на смерть	1	1
470	все то	2	1
471	там где	4	1
472	и том	2	1
473	что из	1	1
474	и слово	1	1
475	в одно	2	1
476	к лицу	1	1
477	равно как	1	1
478	человек в	1	1
479	возвращаясь к	1	1
480	места где	1	1
481	лицом к	1	1
482	применении к	2	1
