1	то что мы	2	3
2	к тому что	2	3
3	за то что	1	3
4	в первый раз	1	3
5	но и в	4	2
6	то что я	2	2
7	том что он	2	2
8	а между тем	2	2
9	и т д	3	2
10	в том что	16	2
11	не в силах	1	2
12	и теперь еще	1	1
13	в человеке и	1	1
14	имеет своим предметом	1	1
15	в одно целое	1	1
16	после того как	1	1
17	не могут быть	2	1
18	так и в	2	1
19	потому что оно	2	1
20	в этих словах	1	1
21	жизни и потому	2	1
22	в сознании и	2	1
23	будем говорить о	1	1
24	и есть уже	1	1
25	вместе с тем	4	1
26	его связь с	1	1
27	и что в	1	1
28	и то и	1	1
29	с другой стороны	4	1
30	и вообще в	1	1
31	что на том	1	1
32	по крайней мере	5	1
33	как и в	2	1
34	есть то что	1	1
35	то и другое	1	1
36	что мы забыли	1	1
