N	3gram	Tiupa_Narr_1	Komedia
1	в том что	5	9
2	с другой стороны	1	5
3	к тому же	5	5
4	то же время	4	4
5	в то же	4	4
6	и т д	1	4
7	по отношению к	3	3
8	в этом отношении	3	3
9	речь идет о	3	3
10	с одной стороны	1	3
11	едва ли не	1	3
12	о том что	2	3
13	то же самое	2	2
14	при этом что	1	2
15	но и в	2	2
16	до сих пор	2	2
17	как и в	1	2
18	то ни было	1	2
19	бы то ни	1	2
20	во всяком случае	2	2
21	на протяжении всего	1	2
22	на то что	2	2
23	что иное как	1	1
24	из поля зрения	1	1
25	но и не	1	1
26	состоит в том	2	1
27	на себя внимание	3	1
28	более или менее	1	1
29	большей или меньшей	1	1
30	и даже не	1	1
31	подобно тому как	3	1
32	в том числе	1	1
33	том что на	1	1
34	в ответ на	1	1
35	в соответствии с	4	1
36	же как и	1	1
37	и не только	1	1
38	в зависимости от	2	1
39	еще при жизни	1	1
40	во времени и	6	1
41	на три группы	1	1
42	сам по себе	1	1
43	одна из них	1	1
44	мы узнаем о	1	1
45	в значительной степени	1	1
46	в самом начале	1	1
47	в данном случае	8	1
48	обращает на себя	3	1
49	средствами но и	1	1
50	не только в	6	1
51	при этом некоторые	1	1
52	на этот раз	1	1
53	жизни но и	1	1
54	в той же	1	1
55	но при этом	1	1
56	в отличие от	2	1
57	но это вовсе	1	1
58	из них не	1	1
59	бросается в глаза	1	1
60	в стороне от	1	1
61	не мог бы	1	1
62	одного из наиболее	2	1
63	по своему усмотрению	1	1
64	как один из	1	1
65	что у него	1	1
66	в отрыве от	1	1
67	в году не	1	1
68	к этому времени	1	1
69	хотя как известно	1	1
70	друг от друга	1	1
71	не представляется возможным	1	1
72	к тому что	1	1
73	тем не менее	3	1
74	как мы видели	1	1
75	мы уже знаем	1	1
76	для того чтобы	3	1
77	и тот же	1	1
