N	2gram	Losev_Vlad_2	ViktorSh
1	в книге	1	3
2	конце концов	3	2
3	и в	30	2
4	том что	12	2
5	в том	18	2
6	в конце	13	2
7	крайней мере	4	1
8	тем более	3	1
9	все дело	1	1
10	под влиянием	3	1
11	ни к	1	1
12	хотя бы	3	1
13	и не	18	1
14	и его	6	1
15	потому что	9	1
16	я не	4	1
17	даже не	1	1
18	более чем	1	1
19	сводится к	1	1
20	не хочу	1	1
21	и то	5	1
22	же с	13	1
23	впрочем не	3	1
24	поэтического творчества	1	1
25	самом деле	1	1
26	жизни которое	1	1
27	все это	5	1
28	совершенно ясно	1	1
29	по поводу	4	1
30	значит и	1	1
31	именно в	4	1
32	главным образом	1	1
33	вещь и	1	1
34	в теории	2	1
35	в их	2	1
36	а значит	1	1
37	дело в	3	1
38	в частности	2	1
39	так в	1	1
40	эти статьи	1	1
41	все то	1	1
42	время в	4	1
43	говоря о	3	1
44	в которых	1	1
45	старых и	1	1
46	в самом	2	1
47	для них	1	1
48	только в	6	1
49	то же	4	1
50	ясно что	1	1
51	так как	5	1
52	далеко не	1	1
53	к чему	1	1
54	не будем	1	1
55	же месте	1	1
56	но это	4	1
57	в этом	20	1
58	да и	3	1
59	по крайней	4	1
60	а только	1	1
61	по существу	3	1
62	к этому	6	1
63	собр соч	1	1
64	без учета	1	1
65	мало интересует	1	1
66	гораздо более	2	1
67	том же	3	1
