N	2gram	Savitsky_P_1	Problema
1	то что	4	42
2	и в	14	32
3	и не	12	31
4	не есть	1	29
5	не просто	1	23
6	в этом	10	19
7	не менее	2	19
8	не только	17	17
9	потому что	3	16
10	в себе	3	15
11	по себе	4	15
12	в виде	2	15
13	а не	2	15
14	но в	9	14
15	может быть	5	14
16	как бы	4	14
17	что мы	3	13
18	в нем	3	13
19	и тем	2	13
20	как раз	2	13
21	том что	4	12
22	что в	4	12
23	и т	3	11
24	также и	1	11
25	есть нечто	2	11
26	если мы	1	11
27	то же	9	10
28	отнюдь не	2	10
29	в этой	1	10
30	т д	1	10
31	прежде всего	3	10
32	нет ничего	1	10
33	еще не	1	9
34	но не	3	9
35	того чтобы	1	9
36	и это	2	9
37	и что	1	9
38	но и	6	9
39	в данном	1	9
40	в том	9	9
41	так же	1	9
42	и о	5	8
43	и ее	1	8
44	и на	1	8
45	есть знак	1	8
46	на то	1	8
47	для того	3	8
48	было бы	6	8
49	не может	4	8
50	во всех	2	7
51	в них	2	7
52	никогда не	1	7
53	того что	2	7
54	только в	7	7
55	все это	2	7
56	во всяком	1	7
57	и то	1	6
58	и есть	2	6
59	есть не	2	6
60	говорить о	2	6
61	но как	1	6
62	и как	3	6
63	в самом	1	6
64	и если	4	6
65	его в	1	6
66	это не	3	6
67	в то	7	6
68	и здесь	1	6
69	в его	2	6
70	этом смысле	1	6
71	хотя и	3	6
72	она есть	3	5
73	в своем	4	5
74	далеко не	1	5
75	с тем	3	5
76	в котором	4	5
77	для нас	2	5
78	есть в	2	5
79	в других	1	5
80	или иной	1	5
81	тем более	2	5
82	мы должны	4	5
83	бесконечное количество	1	4
84	мы и	1	4
85	литературы и	1	4
86	в истории	1	4
87	в отдельности	1	4
88	не в	5	4
89	тем самым	3	4
90	и притом	1	4
91	казалось бы	1	4
92	а в	4	4
93	только то	1	4
94	если бы	4	4
95	никак не	2	4
96	а также	4	4
97	и только	1	4
98	только на	1	4
99	мы можем	1	4
100	именно как	2	4
101	именно в	2	4
102	и пр	5	4
103	не было	2	4
104	в одно	1	4
105	ни на	1	4
106	же в	4	4
107	не нужно	2	3
108	в ее	2	3
109	с этим	2	3
110	помнить что	2	3
111	более или	1	3
112	что это	1	3
113	сливаются в	1	3
114	как оно	1	3
115	да и	2	3
116	и еще	1	3
117	что все	1	3
118	в жизни	2	3
119	как и	1	3
120	и уже	1	3
121	нисколько не	1	3
122	или менее	1	3
123	в этих	1	3
124	точки зрения	3	3
125	с точки	3	3
126	в которых	5	3
127	бы мы	1	3
128	в отношении	10	3
129	прежде чем	1	3
130	в каком	1	3
131	что оно	1	3
132	рабочих и	1	3
133	ясно что	1	3
134	для этого	1	3
135	настоящее время	1	3
136	что его	1	3
137	во всей	2	3
138	мы хотим	1	3
139	именно на	1	3
140	уже в	1	3
141	из них	2	3
142	всяком случае	1	3
143	сами по	3	3
144	с другой	5	3
145	что не	1	3
146	бы оно	1	3
147	и менее	1	3
148	но для	1	3
149	в настоящее	1	3
150	чтобы понять	1	3
151	хотя бы	8	3
152	может и	2	3
153	другой стороны	1	3
154	есть и	1	3
155	я и	3	2
156	например в	2	2
157	же как	1	2
158	и потому	4	2
159	в определенный	1	2
160	по преимуществу	1	2
161	мы не	3	2
162	что если	1	2
163	науки и	1	2
164	на себя	1	2
165	с его	1	2
166	не очень	1	2
167	в которой	1	2
168	из этих	1	2
169	во многих	1	2
170	взятые в	1	2
171	россии как	3	2
172	и с	2	2
173	для них	2	2
174	должно быть	2	2
175	в эту	2	2
176	и при	1	2
177	не как	1	2
178	знаем что	1	2
179	друг другу	2	2
180	из числа	1	2
181	и очень	1	2
182	она не	1	2
183	не имеет	1	2
184	не о	2	2
185	в области	11	2
186	могут быть	3	2
187	и другим	1	2
188	с собой	1	2
189	особенно в	1	2
190	и всегда	1	2
191	является в	2	2
192	и который	1	2
193	между тем	3	2
194	эти последние	1	2
195	мы видим	1	2
196	только знак	1	2
197	или его	1	2
198	в качестве	9	2
199	на этой	1	2
200	чем оно	1	2
201	одно из	1	2
202	есть та	1	2
203	мы возьмем	1	2
204	но о	2	2
205	но есть	1	2
206	вместе с	1	2
207	и особенно	1	2
208	он будет	1	2
209	есть как	1	2
210	в это	1	2
211	не будем	2	2
212	между прочим	2	2
213	тем и	1	2
214	сколько бы	2	2
215	в результате	1	2
216	только что	1	2
217	этой области	1	2
218	понимать что	1	2
219	гораздо более	1	2
220	равным образом	1	1
221	нужно помнить	2	1
222	с с	2	1
223	определенный момент	1	1
224	пусть не	1	1
225	был и	1	1
226	отношения к	2	1
227	из всех	1	1
228	настоящий момент	3	1
229	очень далеко	1	1
230	и само	1	1
231	которую мы	2	1
232	бы что	1	1
233	идти в	1	1
234	этом не	1	1
235	оно есть	1	1
236	конечно и	1	1
237	которое в	2	1
238	виде то	1	1
239	оно ни	1	1
240	в достижении	1	1
241	прошлого не	1	1
242	в общем	2	1
243	переход от	2	1
244	россия есть	1	1
245	и чем	1	1
246	и я	1	1
247	тем больше	1	1
248	поскольку они	1	1
249	которая хотя	1	1
250	все же	1	1
251	кто не	1	1
