N	2gram	Bakhtin_sl_1	Vvedenie
1	и т	28	42
2	т д	5	36
3	и в	41	32
4	в том	3	31
5	в этом	12	30
6	том что	2	26
7	может быть	14	26
8	не только	16	22
9	для того	2	21
10	того чтобы	1	20
11	таким образом	9	19
12	также и	3	18
13	потому что	2	15
14	так как	3	15
15	не может	14	14
16	в самом	5	13
17	в нем	30	13
18	о том	3	13
19	со стороны	1	13
20	в их	4	12
21	в общем	1	12
22	в его	13	12
23	того что	3	12
24	только в	6	12
25	и не	16	12
26	как на	1	12
27	как мы	8	11
28	в ее	2	11
29	в данном	3	11
30	языка и	12	10
31	то же	14	9
32	в истории	3	9
33	но в	8	9
34	между тем	2	9
35	в той	10	9
36	этого рода	1	9
37	науки о	1	8
38	а только	1	8
39	это не	6	8
40	не в	7	8
41	тем не	1	8
42	не менее	1	8
43	с другой	5	8
44	именно в	3	8
45	но не	2	7
46	все же	7	7
47	было бы	3	7
48	точки зрения	16	7
49	можно было	2	7
50	дело с	1	7
51	прежде всего	8	7
52	о котором	1	7
53	в большей	3	7
54	только как	1	7
55	смысле слова	2	6
56	и это	1	6
57	из этих	3	6
58	широком смысле	2	6
59	его в	3	6
60	как и	4	6
61	к истории	1	6
62	вовсе не	7	6
63	в то	14	6
64	в качестве	3	6
65	же время	12	6
66	не могут	3	6
67	один из	4	6
68	и его	14	6
69	и даже	6	6
70	до сих	2	6
71	но и	16	6
72	сих пор	2	6
73	все это	5	6
74	работы над	1	6
75	хотя бы	3	6
76	одним из	4	5
77	а как	2	5
78	в целом	2	5
79	в широком	2	5
80	на почве	4	5
81	и тем	2	5
82	данном случае	3	5
83	в них	6	5
84	но если	1	5
85	в которых	1	5
86	сказать что	2	5
87	могут быть	19	5
88	имеет дело	2	5
89	так что	2	5
90	не есть	2	5
91	т п	23	5
92	что не	1	5
93	на этот	1	5
94	а не	15	5
95	по своему	2	5
96	в течение	1	5
97	как бы	12	5
98	другой стороны	4	5
99	есть и	1	5
100	в какой	1	5
101	вместе с	1	5
102	связана с	2	4
103	и то	2	4
104	в чисто	2	4
105	в первом	3	4
106	той же	2	4
107	смотреть на	1	4
108	мы имеем	1	4
109	язык как	3	4
110	не просто	1	4
111	от этого	2	4
112	уже не	2	4
113	так или	1	4
114	в себе	3	4
115	в своей	7	4
116	в котором	2	4
117	по крайней	1	4
118	в разных	3	4
119	только с	1	4
120	в каждом	4	4
121	это только	1	4
122	и что	1	4
123	крайней мере	1	4
124	еще не	4	4
125	и ее	3	4
126	с одной	4	4
127	в виде	2	4
128	речь в	2	4
129	всяком случае	5	4
130	как раз	2	4
131	этом отношении	1	4
132	в особенности	8	4
133	одной стороны	4	4
134	или иначе	1	4
135	о чем	1	4
136	с этой	3	4
137	этом случае	2	4
138	и для	4	4
139	а в	6	4
140	во всяком	7	4
141	и есть	1	3
142	в германии	1	3
143	что уже	1	3
144	в сущности	13	3
145	в виду	1	3
146	и на	14	3
147	в различных	1	3
148	стороны и	1	3
149	хотя и	2	3
150	и к	5	3
151	сливается с	2	3
152	бы и	3	3
153	все эти	9	3
154	в этой	1	3
155	в известном	2	3
156	что она	1	3
157	как оно	3	3
158	при этом	6	3
159	если бы	1	3
160	не как	4	3
161	вообще не	3	3
162	свое время	1	3
163	на этом	2	3
164	заключается в	1	3
165	в практической	1	3
166	в свое	3	3
167	и уже	1	3
168	мы видели	1	3
169	чем в	1	3
170	как целое	1	3
171	нисколько не	2	3
172	в этих	2	3
173	быта и	1	3
174	есть еще	1	3
175	однако в	1	3
176	этой работы	1	3
177	дело в	1	3
178	дело не	2	3
179	связи с	2	3
180	языков в	7	3
181	в каком	1	3
182	языка в	16	3
183	должен быть	1	3
184	в ней	4	3
185	в в	1	3
186	на том	2	3
187	что может	1	3
188	и вообще	2	3
189	язык и	10	3
190	можно сказать	2	3
191	а также	2	3
192	к нему	5	3
193	известном смысле	2	3
194	одной из	3	3
195	в начале	1	3
196	и других	3	3
197	из них	3	3
198	в известной	2	3
199	в одном	2	3
200	что и	1	3
201	отношение к	7	3
202	но что	1	3
203	свое выражение	2	3
204	в очень	1	3
205	а потому	1	3
206	именно как	2	3
207	или меньшей	4	3
208	до конца	12	3
209	только по	1	3
210	так же	2	3
211	такого рода	2	3
212	да и	1	3
213	большей или	4	3
214	как две	1	3
215	в изучении	1	3
216	в своем	3	3
217	но с	1	3
218	к тому	3	3
219	в результате	3	3
220	к этому	2	3
221	в частности	2	3
222	могут не	2	2
223	же как	2	2
224	наших дней	1	2
225	и до	1	2
226	из его	1	2
227	что мы	1	2
228	мы уже	2	2
229	есть не	1	2
230	самое же	1	2
231	мы не	2	2
232	в основу	1	2
233	и со	1	2
234	того же	6	2
235	время в	1	2
236	сам же	1	2
237	его к	1	2
238	в этот	1	2
239	выражение в	3	2
240	и те	2	2
241	задний план	1	2
242	и совершенно	1	2
243	не к	1	2
244	какой бы	1	2
245	одной и	1	2
246	не бывает	1	2
247	в другом	2	2
248	и с	4	2
249	них не	1	2
250	входит в	4	2
251	на протяжении	2	2
252	действительности в	1	2
253	для них	2	2
254	но уже	1	2
255	о которых	1	2
256	этого не	1	2
257	несмотря на	1	2
258	как сказано	3	2
259	ни с	1	2
260	должно быть	2	2
261	об особом	1	2
262	с точки	8	2
263	мы называем	1	2
264	не столько	1	2
265	и той	2	2
266	том же	4	2
267	тому что	2	2
268	произведения и	2	2
269	в отношении	6	2
270	нашего времени	1	2
271	с теми	1	2
272	на котором	1	2
273	одна из	2	2
274	никогда не	3	2
275	ничего не	4	2
276	находятся в	1	2
277	его можно	1	2
278	от того	1	2
279	у нас	2	2
280	к отдельным	1	2
281	есть только	1	2
282	лежит в	4	2
283	как только	3	2
284	с полной	1	2
285	той или	9	2
286	рядом с	4	2
287	языка так	3	2
288	значение в	1	2
289	и сам	3	2
290	так и	11	2
291	не с	2	2
292	собой в	1	2
293	не нужно	1	2
294	не исчерпывается	2	2
295	для этого	1	2
296	к языку	3	2
297	преимущественно в	4	2
298	смысле и	1	2
299	только так	1	2
300	и здесь	3	2
301	исследования и	1	2
302	к действительности	1	2
303	в значительной	1	2
304	по их	1	2
305	во всех	17	2
306	возникает и	1	2
307	однако с	1	2
308	во втором	1	2
309	нуждается в	1	2
310	в языке	5	2
311	в форме	1	2
312	язык в	4	2
313	тем более	1	2
314	все время	3	2
315	единого и	4	2
316	быть и	4	2
317	здесь не	2	2
318	языка на	3	2
319	и так	1	2
320	именно на	1	2
321	до наших	1	2
322	каждый из	1	2
323	языка а	3	2
324	только на	2	2
325	чем они	1	2
326	от других	2	2
327	с системой	1	2
328	или иной	9	2
329	языка или	2	2
330	в ряде	1	2
331	и др	14	2
332	них и	1	2
333	не было	3	2
334	поставить в	1	2
335	литературное произведение	1	2
336	языка не	1	2
337	ближе к	1	2
338	с помощью	1	2
339	в разной	1	2
340	с этим	3	2
341	этого слова	1	2
342	по существу	3	2
343	был в	1	2
344	но это	1	2
345	которые были	1	2
346	в более	1	2
347	на задний	1	2
348	между ними	2	2
349	это может	1	2
350	у них	2	2
351	бы в	1	2
352	с ней	2	2
353	он и	1	2
354	жизни и	1	2
355	и другие	1	2
356	и замкнутого	1	1
357	направленности на	2	1
358	например в	2	1
359	словом как	1	1
360	языку и	5	1
361	не остается	1	1
362	выражения в	1	1
363	на самом	2	1
364	в стороне	1	1
365	как такового	3	1
366	к данному	1	1
367	языков но	1	1
368	например у	1	1
369	сохраняет свое	1	1
370	установка на	6	1
371	ведь и	1	1
372	же культуры	1	1
373	в зависимости	3	1
374	долгое время	1	1
375	которыми он	1	1
376	что всякий	1	1
377	очень далеко	1	1
