N	4gram	Vygotskiy__4	VerxiiNi
1	в том числе и	2	4
2	с этой точки зрения	4	2
3	что и те и	1	2
4	бы то ни было	1	2
5	но вместе с тем	2	2
6	в том виде в	1	2
7	точно так же как	1	2
8	и те и другие	1	2
9	одного и того же	5	1
10	а с другой стороны	1	1
11	один и тот же	7	1
12	друг с другом не	1	1
13	в самом деле если	1	1
14	состоит в том что	3	1
15	в том что они	2	1
16	между этими двумя моментами	1	1
17	все более и более	2	1
18	на то что эти	1	1
19	том виде в каком	1	1
20	одном и том же	1	1
21	с нашей точки зрения	2	1
