N	2gram	Ircho_Kome_1	TeoriaLi
1	в мире	1	24
2	не только	10	18
3	в качестве	4	17
4	и не	8	16
5	а в	6	14
6	состоит в	1	13
7	и в	22	13
8	в частности	3	13
9	то есть	1	12
10	так и	5	12
11	может быть	9	12
12	в этом	3	11
13	представляет собой	1	11
14	при этом	5	11
15	в том	11	11
16	но не	2	10
17	и его	8	10
18	в тексте	1	10
19	то же	6	9
20	в его	5	9
21	по отношению	3	8
22	такого рода	6	8
23	в душе	1	8
24	но и	11	8
25	отношению к	3	8
26	что в	6	8
27	отличие от	2	7
28	в себе	2	7
29	том что	12	7
30	точки зрения	4	7
31	в отличие	1	7
32	в то	10	7
33	по своей	2	7
34	во второй	3	7
35	только в	3	7
36	себя в	1	7
37	как это	3	7
38	в данном	1	7
39	еще не	2	6
40	но в	4	6
41	в первой	2	6
42	место в	3	6
43	в русской	1	6
44	же время	4	6
45	как бы	1	6
46	данном случае	1	5
47	в рамках	2	5
48	в своем	1	5
49	в самом	2	5
50	он не	3	5
51	в принципе	2	5
52	как и	9	5
53	не в	6	5
54	однако в	3	5
55	в нем	4	5
56	а также	4	5
57	между тем	5	5
58	и одновременно	3	5
59	не случайно	1	5
60	с другой	5	5
61	как в	5	5
62	высказывания в	1	4
63	говорить о	1	4
64	как правило	3	4
65	а и	1	4
66	отношение к	3	4
67	хотя и	3	4
68	всего лишь	1	4
69	то что	2	4
70	ни в	6	4
71	в ходе	1	4
72	в их	4	4
73	или менее	2	4
74	не менее	3	4
75	приводит к	1	4
76	в форме	2	4
77	и ее	3	4
78	но он	2	4
79	и а	1	4
80	мира и	1	4
81	в свою	2	4
82	не знает	1	4
83	сказать что	1	4
84	не может	2	4
85	более или	1	4
86	между двумя	1	3
87	на две	2	3
88	совпадает с	1	3
89	а только	1	3
90	не все	1	3
91	а всего	1	3
92	перед нами	1	3
93	и к	1	3
94	в противоположность	2	3
95	со своей	2	3
96	в этой	7	3
97	порядок в	1	3
98	и вот	4	3
99	и по	6	3
100	его в	3	3
101	мог бы	2	3
102	и сам	3	3
103	в этих	1	3
104	тем не	2	3
105	в отношении	6	3
106	как раз	3	3
107	потому что	5	3
108	другой стороны	5	3
109	так в	4	3
110	в другом	4	3
111	о ней	1	3
112	в порядке	1	3
113	и что	1	3
114	того что	1	3
115	а с	1	3
116	во времени	1	3
117	с ее	2	3
118	в финале	2	3
119	именно в	4	3
120	и др	1	3
121	нового времени	5	3
122	прежде всего	5	3
123	в соответствии	1	3
124	и потому	1	3
125	человека к	1	3
126	по своему	3	3
127	этого слова	1	3
128	мира в	1	3
129	к которому	3	3
130	таким образом	8	3
131	или в	2	3
132	отношении к	1	3
133	того же	2	2
134	и это	1	2
135	перед лицом	3	2
136	и больше	1	2
137	принадлежит к	2	2
138	на себя	2	2
139	в целом	3	2
140	в чем	3	2
141	у него	3	2
142	в стихе	2	2
143	за пределы	2	2
144	что они	4	2
145	и как	3	2
146	говорит что	1	2
147	самом начале	1	2
148	в которой	6	2
149	так или	1	2
150	право на	2	2
151	к одному	1	2
152	в году	3	2
153	не следует	2	2
154	здесь мы	3	2
155	об этом	1	2
156	по два	1	2
157	дома и	1	2
158	и тем	2	2
159	на уровне	1	2
160	соответствии с	1	2
161	вовсе не	2	2
162	войне и	1	2
163	по себе	1	2
164	даже в	3	2
165	и притом	2	2
166	казалось бы	3	2
167	как будто	2	2
168	и для	1	2
169	и о	3	2
170	в себя	2	2
171	роль в	1	2
172	к его	1	2
173	и здесь	2	2
174	о том	8	2
175	в глаза	1	2
176	к действительности	1	2
177	это было	1	2
178	к нему	2	2
179	во всех	1	2
180	или иначе	1	2
181	вслед за	2	2
182	как художественное	1	2
183	в литературе	1	2
184	к числу	2	2
185	с одной	3	2
186	оказывается в	1	2
187	этом что	2	2
188	в большинстве	1	2
189	а напротив	1	2
190	в конце	6	2
191	и даже	5	2
192	со стороны	2	2
193	в области	2	2
194	одной стороны	3	2
195	существующее в	1	2
196	одну из	2	2
197	о чем	1	2
198	вместе с	2	2
199	так же	3	2
200	и особенно	4	2
201	жизни но	1	2
202	из которых	2	2
203	к жизни	1	2
204	в той	1	2
205	могут быть	3	2
206	к тому	6	2
207	одной из	3	2
208	что он	6	2
209	культуры в	1	2
210	в роли	1	2
211	а между	1	1
212	берет под	1	1
213	ответственного за	1	1
214	можно говорить	1	1
215	также что	1	1
216	те же	1	1
217	также и	1	1
218	такова в	1	1
219	переходит к	1	1
220	идет о	3	1
221	тем же	1	1
222	из его	4	1
223	едва ли	7	1
224	одним из	1	1
225	придают им	1	1
226	со всех	1	1
227	той же	1	1
228	же как	3	1
229	как против	1	1
230	превратилась в	1	1
231	вопрос о	3	1
232	из своих	1	1
233	чтобы не	1	1
234	от своих	1	1
235	литературе нового	1	1
236	в эпических	1	1
237	думаю что	1	1
238	собой в	1	1
239	и на	3	1
240	зрения у	1	1
241	столь же	2	1
242	бы то	2	1
243	тем как	2	1
244	в традициях	1	1
245	совсем не	2	1
246	коем случае	1	1
247	не входит	1	1
248	если в	1	1
249	в комедии	22	1
250	реального исторического	1	1
251	или к	1	1
252	на то	3	1
253	отнюдь не	1	1
254	в истории	5	1
255	независимо от	2	1
256	что касается	2	1
257	целый ряд	1	1
258	что по	2	1
259	над собой	1	1
260	здесь и	2	1
261	при чтении	1	1
262	то в	1	1
263	в условиях	1	1
264	из жизни	1	1
265	что это	1	1
266	тон в	1	1
267	он в	1	1
268	из этих	1	1
269	одном случае	1	1
270	в известном	2	1
271	раз в	2	1
272	ее как	1	1
273	не могла	1	1
274	что одна	1	1
275	на его	5	1
276	исходит из	1	1
277	что она	1	1
278	время и	2	1
279	одному из	2	1
280	в силу	2	1
281	введенное в	1	1
282	по существу	1	1
283	но прежде	1	1
284	том числе	1	1
285	у читателя	1	1
286	чтобы в	1	1
287	подобно тому	1	1
288	по его	1	1
289	то ни	2	1
290	что все	1	1
291	речь в	1	1
292	времени и	2	1
293	большинстве случаев	1	1
294	художественный образ	2	1
295	первую очередь	3	1
296	было бы	2	1
297	должен был	1	1
298	в них	3	1
299	нет в	1	1
300	комедиях аристофана	4	1
301	как об	1	1
302	выступать в	1	1
303	с тем	1	1
304	всю жизнь	1	1
305	как видно	2	1
306	первые два	1	1
307	перед собой	1	1
308	являются наиболее	1	1
309	в на	1	1
310	в еще	1	1
311	себя внимание	1	1
312	но если	1	1
313	обращается к	1	1
314	и без	2	1
315	в котором	4	1
316	друг другу	1	1
317	и более	1	1
318	собой и	2	1
319	с такими	1	1
320	между несколькими	1	1
321	между людьми	1	1
322	и против	1	1
323	чуть больше	1	1
324	ее не	1	1
325	она могла	1	1
326	одна из	2	1
327	на себе	1	1
328	к этим	3	1
329	и сама	1	1
330	которого он	1	1
331	каждый из	3	1
332	нельзя не	2	1
333	предстает перед	1	1
334	от него	1	1
335	персонажа в	1	1
336	ему и	2	1
337	и теперь	2	1
338	из того	1	1
339	состоит не	1	1
340	не по	1	1
341	обращает на	1	1
342	в каком	1	1
343	ему не	1	1
344	у нас	3	1
345	в коем	1	1
346	не могут	1	1
347	что основной	1	1
348	ли не	4	1
349	значительной степени	1	1
350	его с	1	1
351	в поле	1	1
352	указывает на	2	1
353	этом они	1	1
354	слова с	1	1
355	в каждом	1	1
356	в пьесе	1	1
357	на это	1	1
358	в каждой	1	1
359	для зрителя	1	1
360	обычно в	1	1
361	из всего	2	1
362	как мы	4	1
363	того чтобы	1	1
364	это еще	2	1
365	только при	2	1
366	то время	5	1
367	художественного мышления	2	1
368	с собой	1	1
369	можно было	1	1
370	особенно в	1	1
371	начала и	1	1
372	исторического лица	2	1
373	своему происхождению	1	1
374	наше внимание	1	1
375	жизнь и	1	1
376	для этого	2	1
377	с ним	1	1
378	означает что	1	1
379	с человеком	1	1
380	именно потому	2	1
381	на вопрос	1	1
382	в драматическом	1	1
383	одного из	6	1
384	или их	1	1
385	мира а	1	1
386	после того	3	1
387	в сущности	2	1
388	в значительной	1	1
389	это была	1	1
