N	3gram	Tiupa_Lite_2	Istorich
1	и то что	1	5
2	с другой стороны	4	4
3	не может быть	7	4
4	в этом случае	2	3
5	в данном случае	3	3
6	как мы видели	1	3
7	о том что	2	2
8	то же самое	1	2
9	после того как	1	2
10	тем не менее	2	2
11	подобно тому как	2	1
12	в том числе	2	1
13	и не может	1	1
14	с ним а	1	1
15	что он не	1	1
16	из которых он	1	1
17	за то что	2	1
18	которые не могут	1	1
19	что на нем	1	1
20	в основе своей	1	1
21	при всей своей	2	1
22	этом случае мы	1	1
23	и то же	2	1
24	не могут быть	1	1
25	во всех этих	1	1
26	не только как	1	1
27	не в том	1	1
28	одно и то	2	1
29	вместе с тем	1	1
30	не мог бы	1	1
31	и даже в	1	1
32	мы не можем	1	1
33	ничего общего с	1	1
34	к тому что	1	1
35	но как правило	1	1
