N	2gram	Losev_Prob_4	DiskursI
1	в качестве	10	34
2	не только	24	28
3	в том	20	23
4	а не	7	22
5	то есть	27	20
6	том что	12	19
7	может быть	9	17
8	как и	6	16
9	и в	20	16
10	в этом	9	15
11	еще не	7	14
12	но и	14	14
13	при этом	6	13
14	по своей	1	11
15	но не	5	11
16	прежде всего	11	11
17	и не	28	11
18	как в	5	10
19	далеко не	2	10
20	с другой	7	10
21	в нем	5	9
22	не может	5	9
23	с одной	1	9
24	одной стороны	1	9
25	в частности	2	9
26	отнюдь не	10	8
27	но в	8	8
28	о том	5	8
29	так и	10	8
30	а также	6	8
31	не было	3	7
32	в себе	12	7
33	то же	7	7
34	не в	13	7
35	в основе	1	7
36	в его	3	7
37	только в	23	7
38	в своем	3	6
39	пока еще	1	6
40	и как	3	6
41	ни к	2	6
42	и на	3	5
43	во всех	4	5
44	тому же	2	5
45	в силу	1	5
46	в котором	2	5
47	в их	1	5
48	в эпоху	1	5
49	или иной	13	5
50	можно сказать	5	5
51	в данном	6	5
52	как бы	4	5
53	к тому	3	5
54	а в	4	5
55	то что	15	5
56	в своей	4	5
57	и о	5	4
58	с его	2	4
59	отношение к	1	4
60	в истории	3	4
61	и к	3	4
62	уже не	5	4
63	в целом	1	4
64	на его	2	4
65	не как	1	4
66	в них	5	4
67	потому что	15	4
68	могут быть	1	4
69	для себя	2	4
70	внимание на	1	4
71	одной из	4	4
72	что он	8	4
73	для него	3	4
74	не обязательно	2	4
75	по своим	1	4
76	что не	4	4
77	связи с	3	4
78	такого рода	7	4
79	не является	10	4
80	что в	3	4
81	также и	13	3
82	того же	2	3
83	и потому	7	3
84	в каждой	3	3
85	столь же	2	3
86	той или	14	3
87	с этим	4	3
88	перед нами	13	3
89	в самом	2	3
90	человеческого сознания	2	3
91	от мифа	1	3
92	заключается в	2	3
93	это не	7	3
94	точки зрения	14	3
95	в своих	1	3
96	однако в	2	3
97	бы быть	2	3
98	по себе	11	3
99	в то	4	3
100	таким образом	8	3
101	они и	2	3
102	свою очередь	1	3
103	в ее	5	3
104	времени и	4	3
105	и даже	9	3
106	что и	3	3
107	хотя бы	7	3
108	из них	3	3
109	тем что	3	3
110	именно в	7	3
111	понятие о	2	3
112	к содержанию	1	3
113	по своему	6	3
114	того что	1	3
115	все же	2	3
116	в свою	1	3
117	сказать что	7	3
118	другой стороны	6	3
119	в действительности	1	3
120	это понятие	1	3
121	одним из	1	2
122	и есть	4	2
123	к другому	1	2
124	он всегда	1	2
125	едва ли	10	2
126	в году	1	2
127	мы имеем	6	2
128	на себя	1	2
129	ему в	2	2
130	в виду	6	2
131	между собой	2	2
132	сказать и	1	2
133	но как	3	2
134	за пределы	2	2
135	себя в	2	2
136	стороны и	2	2
