N	3gram	Propp_Isto_5	Narrotol
1	в данном случае	2	8
2	не только в	2	6
3	в том что	2	5
4	в соответствии с	1	4
5	то же время	1	4
6	и тем самым	1	4
7	в то же	1	4
8	не может быть	3	4
9	по отношению к	2	3
10	подобно тому как	1	3
11	обращает на себя	1	3
12	для того чтобы	3	3
13	тем не менее	4	3
14	на другой день	1	3
15	о том что	4	2
16	состоит в том	1	2
17	в самом деле	1	2
18	до сих пор	2	2
19	в отличие от	1	2
20	но и в	2	2
21	в зависимости от	1	2
22	может быть не	1	2
23	в связи с	4	2
24	во всяком случае	1	2
25	они и не	1	2
26	в свою очередь	1	2
27	можно сказать что	1	2
28	на то что	2	2
29	это уже не	2	1
30	их ставят на	1	1
31	мере того как	1	1
32	в том числе	1	1
33	по мере того	1	1
34	же как и	2	1
35	он не может	2	1
36	с другой стороны	8	1
37	с точки зрения	1	1
38	и не только	1	1
39	что он уже	1	1
40	прямо не говорится	1	1
41	сам по себе	1	1
42	как мы увидим	3	1
43	всем свете нет	1	1
44	что не только	1	1
45	из того что	1	1
46	но и здесь	1	1
47	точно так же	1	1
48	у него нет	1	1
49	в ней не	1	1
50	в особенности в	2	1
51	как и в	2	1
52	же можно сказать	1	1
53	мы не знаем	2	1
54	с одной стороны	7	1
55	и потому что	1	1
56	друг с другом	2	1
57	потому что в	1	1
58	еще и потому	1	1
59	что у него	1	1
60	а не в	1	1
61	а тот кто	1	1
62	само по себе	1	1
63	что один из	1	1
64	том числе и	1	1
65	но все же	4	1
66	ничего не говорит	1	1
67	в этих случаях	6	1
68	по себе но	1	1
69	они могут быть	1	1
70	на самом деле	1	1
71	мы уже знаем	1	1
72	и не могло	1	1
73	не тот кто	1	1
74	и т д	18	1
75	как мы видели	1	1
