N	3gram	Ircho_Kome_1	NovoeSre
1	в высшей степени	1	6
2	подобно тому как	1	3
3	со всех сторон	1	3
4	вместе с тем	1	2
5	так же как	1	2
6	с одной стороны	3	2
7	с другой стороны	5	2
8	я думаю что	1	1
9	между небом и	1	1
10	то время как	4	1
11	в том числе	1	1
12	же как и	1	1
13	до сих пор	2	1
14	в зависимости от	1	1
15	в отличие от	1	1
16	античной цивилизации и	1	1
17	но и в	2	1
18	можно было бы	1	1
19	культуры в том	1	1
20	только одна десятая	1	1
21	не только в	1	1
22	как будто бы	1	1
23	могут быть отнесены	1	1
24	до войны и	1	1
25	во всяком случае	2	1
26	о том что	3	1
27	в то время	5	1
28	ни в чем	1	1
29	в значительной степени	1	1
30	в политической жизни	1	1
31	в новое время	2	1
32	которые могут быть	1	1
33	в большинстве случаев	1	1
34	в том что	9	1
35	как и в	2	1
