N	2gram	Propp_Isto_1	KFilosof
1	может быть	25	43
2	в его	5	39
3	в нем	2	31
4	не может	15	27
5	и не	9	26
6	по отношению	3	25
7	и в	28	22
8	в себе	2	21
9	в котором	3	21
10	отношению к	3	21
11	не есть	2	19
12	и его	3	17
13	в ее	2	17
14	а не	15	17
15	только в	11	16
16	в этом	8	13
17	и это	1	12
18	но не	5	12
19	для него	2	12
20	все эти	4	11
21	в своей	1	11
22	не в	9	11
23	во всех	2	10
24	в своем	5	10
25	это не	7	10
26	от себя	1	10
27	все это	4	10
28	и есть	1	9
29	в их	3	9
30	в целом	2	9
31	но и	10	9
32	как бы	2	9
33	и для	4	9
34	и все	1	9
35	было бы	7	8
36	если бы	8	8
37	со стороны	2	8
38	не было	1	8
39	то что	9	7
40	во всем	3	7
41	должен быть	3	7
42	на основе	5	7
43	в себя	1	7
44	и здесь	7	7
45	что и	6	7
46	себя в	2	7
47	конечно не	2	7
48	вовсе не	2	7
49	быть только	1	7
50	я не	3	6
51	момент в	1	6
52	отнюдь не	1	6
53	и я	1	6
54	он не	2	6
55	не значит	1	6
56	этот момент	2	6
57	и только	2	6
58	совершенно не	1	6
59	уже не	3	6
60	и их	3	6
61	ко мне	2	6
62	но это	4	6
63	в том	9	6
64	мы имеем	13	5
65	но как	1	5
66	все же	10	5
67	но в	8	5
68	не только	12	5
69	но ведь	1	5
70	то же	12	5
71	но все	4	5
72	его в	6	5
73	как и	4	5
74	должно быть	2	5
75	от его	1	5
76	никогда не	14	5
77	с ним	2	5
78	именно в	3	5
79	его как	2	5
80	там где	4	5
81	в основе	4	5
82	хотя бы	4	5
83	не знает	5	5
84	как его	1	4
85	при этом	3	4
86	не как	3	4
87	здесь мы	7	4
88	бы быть	3	4
89	к ним	4	4
90	не по	2	4
91	о нем	2	4
92	в каком	1	4
93	и пространство	1	4
94	времени и	1	4
95	между тем	2	4
96	во всей	2	4
97	нисколько не	2	4
98	ни было	2	4
99	в одном	5	4
100	том что	7	4
101	для нас	13	4
102	а в	7	4
103	только как	1	4
104	что в	12	4
105	на самом	1	3
106	из его	1	3
107	должна быть	5	3
108	и этот	1	3
109	мы не	10	3
110	что это	8	3
111	в ней	7	3
112	еще не	7	3
113	и на	4	3
114	независимо от	1	3
115	и этим	2	3
116	к чему	3	3
117	бы не	1	3
118	всех этих	2	3
119	для того	1	3
120	могла бы	1	3
121	в другом	3	3
122	этом смысле	1	3
123	нет в	2	3
124	что этот	2	3
125	не менее	6	3
126	тогда когда	2	3
127	я буду	1	3
128	где он	1	3
129	ничего не	2	3
130	в некотором	2	3
131	могут быть	4	3
132	меня в	1	3
133	здесь не	4	3
134	ясно что	2	3
135	но здесь	1	3
136	в виду	1	3
137	о том	9	3
138	того или	1	3
139	ним и	1	3
140	нем и	1	3
141	того что	4	3
142	в современной	3	3
143	и тем	2	3
144	всем его	1	3
145	не дает	2	3
146	был бы	2	3
147	тем что	3	3
148	что не	2	3
149	и пр	4	3
150	и жизни	1	3
151	вступает в	2	3
152	котором он	1	3
153	а все	1	3
154	не должен	5	3
155	только с	2	3
156	но можно	1	3
157	или иного	1	3
158	в то	3	3
159	на своем	1	3
160	чтобы не	3	2
161	мы здесь	3	2
162	не остается	1	2
163	все остальное	1	2
164	и то	1	2
165	он может	1	2
166	это и	1	2
167	едва ли	1	2
168	и должен	3	2
169	а как	1	2
170	вопрос о	5	2
171	а для	2	2
172	этот факт	1	2
173	ему в	3	2
174	я становлюсь	1	2
175	совсем не	1	2
176	к которой	1	2
177	или иное	1	2
178	один и	2	2
179	себя за	1	2
180	как в	2	2
181	и как	2	2
182	от этого	2	2
183	себе как	1	2
184	та же	1	2
185	в этой	6	2
186	и тот	2	2
187	всей его	1	2
188	вследствие этого	2	2
189	как оно	2	2
190	в виде	2	2
191	так и	9	2
192	то ни	2	2
193	а по	2	2
194	ответственность за	1	2
195	действительности в	1	2
196	и мы	2	2
197	в жизни	1	2
198	кажется что	1	2
199	соответствии с	1	2
200	с тем	4	2
201	можно ли	1	2
202	тем не	6	2
203	и эти	3	2
204	войти в	1	2
205	по себе	3	2
206	случае мы	1	2
207	тому что	1	2
208	раз и	3	2
209	нечто вроде	1	2
210	и развивается	1	2
211	что эта	1	2
212	дело не	5	2
213	мышления и	1	2
214	дело в	3	2
215	того чтобы	1	2
216	вытекает из	1	2
217	в области	2	2
218	бы он	1	2
219	оно не	1	2
220	отказаться от	2	2
221	где этот	1	2
222	во главе	1	2
223	говорить о	1	2
224	и когда	2	2
225	пройти мимо	2	2
226	сводится к	1	2
227	может не	1	2
228	и та	1	2
229	бы то	2	2
230	однако что	1	2
231	в ту	2	2
232	может иметь	1	2
233	и она	2	2
234	тот же	2	2
235	дело с	2	2
236	что он	10	2
237	а с	2	2
238	именно на	2	2
239	в качестве	5	2
240	мы получим	2	2
241	не из	1	2
242	его и	2	2
243	дело когда	1	2
244	слова в	1	2
245	это значило	1	2
246	герой и	1	2
247	были бы	2	2
248	себе а	1	2
249	для этого	3	2
250	было и	1	2
251	но есть	1	2
252	прежде всего	10	2
253	в соответствии	1	2
254	только по	1	2
255	для этой	1	2
256	и потому	2	2
257	этих предметов	1	2
258	разве не	2	2
259	пространство в	1	2
260	дело здесь	1	2
261	быть не	1	2
262	в это	1	2
263	этого слова	1	2
264	которой он	1	2
265	это можно	1	2
266	или иным	1	2
267	значило бы	1	2
268	и смысл	1	2
269	ни к	2	2
270	потому что	4	2
271	к этому	2	2
272	не зависит	1	1
273	ту же	1	1
274	также и	3	1
275	ценное для	1	1
276	сомнения что	1	1
277	утверждение что	1	1
278	в стороне	3	1
279	в средние	1	1
280	тем же	1	1
281	что эти	1	1
282	имеем и	1	1
283	исходит из	3	1
284	ведь и	1	1
285	между ним	1	1
286	в зависимости	2	1
287	отношения к	2	1
288	шире и	1	1
289	мы уже	1	1
290	его не	1	1
291	из всех	2	1
292	не делает	1	1
293	что уже	1	1
294	он как	1	1
295	и ее	1	1
296	и он	3	1
297	и говорить	1	1
298	и иначе	1	1
299	стороны его	2	1
300	не найдем	1	1
301	столь же	2	1
302	этих случаях	2	1
303	как таковая	2	1
304	в нашем	1	1
305	мной в	1	1
306	как если	1	1
307	мы будем	5	1
308	так по	1	1
309	а он	1	1
310	таком положении	1	1
