N	2gram	Losev_Vesc_1	TeoriaLi
1	– это	1	20
2	не только	36	18
3	в качестве	1	17
4	тогда как	1	16
5	и не	29	16
6	я в	2	16
7	а в	4	14
8	– в	5	14
9	и в	21	13
10	в частности	1	13
11	так и	3	12
12	может быть	16	12
13	в этом	4	11
14	при этом	1	11
15	в том	8	11
16	но не	5	10
17	и его	2	10
18	а не	19	10
19	то же	6	9
20	в его	2	9
21	сводится к	2	8
22	но и	18	8
23	что в	9	8
24	отличие от	1	7
25	в себе	14	7
26	том что	8	7
27	точки зрения	5	7
28	в отличие	1	7
29	в то	3	7
30	по своей	2	7
31	только в	14	7
32	себя в	10	7
33	как это	2	7
34	в данном	5	7
35	еще не	8	6
36	с его	1	6
37	но в	5	6
38	в первой	2	6
39	как бы	12	6
40	мы имеем	7	5
41	данном случае	2	5
42	в своем	6	5
43	в самом	9	5
44	в принципе	1	5
45	того или	1	5
46	как и	8	5
47	не в	5	5
48	однако в	1	5
49	тем самым	1	5
50	а а	1	5
51	в нем	2	5
52	– с	2	5
53	в ее	7	5
54	в пределах	1	5
55	или иной	1	5
56	а также	1	5
57	уже не	9	5
58	не случайно	2	5
59	с другой	6	5
60	между ними	3	5
61	по преимуществу	2	4
62	говорить о	6	4
63	а и	9	4
64	отношение к	1	4
65	хотя и	4	4
66	то что	27	4
67	не предполагает	4	4
68	ни в	1	4
69	в слове	2	4
70	в своей	5	4
71	или менее	1	4
72	не столько	1	4
73	не менее	3	4
74	личности в	1	4
75	приводит к	1	4
76	можно сказать	6	4
77	и ее	18	4
78	но он	2	4
79	и а	2	4
80	личности и	1	4
81	в свою	4	4
82	сказать что	17	4
83	не может	17	4
84	более или	1	4
85	и то	10	3
86	между двумя	1	3
87	а только	3	3
88	не все	1	3
89	– на	1	3
90	перед нами	2	3
91	и к	1	3
92	все эти	3	3
93	в этой	3	3
94	и вот	2	3
95	и по	1	3
96	его в	2	3
97	мог бы	5	3
98	в этих	1	3
99	тем не	3	3
100	в отношении	4	3
101	и внешней	1	3
102	никогда не	2	3
103	на меня	3	3
104	как раз	9	3
105	потому что	16	3
106	той или	2	3
107	– все	1	3
108	свою очередь	4	3
109	другой стороны	2	3
110	так в	1	3
111	и –	10	3
112	в другом	2	3
113	о ней	2	3
114	и что	15	3
115	того что	8	3
116	а с	3	3
117	без остатка	1	3
118	для него	4	3
119	слова в	2	3
120	с ее	6	3
121	именно в	1	3
122	прежде всего	9	3
123	и потому	5	3
124	– не	9	3
125	к которому	1	3
126	объекта и	1	3
127	таким образом	8	3
128	или в	2	3
129	в основе	3	3
130	я и	6	2
131	была бы	2	2
132	– может	1	2
133	того же	5	2
134	и это	14	2
135	но –	2	2
136	это и	6	2
137	тех или	5	2
138	и больше	9	2
139	собою в	1	2
140	но она	3	2
141	на себя	1	2
142	я не	4	2
143	между собой	1	2
144	в чем	6	2
145	могло быть	1	2
146	у него	2	2
147	что они	6	2
148	сама по	3	2
149	данный момент	1	2
150	как к	4	2
151	и как	8	2
152	говорит что	1	2
153	это тоже	1	2
154	самом начале	1	2
155	в которой	1	2
156	образом и	1	2
157	так или	4	2
158	но на	2	2
159	к одному	3	2
160	или иных	1	2
161	одно и	5	2
162	здесь мы	1	2
163	могла бы	3	2
164	об этом	3	2
165	это не	5	2
166	и тем	3	2
167	вовсе не	10	2
168	и того	2	2
169	одного и	1	2
170	с точки	3	2
171	от себя	1	2
172	в имени	15	2
173	их в	3	2
174	зрения и	2	2
175	по себе	13	2
176	и притом	3	2
177	для меня	2	2
178	дело не	2	2
179	только не	2	2
180	мышления и	1	2
181	однако если	1	2
182	имеем дело	3	2
183	этих двух	2	2
184	своей природе	1	2
185	внутренней и	1	2
186	как будто	1	2
187	и для	9	2
188	для такого	2	2
189	и о	3	2
190	самим собою	2	2
191	в себя	13	2
192	не с	7	2
193	к его	1	2
194	– и	2	2
195	мы в	1	2
196	если бы	5	2
197	в виду	2	2
198	и здесь	4	2
199	о том	6	2
200	что каждый	1	2
201	к действительности	2	2
202	это было	1	2
203	к нему	1	2
204	во всех	2	2
