N	2gram	Propp_Morf_1	Poddanst
1	не только	4	17
2	и в	13	14
3	и не	12	12
4	в области	1	11
5	в этом	14	10
6	в качестве	5	9
7	но в	2	9
8	то же	7	9
9	в том	6	9
10	в пределах	3	8
11	хотя бы	4	8
12	только в	2	7
13	в то	3	7
14	было бы	3	6
15	но и	4	6
16	в которых	2	5
17	с другой	8	5
18	может быть	52	5
19	и пр	37	5
20	не в	3	5
21	а н	1	5
22	если бы	2	4
23	а также	4	4
24	и к	4	4
25	как бы	3	4
26	том что	4	4
27	не может	14	4
28	на пути	4	4
29	в русской	1	4
30	что в	8	4
31	мы должны	3	4
32	же в	2	4
33	а в	7	4
34	то что	8	4
35	в с	1	4
36	и т	41	3
37	мы не	8	3
38	между тем	5	3
39	это не	6	3
40	вслед за	5	3
41	хотя и	3	3
42	и как	5	3
43	с ними	1	3
44	с одной	1	3
45	в себе	1	3
46	в россии	2	3
47	для того	2	3
48	прежде всего	9	3
49	одной стороны	1	3
50	с тем	2	3
51	что мы	2	3
52	с точки	2	3
53	но не	4	3
54	она есть	1	3
55	наряду с	5	3
56	могут быть	16	3
57	т е	21	3
58	потому что	3	3
59	точки зрения	2	3
60	нужно помнить	1	2
61	например в	2	2
62	и есть	2	2
63	по характеру	1	2
64	есть нечто	3	2
65	к началу	4	2
66	которое в	1	2
67	но к	1	2
68	во всех	4	2
69	говорить о	3	2
70	если в	5	2
71	во всей	1	2
72	со стороны	3	2
73	в е	1	2
74	каждый в	1	2
75	с этим	11	2
76	и дети	1	2
77	того что	3	2
78	помнить что	1	2
79	к чему	3	2
80	в начале	3	2
81	главным образом	4	2
82	в его	1	2
83	о и	1	2
84	из них	3	2
85	в виде	2	2
86	в силу	1	2
87	и вот	1	2
88	в выборе	1	2
89	как раз	1	2
90	по-видимому не	1	2
91	и с	1	2
92	точек зрения	1	2
93	может ли	1	2
94	здесь нужно	1	2
95	и тем	2	2
96	в них	1	2
97	а не	11	2
98	в ряду	1	2
99	должно быть	1	2
100	более чем	1	2
101	не столько	1	2
102	знать что	2	2
103	не будем	4	2
104	в тот	1	2
105	для тех	1	2
106	не менее	5	2
107	между прочим	1	2
108	одна из	4	2
109	мысль о	1	2
110	для нас	2	2
111	может и	1	2
112	и г	1	2
113	в частности	2	2
114	как на	1	2
115	также и	4	1
116	некоторое средство	1	1
117	с другом	1	1
118	связана с	3	1
119	и то	1	1
120	тем и	2	1
121	и вслед	1	1
122	как по	1	1
123	в иных	4	1
124	и этим	5	1
125	есть путь	1	1
126	известных в	1	1
127	должна быть	1	1
128	собственном смысле	3	1
129	те же	1	1
130	не с	2	1
131	очень далеко	1	1
132	представляют собою	1	1
133	еще в	1	1
134	к первому	1	1
135	которыми могут	1	1
136	в собственном	3	1
137	находится в	1	1
138	не вполне	1	1
139	оно есть	1	1
140	с ее	1	1
141	и ее	3	1
142	эти явления	1	1
143	и здесь	5	1
144	может не	1	1
145	не означает	1	1
146	настоящее время	3	1
147	он пришел	1	1
148	и что	2	1
149	как таковые	1	1
150	еще не	3	1
151	были бы	1	1
152	и на	1	1
153	он был	1	1
154	с того	3	1
155	в различных	2	1
156	с его	2	1
157	родителей и	1	1
158	учреждений и	1	1
159	грань между	1	1
160	с трудом	1	1
161	не все	6	1
162	более как	1	1
163	что и	7	1
164	отличие от	1	1
165	да в	1	1
166	победы в	1	1
167	основная задача	1	1
168	от разрешения	1	1
169	тем больше	1	1
170	по количеству	1	1
171	в рамках	1	1
172	вот как	1	1
173	тех пор	1	1
174	все же	7	1
175	и где	1	1
176	вопросом о	1	1
177	мы видим	13	1
178	этого сборника	1	1
179	более или	2	1
