N	2gram	Vinokur_Vv_1	Narrotol
1	не только	21	32
2	может быть	24	25
3	но и	5	23
4	в качестве	7	21
5	и не	13	20
6	и в	27	19
7	в том	31	18
8	в этом	34	17
9	в тексте	4	16
10	в частности	3	14
11	не в	8	14
12	том что	26	14
13	состоит в	2	13
14	а не	3	12
15	тогда как	2	12
16	представляет собой	12	12
17	своего рода	3	12
18	а в	5	11
19	то что	17	11
20	не может	13	10
21	точки зрения	7	10
22	так и	1	9
23	в его	10	9
24	со стороны	12	9
25	при этом	3	9
26	в себе	4	8
27	и т.п	1	8
28	с другой	8	8
29	все же	8	7
30	еще не	4	7
31	как и	5	7
32	одной стороны	4	7
33	времени и	4	7
34	к тому	4	7
35	такого рода	2	7
36	и т.д	4	7
37	с одной	4	7
38	по отношению	4	7
39	а также	3	7
40	как в	1	7
41	на протяжении	2	6
42	отношению к	4	6
43	как это	5	6
44	иначе говоря	1	6
45	но не	7	6
46	в себя	1	6
47	в той	7	6
48	но в	10	6
49	именно в	8	6
50	о том	15	6
51	то в	1	6
52	что он	4	6
53	в форме	2	5
54	можно сказать	3	5
55	не предполагает	1	5
56	к нему	2	5
57	по себе	9	5
58	мира в	1	5
59	нуждается в	2	5
60	отличие от	3	5
61	и его	5	5
62	тому же	1	5
63	уже не	5	5
64	в этой	3	5
65	в отличие	3	5
66	себя в	2	5
67	или иной	1	5
68	и как	9	5
69	в данном	11	5
70	не мог	2	4
71	и с	2	4
72	же время	5	4
73	данном случае	5	4
74	отличается от	1	4
75	прежде всего	8	4
76	здесь не	2	4
77	другой стороны	5	4
78	при всей	1	4
79	за собой	3	4
80	хотя бы	5	4
81	если не	1	4
82	в принципе	2	4
83	но все	3	4
84	одной из	3	4
85	то же	8	4
86	в противовес	1	4
87	что не	5	4
88	в силу	3	4
89	да и	4	4
90	только в	13	4
91	не столько	2	4
92	в особенности	4	4
93	и тем	5	4
94	точку зрения	1	4
95	у него	1	4
96	связи с	3	4
97	же в	1	4
98	было бы	5	4
99	одного из	1	4
100	из которых	2	4
101	речь идет	2	4
102	как бы	5	4
103	сказать что	5	4
104	той или	1	4
105	в нем	13	4
106	во втором	2	4
107	о ней	1	3
108	это и	1	3
109	жизни и	2	3
110	не есть	4	3
111	бы то	1	3
112	на том	3	3
113	ни было	1	3
114	не менее	8	3
115	из двух	2	3
116	в прошлом	2	3
117	различного рода	1	3
118	будто бы	2	3
119	художественной литературы	2	3
120	без чего	1	3
121	что в	11	3
122	в ее	11	3
123	между тем	8	3
124	который по	2	3
125	никогда не	3	3
126	хотя и	3	3
127	не с	2	3
128	мог бы	2	3
129	текста на	1	3
130	как мы	9	3
131	истории в	2	3
132	то ни	1	3
133	в то	5	3
134	в сущности	3	3
135	что это	3	3
136	один из	6	3
137	свою очередь	1	3
138	тем что	6	3
139	в первом	5	3
140	тем не	8	3
141	в конечном	1	3
142	одна из	2	3
143	как будет	2	3
144	же как	3	3
145	могут быть	4	3
146	не существует	2	3
147	то или	1	3
148	этом отношении	3	3
149	и на	3	3
150	в ней	3	3
151	уже в	5	3
152	как будто	3	3
153	а именно	6	3
154	из них	3	3
155	из этих	5	3
156	или иначе	4	3
157	значении этого	1	3
158	жизни как	2	3
159	и даже	5	3
160	а до	1	3
161	в свою	1	3
162	все эти	3	2
163	что по	1	2
164	одним из	5	2
165	жизни а	1	2
166	или иное	1	2
167	когда мы	2	2
168	в значительной	2	2
169	оно не	1	2
170	должна быть	2	2
171	в обоих	2	2
172	в связи	2	2
173	говорить о	3	2
174	не всегда	1	2
175	или в	1	2
176	что нет	2	2
177	в литературе	1	2
178	говорит о	3	2
179	каждый из	2	2
180	и тот	1	2
181	так же	3	2
182	и для	4	2
183	после смерти	1	2
184	в область	1	2
185	и ее	4	2
186	не было	1	2
187	может оказаться	3	2
188	известном смысле	3	2
189	и соответственно	1	2
190	и все	1	2
191	есть в	1	2
192	только о	2	2
193	наконец в	1	2
194	в культуре	1	2
195	как раз	4	2
196	которого он	1	2
197	независимо от	3	2
198	к которому	1	2
199	иное как	5	2
200	нами не	2	2
201	этой точки	1	2
202	та же	1	2
203	которых и	1	2
204	того или	1	2
205	собой не	1	2
206	одно из	5	2
207	его в	6	2
208	или даже	1	2
209	время в	2	2
210	ту или	1	2
211	все то	1	2
212	между собой	1	2
213	в результате	3	2
214	отношение к	3	2
215	например в	2	2
216	для него	1	2
217	между ними	2	2
218	во всей	1	2
219	отношения к	1	2
220	дело с	6	2
221	нет и	1	2
222	в собственном	2	2
223	но как	2	2
224	значительной степени	1	2
225	не от	1	2
226	что иное	4	2
227	первом случае	2	2
228	с точки	2	2
229	однако в	3	2
230	подход к	1	2
231	он сам	3	2
232	они не	1	2
233	языка и	12	2
234	имеем дело	1	2
235	утверждать что	1	2
236	что у	1	2
237	что на	1	2
238	не на	1	2
239	то она	1	2
