N	3gram	Tiupa_Narr_2	Istorich
1	до сих пор	1	5
2	в том что	8	5
3	тем не менее	4	5
4	что иное как	1	3
5	здесь мы имеем	1	3
6	в данном случае	6	3
7	в связи с	1	3
8	не что иное	1	3
9	если бы она	1	2
10	состоит в том	4	2
11	по отношению к	5	2
12	и в других	1	2
13	точно так же	2	2
14	и здесь мы	1	2
15	с одной стороны	5	2
16	то время как	1	2
17	во всяком случае	1	2
18	в то время	1	2
19	о том что	4	2
20	не только не	2	2
21	на том свете	2	2
22	к тому же	4	2
23	хотя и не	2	1
24	в чем же	1	1
25	мы имеем дело	2	1
26	подобно тому как	2	1
27	в соответствии с	3	1
28	бы это был	1	1
29	что у нее	1	1
30	с этой точки	1	1
31	с точки зрения	2	1
32	и так или	1	1
33	но и в	2	1
34	в таком случае	1	1
35	можно было бы	1	1
36	том смысле как	1	1
37	она не могла	1	1
38	в частности из	1	1
39	то что было	1	1
40	в том смысле	1	1
41	смерть и воскресение	1	1
42	не только в	6	1
43	ничего не знает	1	1
44	имеем дело с	2	1
45	так или иначе	1	1
46	так же как	2	1
47	но уже не	1	1
48	данном случае в	1	1
49	этой точки зрения	1	1
50	него а в	1	1
51	есть не что	1	1
52	к ней в	2	1
53	но они не	1	1
54	не означает что	1	1
55	на самом деле	2	1
56	не может быть	2	1
57	или чаще в	1	1
58	можно сказать что	3	1
59	но и не	1	1
60	и к этому	1	1
61	в большинстве случаев	1	1
62	во второй раз	1	1
63	и все что	1	1
64	и у нас	2	1
65	здесь не только	1	1
66	на этот вопрос	1	1
67	на том что	1	1
