N	3gram	Berdyaev_O_1	KulturaY
1	в самом деле	1	11
2	для того чтобы	3	11
3	в том что	1	8
4	в том случае	1	4
5	и в этом	2	4
6	и в самом	1	4
7	после того как	1	4
8	сам по себе	1	3
9	не может быть	2	3
10	о том что	1	3
11	смысле этого слова	1	2
12	от того что	1	2
13	потому что в	1	2
14	не в том	1	2
15	не могут быть	2	2
16	я имею в	1	2
17	имею в виду	1	2
18	с вопросом о	1	2
19	хотя и не	1	1
20	а вовсе не	1	1
21	прежде всего в	1	1
22	и не может	1	1
23	в иных случаях	1	1
24	в другом месте	1	1
25	в строгом смысле	1	1
26	но и в	2	1
27	с тем что	2	1
28	и дело что	1	1
29	в виду не	1	1
30	в этих словах	1	1
31	по природе своей	1	1
32	во всяком случае	1	1
33	том-то и дело	1	1
34	это потому что	1	1
35	не потому ли	1	1
36	не могут и	1	1
37	само по себе	1	1
38	и прежде всего	1	1
39	в том-то и	1	1
40	это не есть	1	1
41	и вопрос о	1	1
