N	2gram	Tiupa_Narr_1	Komedia
1	и в	19	26
2	едва ли	1	14
3	и не	20	14
4	и его	5	12
5	к тому	7	12
6	так и	9	12
7	тому же	5	11
8	может быть	25	11
9	в том	18	11
10	в этом	17	10
11	на протяжении	6	10
12	но и	23	10
13	столь же	3	9
14	том что	14	9
15	если бы	1	9
16	что в	3	9
17	было бы	4	8
18	и на	3	7
19	не только	32	7
20	на себя	3	7
21	что и	1	7
22	из них	3	7
23	еще не	7	6
24	в своем	2	6
25	о том	6	6
26	в нем	4	6
27	таким образом	1	6
28	в то	3	6
29	потому что	1	6
30	и здесь	1	6
31	в двух	2	6
32	наряду с	2	6
33	то что	11	6
34	с его	6	5
35	что он	6	5
36	независимо от	2	5
37	ни в	3	5
38	себя внимание	3	5
39	последние десятилетия	1	5
40	и с	4	5
41	хоть и	1	5
42	один из	3	5
43	действующих лиц	1	5
44	в качестве	21	5
45	обращает на	3	5
46	уже в	3	4
47	хотя и	3	4
48	в самом	1	4
49	что это	3	4
50	в целом	1	4
51	из этих	3	4
52	это было	1	4
53	в них	1	4
54	как и	7	4
55	место в	1	4
56	не менее	3	4
57	не по	1	4
58	как будто	3	4
59	как мы	3	4
60	что у	2	4
61	можно было	2	4
62	его в	2	4
63	восходит к	3	4
64	между тем	3	4
65	в его	9	4
66	только в	4	4
67	до нас	1	4
68	же в	4	4
69	в начале	1	4
70	у него	4	4
71	в последние	2	4
72	прежде всего	4	4
73	мира в	5	4
74	в частности	14	4
75	как это	6	4
76	о его	1	4
77	все же	7	4
78	и для	2	4
79	и от	1	4
80	одной из	4	4
81	точки зрения	10	4
82	речь идет	4	3
83	например в	2	3
84	становится в	1	3
85	в котором	1	3
86	то же	4	3
87	в их	1	3
88	надо было	1	3
89	того же	1	3
90	в ней	3	3
91	во всех	1	3
92	в обеих	1	3
93	как правило	4	3
94	но не	5	3
95	по отношению	7	3
96	как в	7	3
97	что касается	2	3
98	но в	6	3
99	так или	2	3
100	в этой	5	3
101	но все	4	3
102	человека в	2	3
103	первую очередь	1	3
104	при всем	2	3
105	в обоих	2	3
106	не имеет	2	3
107	в самой	1	3
108	же время	4	3
109	к концу	1	3
110	связи с	4	3
111	что на	2	3
112	и сам	1	3
113	в поле	1	3
114	к нему	5	3
115	после смерти	2	3
116	дело с	2	3
117	к их	1	3
118	себя в	5	3
119	ответ на	1	3
120	искать в	1	3
121	никто не	1	3
122	мы можем	1	3
123	тем что	3	3
124	в первую	1	3
125	даже не	3	3
126	или иначе	3	3
127	здесь в	1	3
128	не было	2	3
129	о чем	2	3
130	в связи	2	3
131	из которых	4	3
132	и столь	1	3
133	в тех	1	3
134	отношению к	6	3
135	да и	4	3
136	с этой	1	3
137	или в	2	3
138	для нас	1	3
139	а в	11	3
140	жизни и	3	3
141	по поводу	1	3
142	том числе	6	3
143	не может	10	3
144	как известно	2	2
145	одним из	2	2
146	только потому	1	2
147	и есть	1	2
148	в первом	3	2
149	из его	1	2
150	и за	1	2
151	мы имеем	2	2
152	мы не	1	2
153	говорить о	2	2
154	х годов	1	2
155	в виду	1	2
156	под названием	1	2
157	бы то	3	2
158	в ее	3	2
159	если в	3	2
160	отличие от	5	2
161	отнюдь не	5	2
162	идет о	2	2
163	что именно	2	2
164	что по	2	2
165	в действительности	1	2
166	от этого	1	2
167	за собой	4	2
168	в средствах	1	2
169	сказать о	1	2
170	ни одна	1	2
171	роль в	2	2
172	он не	3	2
173	в принципе	4	2
174	в силу	4	2
175	что ни	1	2
176	на этом	1	2
177	то ни	3	2
178	же не	4	2
179	об этом	1	2
180	в глазах	1	2
181	это не	2	2
182	этом смысле	1	2
183	в это	1	2
184	не всегда	2	2
185	в развитии	1	2
186	в один	1	2
187	когда в	1	2
188	в следующем	1	2
189	в отличие	5	2
190	признать что	1	2
191	не в	14	2
192	особо следует	1	2
193	в конце	1	2
194	однако в	2	2
195	вовсе не	1	2
196	даже в	2	2
197	одна из	3	2
198	в какой-то	1	2
199	и после	2	2
200	не является	8	2
201	с другом	1	2
202	сюжета в	2	2
203	последний из	1	2
204	всего в	1	2
205	от которой	1	2
206	как не	1	2
207	в мире	9	2
208	в состав	1	2
209	на что	1	2
210	времени в	2	2
211	и во	1	2
212	и все	2	2
213	нем не	1	2
214	вслед за	4	2
215	наконец в	2	2
216	все время	1	2
217	с которыми	1	2
218	тот же	1	2
219	с ними	1	2
220	в какой	2	2
221	и ее	2	2
222	в уста	1	2
223	с одной	7	2
224	и у	1	2
225	одно из	2	2
226	интриги в	3	2
227	у нее	2	2
228	отношение к	2	2
229	от того	1	2
230	следует признать	2	2
231	нет и	2	2
232	со стороны	9	2
233	и к	1	2
234	до сих	1	2
235	с другой	8	2
236	и тех	1	2
237	нового времени	2	2
238	имя которого	2	2
239	одной стороны	7	2
240	а на	1	2
241	с которым	1	2
242	если не	4	2
243	по своему	1	2
244	в той	6	2
245	как бы	4	2
246	друг с	1	2
247	сих пор	1	2
248	хотя бы	4	2
249	ни было	3	2
250	от всех	2	2
251	к его	1	2
