N	2gram	Voloshinov_1	Russkaja
1	не может	16	22
2	и не	10	19
3	в том	6	17
4	в этом	4	17
5	и в	12	14
6	то что	5	13
7	то же	5	11
8	точки зрения	14	11
9	таким образом	12	11
10	в то	2	10
11	же время	1	10
12	но и	3	10
13	в себе	3	9
14	не только	4	9
15	том что	5	9
16	с точки	2	9
17	может быть	14	9
18	во всяком	1	9
19	того чтобы	1	8
20	прежде всего	8	8
21	как на	2	8
22	самом деле	3	7
23	отнюдь не	5	7
24	и с	3	7
25	в данном	2	7
26	к тому	1	7
27	о том	3	7
28	мы должны	1	7
29	к которой	1	6
30	в своем	2	6
31	и к	4	6
32	признать что	1	6
33	если бы	9	6
34	все это	3	6
35	и для	3	6
36	всяком случае	1	6
37	для него	3	6
38	на самом	4	6
39	а между	1	5
40	и на	4	5
41	между собой	2	5
42	во всех	1	5
43	в нем	6	5
44	при этом	6	5
45	он не	2	5
46	он должен	3	5
47	было бы	1	5
48	в своей	3	5
49	никогда не	5	5
50	между тем	3	5
51	и только	1	5
52	только в	6	5
53	хотя бы	5	5
54	конечно не	3	5
55	до сих	3	5
56	себя и	2	5
57	сих пор	3	5
58	жизни в	1	5
59	и то	2	4
60	бы то	3	4
61	но не	2	4
62	себе и	1	4
63	себя в	1	4
64	все же	4	4
65	более или	1	4
66	не в	4	4
67	в корне	2	4
68	то ни	3	4
69	его в	4	4
70	как и	5	4
71	которой он	1	4
72	или менее	1	4
73	точку зрения	2	4
74	тогда когда	2	4
75	а лишь	1	4
76	от того	4	4
77	не могут	1	4
78	идет речь	1	4
79	можно было	1	4
80	в его	2	4
81	так как	9	4
82	вместе с	2	4
83	он будет	1	4
84	как бы	13	4
85	к вопросу	1	4
86	жизни и	4	4
87	что в	2	4
88	то в	1	3
89	еще не	3	3
90	что они	1	3
91	в самом	4	3
92	что это	1	3
93	и по	3	3
94	в другом	1	3
95	для них	1	3
96	несмотря на	1	3
97	должно быть	1	3
98	но если	1	3
99	и сейчас	1	3
100	связи с	1	3
101	что оно	1	3
102	что все	1	3
103	данном случае	2	3
104	для этого	1	3
105	сводится к	1	3
106	но мы	2	3
107	в значительной	1	3
108	вопросу о	1	3
109	и во	1	3
110	что и	2	3
111	в лучшем	1	3
112	того что	3	3
113	находят себе	1	3
114	в качестве	1	3
115	в большинстве	1	3
116	в виде	1	3
117	друг друга	1	3
118	именно в	1	3
119	только к	1	3
120	что для	1	3
