N	4gram	Tiupa_Disk_1	Hudozhes
1	в то же время	3	4
2	только в том что	1	2
3	состоит в том что	1	2
4	не только в том	1	2
5	если можно так выразиться	1	2
6	и в то же	1	2
7	мы имеем дело с	1	1
8	строгом значении этого термина	1	1
9	к той или иной	2	1
10	в том случае если	1	1
11	ни о чем не	1	1
12	упускать из виду что	1	1
13	в том что в	2	1
14	дело в том что	1	1
15	единством места времени и	1	1
16	в строгом значении этого	1	1
17	в том числе и	2	1
18	не несет в себе	1	1
19	бахтин по отношению к	1	1
20	это в значительной степени	1	1
21	заключается в том что	1	1
