N	2gram	Vinokur_St_2	ViktorSh
1	в книге	1	3
2	конце концов	1	2
3	и в	29	2
4	том что	27	2
5	в том	27	2
6	в конце	2	2
7	в устах	2	1
8	и почти	1	1
9	и стоит	1	1
10	ни к	1	1
11	в другом	4	1
12	хотя бы	3	1
13	и не	9	1
14	все время	1	1
15	и его	6	1
16	потому что	9	1
17	я не	7	1
18	даже не	1	1
19	более чем	1	1
20	и то	1	1
21	впрочем не	1	1
22	аргументацию в	1	1
23	месте по	1	1
24	самом деле	3	1
25	другом месте	2	1
26	все это	11	1
27	от других	1	1
28	по поводу	8	1
29	именно в	4	1
30	этом и	1	1
31	по своим	1	1
32	в одессе	1	1
33	в их	3	1
34	но разве	1	1
35	дело в	4	1
36	с большой	1	1
37	в частности	4	1
38	так в	1	1
39	одно и	1	1
40	столь же	1	1
41	ведь это	1	1
42	в значительной	2	1
43	в самом	7	1
44	для них	1	1
45	только в	2	1
46	то же	2	1
47	так как	2	1
48	этому и	1	1
49	что слово	1	1
50	с о	1	1
51	бы уже	1	1
52	не будем	1	1
53	другое дело	3	1
54	но это	3	1
55	что язык	1	1
56	в этом	21	1
57	да и	1	1
58	по существу	2	1
59	к этому	4	1
60	значительной степени	2	1
61	не хотел	1	1
62	за свою	3	1
63	гораздо более	1	1
64	том же	2	1
