N	4gram	Medvedev_U_1	Formalny
1	в то же время	3	7
2	бы то ни было	3	4
3	и в то же	1	2
4	мы имеем в виду	1	1
5	стать наукой она принуждается	1	1
6	наукой она принуждается признать	1	1
7	принуждается признать приемы своим	1	1
8	литературе хочет стать наукой	1	1
9	с другой стороны в	1	1
10	содержание душа сюда же	1	1
11	наука о литературе хочет	1	1
12	не в том что	1	1
13	о литературе хочет стать	1	1
14	она принуждается признать приемы	1	1
15	только в этом случае	1	1
16	сюда же литературного произведения	1	1
17	то же время не	1	1
18	хочет стать наукой она	1	1
19	сумме его стилистических приемов	2	1
20	душа сюда же литературного	1	1
21	признать приемы своим единственным	1	1
22	является с одной стороны	1	1
23	если наука о литературе	1	1
24	приемы своим единственным героем	1	1
