N	2gram	Propp_Russ_2	Marksizm
1	может быть	13	26
2	и не	1	26
3	не может	5	24
4	и в	29	19
5	и его	1	19
6	таким образом	6	17
7	в этом	11	16
8	как бы	18	15
9	как мы	3	13
10	прежде всего	2	13
11	как и	11	12
12	и пр	2	12
13	так и	1	11
14	связи с	2	11
15	и для	2	11
16	в нем	1	10
17	в самом	1	10
18	только в	1	9
19	для него	1	9
20	все же	2	8
21	не только	10	8
22	при этом	6	8
23	друг друга	3	8
24	но и	8	8
25	то что	5	8
26	во всех	3	7
27	в ее	3	7
28	но в	5	7
29	все эти	3	7
30	то же	4	7
31	а не	4	7
32	так же	4	7
33	отнюдь не	1	6
34	кроме того	2	6
35	так сказать	1	6
36	мы не	6	6
37	в науке	1	6
38	ничего не	1	6
39	в пределах	1	6
40	и здесь	1	6
41	настоящее время	1	6
42	в его	1	6
43	в том	22	6
44	в основном	1	6
45	в настоящее	1	6
46	другой стороны	1	6
47	отличие от	3	5
48	входит в	1	5
49	рядом с	1	5
50	в отличие	3	5
51	не в	4	5
52	того чтобы	6	5
53	ничего общего	1	5
54	и все	4	5
55	этот вопрос	2	5
56	в конце	1	5
57	с другой	2	5
58	именно в	4	5
59	до конца	3	5
60	и потому	1	5
61	к этому	5	5
62	во всяком	1	5
63	переход от	2	4
64	вопрос о	4	4
65	и на	6	4
66	нет и	1	4
67	как в	7	4
68	так называемая	1	4
69	не будем	3	4
70	выражение в	1	4
71	здесь мы	2	4
72	не будет	1	4
73	было бы	3	4
74	не столько	2	4
75	не менее	2	4
76	не является	1	4
77	в ней	1	4
78	еще не	6	4
79	только на	1	4
80	для того	6	4
81	далеко не	4	4
82	с этим	2	4
83	в данном	6	4
84	тот же	1	4
85	а в	9	4
86	жизни в	2	4
87	и эта	1	4
88	сказать что	1	4
89	что в	22	4
90	вопрос мы	1	3
91	на самом	2	3
92	он может	1	3
93	и есть	1	3
94	в нашу	1	3
95	а как	1	3
96	в большинстве	1	3
97	и как	2	3
98	в которой	2	3
99	но все	1	3
100	этих форм	1	3
101	его в	8	3
102	от одного	1	3
103	том что	22	3
104	в своей	2	3
105	и ее	2	3
106	в котором	3	3
107	место в	1	3
108	в то	2	3
109	не имеет	3	3
110	этом отношении	1	3
111	и это	1	3
112	из основных	2	3
113	сводится к	1	3
114	можно сказать	1	3
115	с другими	3	3
116	здесь в	2	3
117	и следовательно	1	3
118	того что	3	3
119	быть и	1	3
120	в какой	1	3
121	и действительно	1	3
122	между тем	3	3
123	из них	4	3
124	в целях	2	3
125	не было	2	3
126	все это	10	3
127	нашу задачу	1	3
128	смысле этого	1	3
129	этом случае	6	3
130	и от	3	3
131	она может	1	3
132	и при	2	3
133	совершенно не	2	3
134	мы должны	1	3
135	всех других	1	3
136	это и	2	3
137	ту же	1	2
138	одним из	2	2
139	же как	4	2
140	мы уже	1	2
141	совпадает с	1	2
142	свою очередь	1	2
143	явлений и	1	2
144	не все	4	2
145	не просто	1	2
146	в одной	1	2
147	в своем	1	2
148	все остальные	1	2
149	его к	1	2
150	от этого	1	2
151	из этих	2	2
152	как он	1	2
153	если он	2	2
154	как оно	2	2
155	тем не	2	2
156	можно было	2	2
157	от нее	1	2
158	могла бы	1	2
159	что все	1	2
160	в другом	1	2
161	в каком-нибудь	1	2
162	и с	10	2
163	на этой	1	2
164	в данной	1	2
165	в новое	1	2
166	для них	2	2
167	каждая область	1	2
168	от него	1	2
169	должно быть	2	2
170	на первый	3	2
171	имеет место	1	2
172	или вообще	4	2
173	и более	1	2
174	в русской	1	2
175	эти формы	1	2
176	в основе	1	2
177	следовательно и	1	2
178	одна из	11	2
179	и является	1	2
180	у нас	4	2
181	от их	1	2
182	могут быть	2	2
183	во все	1	2
184	она не	3	2
185	в виду	2	2
186	как знак	1	2
187	и иные	1	2
188	никогда не	2	2
189	то как	1	2
190	по аналогии	1	2
191	мог бы	1	2
192	между собой	2	2
193	если бы	1	2
194	и вообще	1	2
195	и даже	1	2
196	о том	9	2
197	и руки	1	2
198	за пределами	2	2
199	все в	2	2
200	и во	1	2
201	этот момент	1	2
202	что и	2	2
203	в литературе	1	2
204	там и	2	2
205	в двух	1	2
206	что он	1	2
207	в качестве	3	2
208	какой степени	1	2
209	где они	2	2
210	характерной для	1	2
211	и др	1	2
212	и других	3	2
213	же они	1	2
214	всяком случае	1	2
215	себя от	1	2
216	так как	13	2
217	как раз	1	2
218	тем что	3	2
219	самом же	2	2
220	без всякой	1	2
221	связаны с	3	2
222	зависит от	1	2
223	при более	1	2
224	всякой связи	1	2
225	там где	2	2
226	независимо от	1	2
227	из которых	2	2
228	этого слова	1	2
229	с этой	2	2
230	не касается	1	2
231	в эти	1	2
232	или в	7	2
233	же деле	2	2
234	в свою	1	2
235	но если	3	2
236	из этого	2	2
237	же и	1	2
238	это так	1	2
239	к этой	1	2
240	в своих	2	2
241	в таком	4	2
242	а между	1	1
243	например в	1	1
244	имеет целью	2	1
245	должен быть	2	1
246	через которые	1	1
247	и то	2	1
248	не что	2	1
249	ее до	1	1
250	многих отношениях	1	1
251	здесь и	1	1
252	тех форм	1	1
253	несколько подробнее	1	1
254	и до	1	1
255	в предыдущей	1	1
256	хлеб и	1	1
257	стоящего на	1	1
258	что между	1	1
259	так чтобы	2	1
260	говорить о	1	1
261	изображениями или	1	1
262	он очень	1	1
263	может дать	1	1
264	на них	4	1
265	здесь не	1	1
266	в различных	1	1
267	которое он	1	1
268	этим не	1	1
269	смотрят на	1	1
270	ее к	2	1
271	совсем не	2	1
272	на основе	1	1
273	не входит	1	1
274	если здесь	1	1
275	ответ на	1	1
276	должны были	2	1
277	а и	2	1
278	отношение к	1	1
279	иные формы	1	1
280	большое значение	1	1
281	дня как	1	1
282	относится к	1	1
283	сможет быть	1	1
284	ней в	2	1
285	к новому	1	1
286	хотя и	1	1
287	и наконец	1	1
288	по пути	1	1
289	том где	1	1
290	всего как	1	1
291	более или	1	1
292	следующим образом	5	1
293	этой цели	2	1
294	материала например	1	1
295	еще на	1	1
296	та же	2	1
297	объяснить но	1	1
298	другие элементы	1	1
299	что это	3	1
300	или во	1	1
301	в этой	3	1
302	однако как	1	1
303	во многих	9	1
304	и физиологическим	1	1
305	не могла	1	1
306	и если	1	1
307	чем сильнее	1	1
308	не следует	1	1
309	главным образом	3	1
310	всех этих	1	1
311	есть та	1	1
312	по всем	3	1
313	вообще не	1	1
314	их в	4	1
315	как от	1	1
316	подобно тому	3	1
317	и по	3	1
318	в образе	2	1
319	так например	1	1
320	человек с	1	1
321	в нее	1	1
322	именно это	1	1
323	значение в	1	1
324	а по	1	1
325	на все	1	1
326	это не	5	1
327	уже знаем	1	1
328	что один	2	1
329	что большинство	1	1
330	после этого	2	1
331	за ней	1	1
332	нет в	1	1
333	с тем	6	1
334	мы видели	7	1
335	двух направлениях	1	1
336	чтобы они	2	1
337	еще в	2	1
338	в других	15	1
339	или менее	1	1
340	во время	12	1
341	или точнее	1	1
342	как воплощение	1	1
343	можно найти	1	1
344	уже к	1	1
345	бы к	1	1
346	другой вопрос	1	1
347	этому же	1	1
348	которые в	1	1
349	тесно связаны	1	1
350	является так	1	1
351	общего не	1	1
352	и форма	1	1
353	и очень	1	1
354	что есть	1	1
355	виду что	1	1
356	и должен	1	1
357	тогда когда	4	1
358	того как	2	1
359	на него	1	1
360	погружается в	1	1
361	всей их	1	1
362	природу его	1	1
363	о них	2	1
364	наблюдения и	1	1
365	того в	2	1
366	к ней	2	1
367	по своей	1	1
368	такая же	1	1
369	потому что	5	1
370	стороны и	1	1
371	в духе	1	1
372	и другой	3	1
373	и всех	1	1
374	как только	1	1
375	предыдущей главе	1	1
376	в применении	1	1
377	неясным остается	1	1
378	самой проблемы	1	1
379	из всего	1	1
380	новой и	1	1
381	всем этим	1	1
382	в особенности	1	1
383	приводит к	1	1
384	и совершенно	1	1
385	на нее	6	1
386	без внутреннего	1	1
387	здесь нет	1	1
388	на которую	1	1
389	найти в	1	1
390	можно только	1	1
391	могла быть	1	1
392	в которые	1	1
393	для этого	5	1
394	по теории	1	1
395	собой и	1	1
396	образом в	2	1
397	будем здесь	2	1
398	не живого	1	1
399	совершенно иной	1	1
400	и что	5	1
401	и объяснить	1	1
402	ее и	2	1
403	аналогии с	1	1
404	затем в	1	1
405	должно было	3	1
406	то эта	1	1
407	как нет	1	1
408	места и	1	1
409	к нему	4	1
410	но нет	1	1
411	во всей	1	1
412	в форме	2	1
413	можно проследить	1	1
414	также в	2	1
415	в ту	1	1
416	и мир	1	1
417	с себя	1	1
418	с ними	1	1
419	пришел к	1	1
420	мы увидим	1	1
421	но ни	1	1
422	очень много	1	1
423	из задач	1	1
424	или же	5	1
425	от них	1	1
426	с одной	2	1
427	вся эта	2	1
428	так что	4	1
429	не соответствует	1	1
430	можно выразить	1	1
431	уже не	4	1
432	уже в	1	1
433	значение и	1	1
434	или даже	3	1
435	при помощи	1	1
436	или просто	2	1
437	области в	1	1
438	превращаются в	1	1
439	который как	1	1
440	в одном	1	1
441	ту сторону	1	1
442	воплощение а	1	1
443	они становятся	1	1
444	само собой	1	1
445	образом к	1	1
446	одной стороны	2	1
447	носят по	1	1
448	имеет и	1	1
449	это дерево	1	1
450	участвующих в	1	1
451	тому как	3	1
452	на которые	1	1
453	в природе	3	1
454	что для	3	1
455	превращается в	1	1
456	чем речь	1	1
457	о чем	4	1
458	него не	1	1
459	под влиянием	1	1
460	которого она	1	1
461	этой же	1	1
462	он тем	1	1
463	как это	4	1
464	но не	5	1
465	ее под	1	1
466	к жизни	5	1
467	применении к	1	1
468	и там	3	1
469	не оправдывается	1	1
470	быть только	2	1
471	по существу	4	1
472	многих других	1	1
473	чтобы сделать	1	1
474	быть не	1	1
475	есть и	1	1
476	на пути	1	1
477	такой ответ	1	1
478	с элементами	2	1
479	остается в	1	1
480	другую в	1	1
481	у них	2	1
482	только с	1	1
483	же к	1	1
484	и другие	14	1
485	он же	1	1
486	с ней	5	1
487	не понимают	1	1
488	их с	1	1
489	и так	1	1
490	ее в	8	1
491	нас не	2	1
492	и особенно	1	1
